Ticker,Sector,Trades,P&L,Return %,Wins,Win Rate %
VDC,Consumer Staples,22,533.9964501255679,5.339964501255679,9,81.81818181818183
VDE,Energy,20,448.28159423770376,4.482815942377037,8,80.0
VCR,Consumer Discretionary,25,321.74830862295664,3.2174830862295667,11,84.61538461538461
VNQ,Real Estate,18,314.8474149401927,3.1484741494019275,8,88.88888888888889
VHT,Health Care,21,288.43647619360655,2.8843647619360655,8,72.72727272727273
VGT,Information Technology,17,206.98752856216598,2.06987528562166,6,66.66666666666666
VOX,Communication Services,13,120.60675912400066,1.2060675912400067,5,71.42857142857143
VIS,Industrials,10,113.51265231088713,1.1351265231088714,4,80.0
VFH,Financials,11,102.96015455269347,1.0296015455269347,4,66.66666666666666
VAW,Materials,22,73.56520763173785,0.7356520763173785,7,63.63636363636363
VPU,Utilities,16,48.67549245440287,0.4867549245440287,6,75.0
