period,start,end,lev_return,lev_value,lev_drawdown,lev_sharpe,lev_trades,lev_invested_pct,sp500_return,sp500_value,outperformance
2001-05-31 to 2003-05-31,2001-05-31,2003-05-31,-15.921882933690359,8407.811706630964,-54.372748674083105,-0.27967133241383474,107,70.0579732091989,-23.025010482467287,7697.498951753271,7.1031275487769285
2002-08-30 to 2004-08-29,2002-08-30,2004-08-29,79.76290834420837,17976.290834420837,-18.661790994520548,1.272892211103868,170,44.37838432825552,21.431682752846516,12143.168275284652,58.33122559136186
2003-05-14 to 2005-05-13,2003-05-14,2005-05-13,19.91075953211284,11991.075953211284,-15.688063817325288,0.5103481369319882,141,51.13150468991369,22.442068146289657,12244.206814628966,-2.5313086141768153
2004-03-02 to 2006-03-02,2004-03-02,2006-03-02,27.69960322782998,12769.960322782998,-13.249516555411631,0.8177667937943444,137,54.39000305535296,12.019394570432015,11201.939457043201,15.680208657397964
2004-09-17 to 2006-09-17,2004-09-17,2006-09-17,37.18932868451018,13718.932868451018,-10.411379239594917,0.9376159871332637,156,51.45294923991063,16.623954869047157,11662.395486904716,20.565373815463023
2005-10-19 to 2007-10-19,2005-10-19,2007-10-19,28.301044453245737,12830.104445324574,-14.189033342634753,0.6973020129097272,146,43.75969245712427,24.954082229306803,12495.40822293068,3.3469622239389345
2006-04-24 to 2008-04-23,2006-04-24,2008-04-23,25.406240454670698,12540.62404546707,-19.237308304995228,0.4454556928558754,143,51.283522425993624,5.202045197532006,10520.2045197532,20.204195257138693
2007-02-01 to 2009-01-31,2007-02-01,2009-01-31,-53.08909510913438,4691.090489086562,-69.99689767736159,-0.631849350121133,135,62.43183154087194,-42.721802446956424,5727.819755304357,-10.367292662177952
2007-12-02 to 2009-12-01,2007-12-02,2009-12-01,-20.371510356854415,7962.8489643145585,-75.19829909640195,-0.27068043620589505,121,61.840736259636564,-24.634338724469316,7536.566127553068,4.262828367614901
2008-06-03 to 2010-06-03,2008-06-03,2010-06-03,-21.034955810119683,7896.504418988032,-70.51469937221457,-0.2761563646252807,104,59.78240674168551,-19.82764717179238,8017.235282820762,-1.207308638327305
2010-08-13 to 2012-08-12,2010-08-13,2012-08-12,20.380314389753256,12038.031438975326,-15.461699951536215,1.42544119266843,52,38.12952191619102,30.0341607539034,13003.41607539034,-9.653846364150144
2011-06-04 to 2013-06-03,2011-06-04,2013-06-03,,,,0.0,120,18.981170989766447,27.363619540096007,12736.3619540096,
2011-12-02 to 2013-12-01,2011-12-02,2013-12-01,,,,0.0,150,14.213648871640666,44.962357132164016,14496.235713216402,
