date,positions_value,cash,net_liq
2025-09-12,0.0,10000.0,10000.0
2025-09-19,65.4,10030.47,10095.87
2025-09-26,2928.56,7041.52,9970.08
2025-10-03,0.0,10424.51,10424.51
2025-10-10,2670.88,7789.92,10460.8
2025-10-17,4345.7,5758.1,10103.8
2025-10-24,3162.25,7687.95,10850.2
2025-10-31,3994.25,6830.32,10824.57
2025-11-07,6668.46,3398.99,10067.45
2025-11-14,8298.72,688.4,8987.13
2025-11-21,6060.14,340.46,6400.59
2025-11-28,3165.62,4603.14,7768.76
2025-12-05,3598.29,4242.77,7841.06
2025-12-12,3914.12,3869.83,7783.95
2025-12-19,6000.59,1098.31,7098.9
2025-12-26,6572.79,0.0,6572.79
2026-01-02,5084.37,1409.66,6494.04
2026-01-09,4782.15,2073.15,6855.3
2026-01-16,4845.49,2205.28,7050.77
2026-01-23,5886.91,0.0,5886.91
2026-01-30,4707.25,0.0,4707.25
2026-02-06,0.0,3202.75,3202.75
2026-02-13,0.0,3542.82,3542.82
2026-02-20,0.0,3552.87,3552.87
2026-02-27,1527.45,2542.57,4070.02
2026-03-06,1831.11,2520.83,4351.94
