date,positions_value,cash,net_liq
2009-06-05,0.0,10000.0,10000.0
2009-06-12,454.15,9556.46,10010.61
2009-06-19,2330.96,7563.09,9894.05
2009-06-26,1603.22,8484.07,10087.29
2009-07-03,1986.24,8089.89,10076.12
2009-07-10,2938.32,7007.8,9946.12
2009-07-17,585.48,9748.09,10333.57
2009-07-24,220.2,10162.33,10382.53
2009-07-31,0.0,10426.68,10426.68
2009-08-07,500.14,9930.29,10430.43
2009-08-14,1131.16,9302.64,10433.8
2009-08-21,789.94,9760.02,10549.96
2009-08-28,1023.65,9514.68,10538.34
2009-09-04,649.72,9963.07,10612.79
2009-09-11,0.0,10638.82,10638.82
2009-09-18,86.63,10557.36,10643.99
2009-09-25,897.52,9755.43,10652.94
2009-10-02,1200.19,9463.99,10664.18
2009-10-09,0.0,10739.19,10739.19
2009-10-16,858.74,9869.8,10728.53
2009-10-23,840.15,9916.57,10756.72
2009-10-30,3239.78,7394.1,10633.88
2009-11-06,1682.16,9257.56,10939.71
2009-11-13,646.84,10439.1,11085.94
2009-11-20,1068.74,10025.94,11094.68
2009-11-27,1548.66,9578.08,11126.75
2009-12-04,199.35,11038.8,11238.15
2009-12-11,699.58,10540.01,11239.59
2009-12-18,1292.09,9940.7,11232.79
2009-12-25,529.76,10756.81,11286.57
2010-01-01,317.49,10975.52,11293.01
2010-01-08,0.0,11312.65,11312.65
2010-01-15,898.58,10405.11,11303.69
2010-01-22,2882.74,8250.27,11133.01
2010-01-29,3455.82,7559.94,11015.76
2010-02-05,4411.54,6401.87,10813.41
2010-02-12,3532.0,7610.94,11142.94
2010-02-19,2910.44,8404.54,11314.98
2010-02-26,3244.6,8014.66,11259.26
2010-03-05,1920.1,9617.58,11537.67
2010-03-12,1568.63,10015.58,11584.2
2010-03-19,1741.76,9840.86,11582.62
2010-03-26,1795.44,9789.93,11585.36
2010-04-02,301.26,11419.3,11720.56
2010-04-09,0.0,11730.46,11730.46
2010-04-16,1071.61,10656.21,11727.81
2010-04-23,649.1,11108.59,11757.68
2010-04-30,1369.75,10379.12,11748.87
2010-05-07,4049.61,7293.73,11343.34
2010-05-14,3300.0,8433.2,11733.2
2010-05-21,4766.86,6620.73,11387.58
2010-05-28,4320.5,7344.75,11665.24
2010-06-04,4906.56,6610.74,11517.29
2010-06-11,3986.58,7928.72,11915.3
2010-06-18,3272.74,8872.03,12144.77
2010-06-25,3211.41,8986.78,12198.19
2010-07-02,4448.27,7444.35,11892.62
2010-07-09,3296.59,8973.4,12269.99
2010-07-16,4119.46,7951.84,12071.3
2010-07-23,2564.02,9956.08,12520.1
2010-07-30,2351.06,10211.78,12562.84
2010-08-06,1870.62,10784.44,12655.06
2010-08-13,2840.01,9696.69,12536.7
2010-08-20,2638.98,9948.1,12587.08
2010-08-27,2984.82,9555.55,12540.37
2010-09-03,2003.51,10761.77,12765.28
2010-09-10,1870.62,10923.44,12794.07
2010-09-17,1303.3,11571.17,12874.47
2010-09-24,575.84,12361.06,12936.9
2010-10-01,0.0,12953.91,12953.91
2010-10-08,-0.0,12962.84,12962.84
2010-10-15,104.96,12861.64,12966.59
2010-10-22,545.24,12462.78,13008.02
2010-10-29,540.54,12482.54,13023.08
2010-11-05,0.0,13040.03,13040.03
2010-11-12,1252.44,11758.08,13010.52
2010-11-19,1354.1,11681.79,13035.88
2010-11-26,2366.07,10607.81,12973.88
2010-12-03,986.51,12185.22,13171.73
2010-12-10,1373.13,11771.68,13144.82
2010-12-17,1507.87,11633.07,13140.94
2010-12-24,1149.07,12031.24,13180.3
2010-12-31,454.69,12768.75,13223.45
2011-01-07,705.15,12518.8,13223.95
2011-01-14,347.77,12908.98,13256.75
2011-01-21,1217.78,12004.59,13222.37
2011-01-28,1994.05,11180.84,13174.89
