date,positions_value,cash,net_liq
2009-06-05,159.32,9840.68,10000.0
2009-06-12,443.93,9604.31,10048.24
2009-06-19,1461.4,8585.99,10047.39
2009-06-26,1610.29,8470.57,10080.86
2009-07-03,1921.88,8158.19,10080.07
2009-07-10,2812.5,7156.88,9969.38
2009-07-17,890.62,9374.31,10264.93
2009-07-24,0.0,10323.21,10323.21
2009-07-31,0.0,10335.31,10335.31
2009-08-07,306.94,10027.56,10334.5
2009-08-14,396.02,9959.69,10355.71
2009-08-21,0.0,10409.1,10409.1
2009-08-28,0.0,10416.23,10416.23
2009-09-04,417.55,10022.55,10440.09
2009-09-11,0.0,10456.12,10456.12
2009-09-18,106.13,10351.06,10457.19
2009-09-25,838.19,9617.88,10456.07
2009-10-02,1748.18,8663.38,10411.56
2009-10-09,365.45,10167.01,10532.46
2009-10-16,407.93,10139.73,10547.66
2009-10-23,390.1,10166.78,10556.88
2009-10-30,2061.34,8451.2,10512.53
2009-11-06,1206.71,9429.9,10636.6
2009-11-13,462.16,10239.07,10701.22
2009-11-20,1066.6,9627.79,10694.4
2009-11-27,1134.65,9589.04,10723.69
2009-12-04,334.06,10451.38,10785.45
2009-12-11,1118.64,9645.3,10763.94
2009-12-18,1470.9,9275.83,10746.73
2009-12-25,786.4,10017.15,10803.55
2010-01-01,786.3,10018.11,10804.41
2010-01-08,-0.0,10841.24,10841.24
2010-01-15,503.99,10348.02,10852.02
2010-01-22,1574.01,9249.15,10823.17
2010-01-29,2496.71,8206.41,10703.13
2010-02-05,4190.91,6180.54,10371.44
2010-02-12,3551.22,7049.31,10600.53
2010-02-19,2631.28,8218.68,10849.96
2010-02-26,3094.8,7680.79,10775.58
2010-03-05,1580.12,9486.33,11066.45
2010-03-12,1285.33,9811.35,11096.68
2010-03-19,1322.18,9787.72,11109.9
2010-03-26,1419.51,9691.52,11111.03
2010-04-02,1049.24,10097.83,11147.06
2010-04-09,518.06,10666.1,11184.16
2010-04-16,721.81,10476.22,11198.04
2010-04-23,1088.48,10105.52,11194.0
2010-04-30,2153.93,8985.81,11139.74
2010-05-07,4885.69,5654.22,10539.91
2010-05-14,4603.49,6216.68,10820.17
2010-05-21,5271.55,5303.07,10574.62
2010-05-28,5208.2,5512.61,10720.82
2010-06-04,6050.96,4300.49,10351.45
2010-06-11,5204.36,5646.83,10851.2
2010-06-18,4384.64,6834.27,11218.91
2010-06-25,4894.12,6136.26,11030.38
2010-07-02,5827.51,4799.53,10627.04
2010-07-09,4275.7,7099.8,11375.51
2010-07-16,4488.88,6847.68,11336.56
2010-07-23,3570.86,8114.45,11685.31
2010-07-30,3344.24,8404.35,11748.59
2010-08-06,2520.32,9439.75,11960.07
2010-08-13,4016.43,7656.1,11672.53
2010-08-20,4306.43,7305.42,11611.85
2010-08-27,4248.82,7415.44,11664.25
2010-09-03,3325.75,8660.3,11986.05
2010-09-10,3099.04,8948.18,12047.22
2010-09-17,2666.75,9479.4,12146.15
2010-09-24,1775.27,10527.47,12302.74
2010-10-01,1690.74,10634.87,12325.61
2010-10-08,1033.66,11366.82,12400.48
2010-10-15,609.05,11831.07,12440.12
2010-10-22,793.49,11674.38,12467.87
2010-10-29,1035.58,11424.05,12459.63
2010-11-05,0.0,12517.99,12517.99
2010-11-12,797.66,11707.6,12505.26
2010-11-19,876.33,11660.81,12537.14
2010-11-26,2036.78,10433.42,12470.21
2010-12-03,1198.99,11387.22,12586.21
2010-12-10,1014.07,11588.53,12602.6
2010-12-17,1034.74,11574.03,12608.78
2010-12-24,687.38,11943.65,12631.03
2010-12-31,285.27,12366.56,12651.83
2011-01-07,861.06,11777.11,12638.17
