Rank,Ticker,Category,Return %,Final Value $,Max Drawdown %,Sharpe,Trades,Start Date,End Date,Years
1,URTY,Broad Market,516.39,61638.67,-41.2,0.542,3866,2010-02-11,2026-03-06,16.0
2,TQQQ,Broad Market,483.26,58325.54,-18.88,0.751,3696,2010-02-11,2026-03-06,16.0
3,UMDD,Broad Market,454.96,55495.62,-42.52,0.626,3814,2010-02-11,2026-03-06,16.0
4,UPRO,Broad Market,360.1,46010.28,-24.05,0.69,3841,2009-06-25,2026-03-06,16.7
5,UDOW,Broad Market,313.91,41391.1,-35.33,0.638,3685,2010-02-11,2026-03-06,16.0
6,XPP,International,250.69,35069.08,-48.32,0.286,4132,2009-06-04,2026-03-06,16.7
7,EET,International,243.34,34333.53,-35.18,0.471,4094,2009-06-04,2026-03-06,16.7
8,ROM,Sector,242.0,34200.05,-59.27,0.543,4368,2007-02-01,2026-03-06,19.1
9,UWM,Broad Market,233.82,33382.35,-61.27,0.429,4549,2007-01-25,2026-03-06,19.1
10,EFO,International,213.65,31365.38,-18.62,0.639,3639,2009-06-04,2026-03-06,16.7
11,URE,Sector,213.61,31361.16,-76.39,0.412,4534,2007-02-02,2026-03-06,19.1
12,UPV,International,204.71,30470.63,-26.57,0.564,3627,2010-05-07,2026-03-06,15.8
13,QLD,Broad Market,204.1,30410.35,-58.51,0.511,4491,2006-06-21,2026-03-06,19.7
14,MVV,Broad Market,193.03,29303.36,-61.18,0.444,4621,2006-06-21,2026-03-06,19.7
15,SAA,Broad Market,191.22,29121.94,-63.39,0.382,4321,2007-01-25,2026-03-06,19.1
16,EZJ,International,166.76,26676.36,-19.83,0.575,3763,2009-06-05,2026-03-06,16.7
17,UBR,International,159.92,25991.97,-75.24,0.28,3791,2010-05-07,2026-03-06,15.8
18,LTL,Sector,149.5,24949.61,-55.53,0.398,3494,2008-05-22,2026-03-06,17.8
19,UCC,Sector,141.98,24198.03,-59.94,0.364,4120,2007-02-02,2026-03-06,19.1
20,UPW,Sector,140.05,24004.71,-53.09,0.439,4450,2007-02-01,2026-03-06,19.1
21,UYM,Sector,133.78,23377.58,-76.65,0.302,4558,2007-02-01,2026-03-06,19.1
22,RXL,Sector,133.55,23354.93,-38.86,0.515,4436,2007-02-01,2026-03-06,19.1
23,SSO,Broad Market,126.05,22605.12,-55.89,0.387,4426,2006-06-21,2026-03-06,19.7
24,UYG,Sector,105.73,20573.34,-83.86,0.257,4450,2007-02-01,2026-03-06,19.1
25,DDM,Broad Market,98.22,19822.17,-53.7,0.321,4442,2006-06-21,2026-03-06,19.7
26,AGQ,Commodities,92.86,19285.99,-81.17,0.161,4107,2008-12-04,2026-03-06,17.2
27,UGE,Sector,91.47,19147.32,-43.59,0.308,4094,2007-02-01,2026-03-06,19.1
28,UGL,Commodities,79.51,17950.99,-46.07,0.315,4077,2008-12-03,2026-03-06,17.2
29,DIG,Sector,79.38,17938.02,-84.02,0.115,4591,2007-02-01,2026-03-06,19.1
30,UXI,Sector,77.42,17741.81,-74.54,0.241,4266,2007-02-02,2026-03-06,19.1
31,UCYB,Specialized,67.4,16740.13,-26.96,0.509,1226,2021-01-21,2026-03-06,5.1
32,UJB,Fixed Income,51.86,15186.46,-11.28,0.539,2367,2011-04-14,2026-03-06,14.9
33,SKYU,Specialized,40.03,14003.1,-49.07,0.263,1187,2021-01-21,2026-03-06,5.1
34,BITU,Crypto,11.07,11106.96,-57.05,0.084,471,2024-04-02,2026-03-06,1.9
35,NVDB,Single Stock,7.93,10792.57,-8.56,0.645,116,2025-09-10,2026-03-06,0.5
36,TSLI,Single Stock,7.64,10764.45,-11.03,0.574,114,2025-09-10,2026-03-06,0.5
37,QQXL,Specialized,2.76,10275.63,-1.89,0.98,130,2025-08-15,2026-03-06,0.6
38,URSP,Specialized,1.76,10176.47,-0.83,2.297,116,2025-08-27,2026-03-06,0.5
39,QQUP,Specialized,0.45,10045.13,-4.24,0.092,155,2025-06-12,2026-03-06,0.7
40,UST,Fixed Income,0.17,10016.52,-22.37,0.002,3707,2010-02-02,2026-03-06,16.1
41,UBT,Fixed Income,-1.14,9885.59,-53.54,-0.005,3875,2010-01-21,2026-03-06,16.1
42,PLTA,Single Stock,-7.06,9293.72,-40.55,-0.27,114,2025-09-10,2026-03-06,0.5
43,ULE,Currency,-18.47,8152.99,-47.98,-0.114,4062,2008-11-25,2026-03-06,17.2
44,SLON,Crypto,-48.39,5160.65,-76.55,-0.989,149,2025-07-15,2026-03-06,0.6
45,UXRP,Crypto,-55.13,4486.8,-74.52,-1.051,143,2025-07-15,2026-03-06,0.6
46,CRCA,Single Stock,-56.48,4352.01,-80.77,-1.245,115,2025-08-07,2026-03-06,0.6
47,COIA,Single Stock,-56.48,4351.94,-76.69,-2.07,97,2025-09-10,2026-03-06,0.5
48,ETHT,Crypto,-59.82,4017.94,-79.18,-0.542,403,2024-06-07,2026-03-06,1.7
49,YCL,Currency,-59.85,4014.71,-67.44,-0.418,3760,2008-12-09,2026-03-06,17.2
50,UCO,Commodities,-94.66,533.72,-99.39,-0.237,3523,2008-11-25,2026-03-06,17.2
51,BOIL,Commodities,-99.89,10.72,-99.95,-0.624,2425,2011-10-06,2026-03-06,14.4
