date,positions_value,cash,net_liq
2024-06-07,0.0,10000.0,10000.0
2024-06-14,2574.12,7308.91,9883.04
2024-06-21,1615.12,8575.1,10190.22
2024-06-28,3123.83,7048.3,10172.13
2024-07-05,6177.9,3215.35,9393.24
2024-07-12,5214.48,4710.73,9925.21
2024-07-19,2181.16,8969.33,11150.49
2024-07-26,4320.38,6605.15,10925.53
2024-08-02,6367.54,3698.93,10066.47
2024-08-09,5403.57,3352.28,8755.84
2024-08-16,5242.14,3730.77,8972.91
2024-08-23,4182.33,5333.25,9515.57
2024-08-30,6365.12,2224.21,8589.33
2024-09-06,6886.92,0.0,6886.92
2024-09-13,5086.07,2987.39,8073.46
2024-09-20,4099.89,4717.4,8817.29
2024-09-27,2582.04,6780.87,9362.91
2024-10-04,5420.51,3255.2,8675.72
2024-10-11,5188.98,3669.27,8858.24
2024-10-18,3431.01,6220.83,9651.84
2024-10-25,5223.28,3898.3,9121.57
2024-11-01,4288.55,5332.37,9620.92
2024-11-08,0.0,10916.58,10916.58
2024-11-15,2733.41,8016.75,10750.16
2024-11-22,1081.42,10176.33,11257.75
2024-11-29,438.73,11280.32,11719.05
2024-12-06,0.0,11868.23,11868.23
2024-12-13,1430.78,10713.26,12144.03
2024-12-20,5150.79,6520.82,11671.61
2024-12-27,5989.86,5394.32,11384.18
2025-01-03,4248.68,8037.57,12286.25
2025-01-10,6693.12,4671.15,11364.27
2025-01-17,5189.59,7445.25,12634.85
2025-01-24,6474.87,5609.48,12084.35
2025-01-31,6867.72,5115.26,11982.99
2025-02-07,8556.51,0.0,8556.51
2025-02-14,7763.56,1706.37,9469.93
2025-02-21,8479.32,456.63,8935.95
2025-02-28,6338.41,0.0,6338.41
2025-03-07,5575.96,414.44,5990.4
2025-03-14,3387.6,1511.22,4898.82
2025-03-21,2961.0,2226.3,5187.3
2025-03-28,4510.24,544.43,5054.67
2025-04-04,4417.76,547.72,4965.47
2025-04-11,1700.53,2556.1,4256.62
2025-04-18,1446.82,2920.95,4367.78
2025-04-25,0.0,4654.05,4654.05
2025-05-02,138.95,4573.02,4711.97
2025-05-09,0.0,5053.31,5053.31
2025-05-16,1234.93,3853.78,5088.71
2025-05-23,1715.18,3457.35,5172.52
2025-05-30,1715.18,3584.79,5299.96
2025-06-06,2812.89,2428.02,5240.91
2025-06-13,3283.74,2265.56,5549.3
2025-06-20,4558.23,808.04,5366.27
2025-06-27,4056.41,1366.86,5423.27
2025-07-04,2514.21,3653.63,6167.84
2025-07-11,0.0,6530.94,6530.94
2025-07-18,0.0,6534.27,6534.27
2025-07-25,921.28,5694.17,6615.45
2025-08-01,2606.89,4000.31,6607.21
2025-08-08,0.0,7042.49,7042.49
2025-08-15,2469.06,4473.96,6943.02
2025-08-22,0.0,7953.96,7953.96
2025-08-29,3478.87,4434.08,7912.95
2025-09-05,3814.88,4172.92,7987.8
2025-09-12,1822.81,6697.73,8520.54
2025-09-19,3339.92,4996.69,8336.61
2025-09-26,5803.17,1908.55,7711.72
2025-10-03,3144.12,5722.42,8866.54
2025-10-10,6273.08,1777.23,8050.31
2025-10-17,7209.12,423.17,7632.28
2025-10-24,6783.42,1317.19,8100.61
2025-10-31,6424.2,1753.48,8177.69
2025-11-07,4063.28,2609.71,6672.99
2025-11-14,5811.62,0.0,5811.62
2025-11-21,4497.96,0.0,4497.96
2025-11-28,1947.0,3437.26,5384.26
2025-12-05,2434.89,3519.99,5954.88
2025-12-12,2701.7,3483.97,6185.66
2025-12-19,3657.78,2636.74,6294.53
2025-12-26,4300.73,1797.37,6098.1
2026-01-02,2731.68,3874.97,6606.64
2026-01-09,3311.33,3258.72,6570.05
2026-01-16,1482.43,5568.34,7050.77
2026-01-23,4693.82,1929.14,6622.97
2026-01-30,5741.32,0.0,5741.32
2026-02-06,0.0,3145.19,3145.19
2026-02-13,1107.82,2225.81,3333.63
2026-02-20,2281.13,972.23,3253.35
2026-02-27,2402.5,1195.63,3598.13
2026-03-06,2589.42,1428.52,4017.94
