date,positions_value,cash,net_liq
2008-05-23,422.63,9577.37,10000.0
2008-05-30,0.0,10009.5,10009.5
2008-06-06,281.85,9756.34,10038.19
2008-06-13,1911.12,8091.41,10002.53
2008-06-20,3071.25,6754.08,9825.33
2008-06-27,4000.44,5583.59,9584.03
2008-07-04,4655.06,4741.38,9396.43
2008-07-11,4936.91,4386.03,9322.94
2008-07-18,4451.4,5073.08,9524.48
2008-07-25,4307.75,5344.04,9651.78
2008-08-01,4203.06,5494.53,9697.59
2008-08-08,4319.41,5391.45,9710.86
2008-08-15,3832.01,6053.36,9885.37
2008-08-22,4093.96,5762.6,9856.55
2008-08-29,3924.78,6028.77,9953.56
2008-09-05,4612.39,5147.31,9759.7
2008-09-12,4921.63,4764.05,9685.68
2008-09-19,5962.14,3475.16,9437.3
2008-09-26,6702.5,2344.93,9047.43
2008-10-03,7858.74,0.0,7858.74
2008-10-10,4518.51,0.0,4518.51
2008-10-17,3366.45,2405.13,5771.58
2008-10-24,5095.11,0.0,5095.11
2008-10-31,1720.45,4449.49,6169.94
2008-11-07,3131.39,3067.4,6198.79
2008-11-14,3854.01,2504.61,6358.63
2008-11-21,2695.38,2444.44,5139.83
2008-11-28,0.0,5523.01,5523.01
2008-12-05,735.29,5054.09,5789.38
2008-12-12,1974.03,3821.65,5795.68
2008-12-19,1846.85,4060.34,5907.19
2008-12-26,1929.79,4037.92,5967.71
2009-01-02,243.3,5912.29,6155.58
2009-01-09,725.68,5469.88,6195.56
2009-01-16,3045.75,2946.47,5992.21
2009-01-23,2791.49,3346.3,6137.8
2009-01-30,3819.1,2150.62,5969.72
2009-02-06,2516.05,3833.17,6349.22
2009-02-13,3070.43,3223.37,6293.79
2009-02-20,4416.56,1573.44,5990.0
2009-02-27,4204.57,1971.84,6176.41
2009-03-06,5258.96,0.0,5258.96
2009-03-13,1554.34,4608.75,6163.09
2009-03-20,1195.59,5084.13,6279.72
2009-03-27,409.29,6131.66,6540.95
2009-04-03,0.0,6659.21,6659.21
2009-04-10,22.72,6705.29,6728.01
2009-04-17,426.12,6339.98,6766.1
2009-04-24,761.35,6105.0,6866.34
2009-05-01,0.0,6897.31,6897.31
2009-05-08,30.33,6881.69,6912.01
2009-05-15,1460.94,5443.94,6904.88
2009-05-22,1991.73,4901.49,6893.21
2009-05-29,980.7,6047.94,7028.64
2009-06-05,667.28,6421.05,7088.33
2009-06-12,0.0,7124.95,7124.95
2009-06-19,1340.41,5744.92,7085.32
