date,positions_value,cash,net_liq
2008-12-05,43.42,9956.58,10000.0
2008-12-12,378.89,9682.06,10060.95
2008-12-19,1652.52,8409.28,10061.8
2008-12-26,2030.38,8104.64,10135.02
2009-01-02,0.0,10325.87,10325.87
2009-01-09,1017.09,9359.05,10376.14
2009-01-16,1057.37,9538.14,10595.51
2009-01-23,0.0,10685.37,10685.37
2009-01-30,0.0,10702.7,10702.7
2009-02-06,0.0,10739.24,10739.24
2009-02-13,-0.0,10763.18,10763.18
2009-02-20,0.0,10802.92,10802.92
2009-02-27,3037.82,7571.84,10609.66
2009-03-06,2658.1,8063.57,10721.66
2009-03-13,2988.29,7744.46,10732.75
2009-03-20,1872.22,9168.61,11040.84
2009-03-27,2849.61,8044.0,10893.61
2009-04-03,3985.49,6636.8,10622.29
2009-04-10,4936.46,5437.12,10373.58
2009-04-17,5867.62,4172.55,10040.18
2009-04-24,3939.26,6998.94,10938.2
2009-05-01,4840.7,5856.73,10697.44
2009-05-08,1892.04,9687.75,11579.78
2009-05-15,1888.73,9711.75,11600.48
2009-05-22,445.77,11308.37,11754.14
2009-05-29,0.0,11778.3,11778.3
2009-06-05,1579.14,10272.66,11851.8
2009-06-12,2377.39,9426.35,11803.73
2009-06-19,3612.36,8021.95,11634.3
2009-06-26,3817.7,7804.21,11621.92
2009-07-03,5162.58,6013.04,11175.62
2009-07-10,6374.41,4174.49,10548.9
2009-07-17,5211.74,6000.44,11212.18
2009-07-24,4422.17,7137.32,11559.5
2009-07-31,4352.76,7331.74,11684.5
2009-08-07,3276.86,8771.53,12048.39
2009-08-14,3178.53,8956.0,12134.52
2009-08-21,4185.01,7755.61,11940.62
2009-08-28,3201.67,9061.75,12263.41
2009-09-04,462.75,12244.37,12707.12
2009-09-11,0.0,12730.15,12730.15
2009-09-18,816.78,11928.77,12745.55
2009-09-25,2627.79,9980.94,12608.73
2009-10-02,2499.92,10181.34,12681.26
2009-10-09,177.04,12808.2,12985.24
2009-10-16,735.8,12263.03,12998.83
2009-10-23,345.22,12681.69,13026.91
2009-10-30,2744.12,10171.62,12915.74
2009-11-06,1075.98,12145.82,13221.8
2009-11-13,1035.66,12227.69,13263.35
2009-11-20,64.21,13306.13,13370.35
2009-11-27,986.66,12385.83,13372.49
2009-12-04,1219.24,12197.19,13416.44
2009-12-11,3409.87,9698.25,13108.12
