period,start,end,daily_return,daily_value,daily_drawdown,daily_sharpe,daily_trades,daily_invested_pct,sp500_return,sp500_value,outperformance
2001-05-06 to 2003-05-06,2001-05-06,2003-05-06,-15.42008388834458,8457.991611165542,-29.528083706385484,-0.5143753166910228,3530,58.751028578276035,-25.609945143177754,7439.005485682224,10.189861254833174
2002-04-10 to 2004-04-09,2002-04-10,2004-04-09,4.996956837361903,10499.69568373619,-24.789569500285285,0.18403177513990604,3571,49.67593074060788,0.8464853659055188,10084.648536590552,4.150471471456385
2003-05-03 to 2005-05-02,2003-05-03,2005-05-02,19.367838271190614,11936.783827119061,-5.320262140837537,1.2360385733328059,3577,47.00720784412372,25.120932014655533,12512.093201465554,-5.75309374346492
2004-01-29 to 2006-01-28,2004-01-29,2006-01-28,19.81045365224796,11981.045365224796,-4.952499902296531,1.352984979326378,3617,45.48476143034277,13.271051712811785,11327.105171281179,6.539401939436177
2004-07-31 to 2006-07-31,2004-07-31,2006-07-31,23.207807157565437,12320.780715756544,-4.516757309630584,1.455344310951582,3632,45.36146868901138,15.107588750699177,11510.758875069918,8.10021840686626
2005-09-04 to 2007-09-04,2005-09-04,2007-09-04,24.97772484753321,12497.77248475332,-4.7350749560650485,1.4487627708767516,3536,42.0502550942954,20.517385213381896,12051.73852133819,4.460339634151314
2006-03-23 to 2008-03-22,2006-03-23,2008-03-22,18.35364949005765,11835.364949005765,-10.322977827811446,0.7202670902807341,3522,46.030827303594535,1.5141043820319464,10151.410438203195,16.839545108025703
2006-09-19 to 2008-09-18,2006-09-19,2008-09-18,18.090627553788764,11809.062755378876,-14.814004370443984,0.5706575249033071,3556,45.76108187366367,-8.906758274197454,9109.324172580255,26.997385827986218
2007-08-21 to 2009-08-20,2007-08-21,2009-08-20,24.195489426701805,12419.54894267018,-23.11892243408765,0.44559893730767475,3533,53.669983060640426,-30.31808254507308,6968.1917454926925,54.51357197177488
2008-06-04 to 2010-06-04,2008-06-04,2010-06-04,28.25236446312374,12825.236446312374,-22.09937616025715,0.5522372017078436,3480,48.816667478162735,-22.60542212130769,7739.457787869231,50.85778658443143
2010-09-20 to 2012-09-19,2010-09-20,2012-09-19,50.02319612448415,15002.319612448415,-5.664951512385681,1.4758054544288628,1386,50.58951164586865,28.44759489030299,12844.759489030299,21.57560123418116
2011-05-24 to 2013-05-23,2011-05-24,2013-05-23,114.87163451582936,21487.163451582936,-7.980782495101534,1.8518559945633628,2573,37.836547550554954,25.38840528593606,12538.840528593606,89.4832292298933
2012-03-19 to 2014-03-19,2012-03-19,2014-03-19,30.988339863198256,13098.833986319825,-36.404970768724574,0.3247210987732502,3353,46.63701752846805,32.52395851862895,13252.395851862895,-1.5356186554306959
2012-12-07 to 2014-12-07,2012-12-07,2014-12-07,2.4639591148201365,10246.395911482014,-32.343940174927255,0.054596921417465825,2038,40.871155944510676,46.0571551514832,14605.71551514832,-43.593196036663066
2013-07-02 to 2015-07-02,2013-07-02,2015-07-02,-24.207004172313646,7579.299582768635,-32.6442751365594,-1.2768804491022396,1069,47.95787209767934,28.596234057945168,12859.623405794517,-52.80323823025881
2016-04-27 to 2018-04-27,2016-04-27,2018-04-27,17.67310984727781,11767.310984727781,-6.65542879068152,1.1102900922454437,3942,56.76693181510052,27.327437204272155,12732.743720427216,-9.654327356994344
2017-03-26 to 2019-03-26,2017-03-26,2019-03-26,6.152579268676472,10615.257926867647,-14.436746645944828,0.33963665332851023,3778,46.374112703612376,20.33216376713528,12033.216376713528,-14.179584498458809
2018-03-14 to 2020-03-13,2018-03-14,2020-03-13,-13.945241394926832,8605.475860507317,-30.687486340816015,-0.392985994753633,3818,45.591819757881034,-2.172168809991763,9782.783119000824,-11.773072584935068
2018-09-25 to 2020-09-24,2018-09-25,2020-09-24,-11.810327159594163,8818.967284040584,-30.309975279565755,-0.2937590012920227,3719,46.83184575005202,11.263972484952701,11126.39724849527,-23.074299644546862
2019-04-23 to 2021-04-22,2019-04-23,2021-04-22,7.688025605652619,10768.802560565262,-30.522463414700134,0.18342140836420903,3789,49.53876882290525,40.764129384192636,14076.412938419264,-33.076103778540016
2019-12-18 to 2021-12-17,2019-12-18,2021-12-17,21.074535937202164,12107.453593720216,-28.441996038248096,0.5215410638436082,3817,48.21396656382451,43.89373897391457,14389.373897391457,-22.81920303671241
2021-01-05 to 2023-01-05,2021-01-05,2023-01-05,23.88134243940844,12388.134243940844,-12.894620310152838,0.7828197900377029,3952,51.04545221182533,2.167888024572512,10216.788802457251,21.713454414835926
2021-08-02 to 2023-08-02,2021-08-02,2023-08-02,17.131089156053168,11713.108915605317,-13.05872988878653,0.6416210942802086,3924,53.179437093939605,2.865698176344722,10286.569817634472,14.265390979708446
2022-02-02 to 2024-02-02,2022-02-02,2024-02-02,10.645785226050503,11064.57852260505,-12.980576696140842,0.423994211329959,3914,55.84809358638042,8.09008407264031,10809.008407264031,2.555701153410192
2023-02-20 to 2025-02-19,2023-02-20,2025-02-19,22.541145659199103,12254.11456591991,-7.56335951185549,1.3268721540607633,3954,51.94988095537835,53.58189839387565,15358.189839387565,-31.040752734676545
2023-12-09 to 2025-12-08,2023-12-09,2025-12-08,27.67947794039763,12767.947794039763,-11.670826649194298,1.1906823689377133,3941,47.13223764601834,47.97506858016466,14797.506858016466,-20.29559063976703
