date,positions_value,cash,net_liq
2024-04-05,566.6,9441.46,10008.06
2024-04-12,2288.72,7778.22,10066.94
2024-04-19,3446.82,6567.69,10014.52
2024-04-26,3792.29,6226.38,10018.67
2024-05-03,4597.07,5451.88,10048.95
2024-05-10,5205.57,4630.69,9836.26
2024-05-17,2779.44,8122.34,10901.78
2024-05-24,2068.88,9096.5,11165.38
2024-05-31,2775.52,8308.05,11083.57
2024-06-07,2170.95,9069.02,11239.97
2024-06-14,3762.01,7175.51,10937.52
2024-06-21,4311.24,6507.49,10818.73
2024-06-28,6021.66,4331.71,10353.38
2024-07-05,7288.79,2475.55,9764.35
2024-07-12,6959.26,3075.07,10034.33
2024-07-19,3691.4,8365.92,12057.32
2024-07-26,3538.4,8713.28,12251.68
2024-08-02,5633.29,5865.55,11498.84
2024-08-09,6672.88,5468.5,12141.38
2024-08-16,7084.8,4956.05,12040.85
2024-08-23,5888.28,7081.44,12969.72
2024-08-30,7579.1,4334.78,11913.87
2024-09-06,9132.6,1299.38,10431.98
2024-09-13,7359.41,5033.28,12392.69
2024-09-20,6480.65,6705.68,13186.33
2024-09-27,5590.13,8155.29,13745.42
2024-10-04,6719.96,6462.95,13182.9
2024-10-11,6582.65,6839.94,13422.6
2024-10-18,4836.92,9618.0,14454.91
2024-10-25,5519.52,8678.31,14197.83
2024-11-01,4813.38,9856.59,14669.97
2024-11-08,2224.2,13504.5,15728.7
2024-11-15,0.0,16396.15,16396.15
2024-11-22,0.0,16396.15,16396.15
2024-11-29,832.12,15799.68,16631.8
2024-12-06,0.0,16715.91,16715.91
2024-12-13,151.7,16768.49,16920.19
2024-12-20,3187.61,13581.46,16769.07
2024-12-27,3893.76,12910.75,16804.51
2025-01-03,2879.3,14250.49,17129.78
2025-01-10,4013.11,13020.26,17033.37
2025-01-17,1300.41,16392.74,17693.15
2025-01-24,1347.65,16368.02,17715.67
2025-01-31,2399.41,15287.03,17686.44
2025-02-07,4296.56,12946.35,17242.91
2025-02-14,3965.87,13428.11,17393.98
2025-02-21,4719.26,12533.79,17253.05
2025-02-28,7270.34,8725.02,15995.37
2025-03-07,6942.13,9390.86,16332.99
2025-03-14,7633.36,8697.56,16330.92
2025-03-21,7839.74,8386.75,16226.48
2025-03-28,7954.11,8315.65,16269.76
2025-04-04,7966.55,8491.93,16458.48
2025-04-11,8160.49,8593.92,16754.4
2025-04-18,7974.01,8969.49,16943.49
2025-04-25,5788.43,12858.32,18646.75
2025-05-02,5495.03,13335.12,18830.14
2025-05-09,4137.43,15383.48,19520.92
2025-05-16,3948.46,15679.66,19628.13
2025-05-23,2879.3,17084.41,19963.71
2025-05-30,3970.84,15744.34,19715.18
2025-06-06,4241.86,15450.28,19692.14
2025-06-13,4095.16,15727.0,19822.16
2025-06-20,4607.37,15119.56,19726.93
2025-06-27,3814.2,16216.67,20030.87
2025-07-04,3292.04,16960.12,20252.16
2025-07-11,1171.11,19509.32,20680.43
2025-07-18,1462.03,19254.09,20716.12
2025-07-25,1633.59,19096.13,20729.71
2025-08-01,2894.21,17696.4,20590.62
2025-08-08,2088.61,18678.59,20767.19
2025-08-15,2061.26,18808.24,20869.5
2025-08-22,2193.04,18751.89,20944.93
2025-08-29,4269.21,16297.25,20566.47
2025-09-05,3677.44,17119.2,20796.64
2025-09-12,2486.44,18614.16,21100.6
2025-09-19,2958.86,18086.78,21045.64
2025-09-26,4398.51,16310.31,20708.81
2025-10-03,1360.72,20131.79,21492.51
2025-10-10,2965.84,18398.01,21363.85
2025-10-17,5251.76,15414.42,20666.18
2025-10-24,4421.87,16706.0,21127.87
2025-10-31,4685.25,16496.5,21181.75
2025-11-07,6136.32,14567.53,20703.85
2025-11-14,8019.72,11405.47,19425.18
2025-11-21,9719.25,7845.7,17564.95
2025-11-28,8747.74,10186.95,18934.69
2025-12-05,9180.07,9566.55,18746.62
2025-12-12,9060.81,9876.05,18936.85
2025-12-19,9495.63,9054.03,18549.66
2025-12-26,11006.33,5485.43,16491.76
2026-01-02,10733.01,6310.69,17043.7
2026-01-09,10715.62,6462.84,17178.45
2026-01-16,10054.69,8349.48,18404.17
2026-01-23,10887.06,6213.33,17100.39
2026-01-30,11612.59,4074.7,15687.3
2026-02-06,7846.76,3212.92,11059.68
2026-02-13,8235.6,2615.17,10850.77
2026-02-20,8492.62,2126.35,10618.97
2026-02-27,9079.17,1159.67,10238.84
2026-03-06,8624.43,2482.53,11106.96
