date,positions_value,cash,net_liq
2011-10-07,967.61,9032.39,10000.0
2011-10-14,0.0,10078.66,10078.66
2011-10-21,1018.42,9051.99,10070.4
2011-10-28,406.53,9746.57,10153.1
2011-11-04,1600.97,8519.38,10120.35
2011-11-11,3155.83,6756.34,9912.17
2011-11-18,4488.57,5094.23,9582.8
2011-11-25,3495.3,6433.08,9928.38
2011-12-02,3935.36,5955.2,9890.56
2011-12-09,5649.48,3627.91,9277.39
2011-12-16,6772.67,1886.85,8659.52
2011-12-23,6982.22,1550.04,8532.26
2011-12-30,7725.9,0.0,7725.9
2012-01-06,7167.51,1156.64,8324.14
2012-01-13,6172.76,0.0,6172.76
2012-01-20,4517.0,414.84,4931.84
2012-01-27,762.83,5480.97,6243.8
2012-02-03,3815.46,2345.79,6161.25
2012-02-10,3881.82,2331.31,6213.14
2012-02-17,2668.35,3967.82,6636.18
2012-02-24,3891.3,2471.18,6362.48
2012-03-02,5574.33,103.03,5677.37
2012-03-09,4748.53,187.5,4936.03
2012-03-16,3866.08,1213.35,5079.43
2012-03-23,4659.64,179.29,4838.93
2012-03-30,3858.23,0.0,3858.23
2012-04-06,3779.66,0.0,3779.66
2012-04-13,3370.61,0.0,3370.61
2012-04-20,2878.43,279.66,3158.09
2012-04-27,653.57,2964.99,3618.56
2012-05-04,1023.42,2706.31,3729.73
2012-05-11,0.0,3809.63,3809.63
2012-05-18,0.0,3889.1,3889.1
2012-05-25,2134.95,1732.91,3867.86
2012-06-01,3191.02,0.0,3191.02
2012-06-08,3012.07,245.89,3257.97
2012-06-15,619.92,3204.06,3823.98
2012-06-22,231.68,3738.46,3970.14
2012-06-29,-0.0,3993.94,3993.94
2012-07-06,1710.37,2283.57,3993.94
2012-07-13,972.56,3249.04,4221.6
2012-07-20,0.0,4368.63,4368.63
2012-07-27,1308.87,3054.69,4363.56
2012-08-03,3342.28,999.21,4341.49
2012-08-10,4013.59,191.97,4205.56
2012-08-17,3804.92,209.83,4014.75
2012-08-24,3970.62,0.0,3970.62
2012-08-31,2276.67,1706.08,3982.75
2012-09-07,3404.57,378.3,3782.87
2012-09-14,1041.51,3282.07,4323.59
2012-09-21,1401.34,2953.11,4354.44
2012-09-28,0.0,4461.06,4461.06
2012-10-05,1203.09,3240.41,4443.51
2012-10-12,527.78,4000.93,4528.71
2012-10-19,41.67,4529.73,4571.4
2012-10-26,1633.02,2924.91,4557.94
2012-11-02,3003.01,1371.5,4374.5
2012-11-09,3292.01,1045.17,4337.18
2012-11-16,1288.44,3474.16,4762.6
2012-11-23,304.72,4549.64,4854.36
2012-11-30,3808.88,657.97,4466.85
2012-12-07,4022.85,454.69,4477.54
2012-12-14,3971.05,0.0,3971.05
2012-12-21,3148.03,1094.66,4242.7
2012-12-28,3317.9,908.95,4226.86
2013-01-04,2976.83,856.9,3833.73
2013-01-11,1910.48,2010.66,3921.14
2013-01-18,0.0,4080.52,4080.52
2013-01-25,950.04,3119.67,4069.71
2013-02-01,2486.86,1506.13,3992.99
2013-02-08,2770.76,1259.96,4030.72
2013-02-15,3618.66,259.58,3878.24
2013-02-22,2875.09,1212.43,4087.52
2013-03-01,1939.49,2360.93,4300.42
2013-03-08,575.86,3880.19,4456.05
2013-03-15,0.0,4486.06,4486.06
2013-03-22,230.47,4255.56,4486.03
2013-03-29,577.59,3938.08,4515.67
2013-04-05,0.0,4610.15,4610.15
2013-04-12,0.0,4631.8,4631.8
2013-04-19,36.04,4650.58,4686.62
2013-04-26,1441.77,3226.33,4668.11
2013-05-03,2792.05,1863.4,4655.45
2013-05-10,3765.25,677.89,4443.14
2013-05-17,2894.64,1846.17,4740.81
2013-05-24,1674.68,3295.94,4970.62
2013-05-31,3659.89,979.5,4639.39
2013-06-07,4342.59,0.0,4342.59
2013-06-14,3997.6,164.94,4162.53
2013-06-21,3757.7,553.69,4311.39
2013-06-28,3827.6,0.0,3827.6
2013-07-05,3499.09,438.47,3937.56
2013-07-12,3324.34,703.77,4028.12
2013-07-19,2324.81,1987.85,4312.66
2013-07-26,3911.48,84.28,3995.76
2013-08-02,3502.6,0.0,3502.6
2013-08-09,3295.69,0.0,3295.69
2013-08-16,2312.77,1221.25,3534.03
2013-08-23,1254.18,2443.08,3697.26
2013-08-30,756.16,2978.76,3734.92
2013-09-06,1518.9,2191.0,3709.9
2013-09-13,428.63,3379.98,3808.61
2013-09-20,409.94,3409.58,3819.52
2013-09-27,1844.72,1916.16,3760.88
2013-10-04,2499.73,1186.8,3686.53
2013-10-11,494.6,3456.69,3951.29
2013-10-18,819.88,3125.06,3944.93
2013-10-25,1550.63,2380.11,3930.74
2013-11-01,3572.23,0.0,3572.23
2013-11-08,2722.5,886.41,3608.9
