date,positions_value,cash,net_liq
2025-08-08,0.0,10000.0,10000.0
2025-08-15,3051.68,7216.09,10267.77
2025-08-22,5639.41,3945.84,9585.25
2025-08-29,6260.2,3219.98,9480.17
2025-09-05,7572.98,0.0,7572.98
2025-09-12,5433.46,4098.95,9532.41
2025-09-19,2094.63,8800.56,10895.19
2025-09-26,5433.46,4704.46,10137.92
2025-10-03,2365.35,9564.9,11930.25
2025-10-10,4885.06,6841.17,11726.23
2025-10-17,6157.37,5052.28,11209.65
2025-10-24,3727.67,8924.31,12651.98
2025-10-31,6387.2,5399.93,11787.13
2025-11-07,7807.04,981.08,8788.12
2025-11-14,5490.27,0.0,5490.27
2025-11-21,1874.2,2200.0,4074.2
2025-11-28,0.0,4499.09,4499.09
2025-12-05,731.21,4065.82,4797.03
2025-12-12,2019.77,2890.53,4910.3
2025-12-19,1189.21,4510.97,5700.18
2025-12-26,3031.59,2496.37,5527.96
2026-01-02,2428.05,3299.28,5727.33
2026-01-09,2713.94,3064.95,5778.89
2026-01-16,4270.43,1447.44,5717.87
2026-01-23,4857.27,0.0,4857.27
2026-01-30,4011.67,0.0,4011.67
2026-02-06,0.0,3098.44,3098.44
2026-02-13,235.71,3015.85,3251.57
2026-02-20,72.37,3210.15,3282.51
2026-02-27,1350.9,2598.08,3948.98
2026-03-06,1198.28,3153.73,4352.01
