date,positions_value,cash,net_liq
2006-06-23,195.44,9804.07,9999.52
2006-06-30,0.0,10015.58,10015.58
2006-07-07,392.32,9626.24,10018.56
2006-07-14,1452.72,8518.61,9971.33
2006-07-21,1100.75,8915.54,10016.29
2006-07-28,113.8,9952.64,10066.44
2006-08-04,35.28,10034.41,10069.7
2006-08-11,479.48,9587.12,10066.61
2006-08-18,0.0,10079.57,10079.57
2006-08-25,241.36,9837.44,10078.8
2006-09-01,6.68,10075.0,10081.68
2006-09-08,246.32,9836.84,10083.16
2006-09-15,0.0,10087.81,10087.81
2006-09-22,357.55,9730.1,10087.66
2006-09-29,108.06,9986.44,10094.5
2006-10-06,44.48,10051.14,10095.62
2006-10-13,0.0,10096.78,10096.78
2006-10-20,37.6,10059.43,10097.03
2006-10-27,149.07,9948.63,10097.69
2006-11-03,451.07,9641.71,10092.78
2006-11-10,196.58,9905.84,10102.42
2006-11-17,0.0,10105.31,10105.31
2006-11-24,144.32,9960.95,10105.27
2006-12-01,361.77,9748.83,10110.6
2006-12-08,114.33,10002.0,10116.32
2006-12-15,0.0,10117.78,10117.78
2006-12-22,1522.57,8571.9,10094.47
2006-12-29,1237.55,8885.83,10123.38
2007-01-05,1482.11,8621.44,10103.55
2007-01-12,1054.67,9085.59,10140.25
2007-01-19,1054.41,9085.81,10140.22
2007-01-26,1280.77,8848.48,10129.25
2007-02-02,883.27,9276.56,10159.83
2007-02-09,1032.33,9119.03,10151.36
2007-02-16,579.35,9599.37,10178.72
2007-02-23,829.75,9338.63,10168.38
2007-03-02,2184.85,7900.35,10085.21
2007-03-09,1761.39,8389.81,10151.2
2007-03-16,2184.85,7920.95,10105.8
2007-03-23,1332.39,8883.87,10216.26
2007-03-30,1696.94,8485.66,10182.6
2007-04-06,1245.85,8984.67,10230.53
2007-04-13,1128.02,9114.88,10242.9
2007-04-20,266.1,10023.2,10289.3
2007-04-27,0.0,10295.49,10295.49
2007-05-04,0.0,10296.96,10296.96
2007-05-11,75.77,10227.23,10303.0
2007-05-18,0.0,10303.89,10303.89
2007-05-25,121.49,10184.53,10306.02
2007-06-01,0.0,10307.59,10307.59
2007-06-08,627.8,9685.35,10313.15
2007-06-15,98.38,10237.51,10335.89
2007-06-22,727.59,9601.66,10329.25
2007-06-29,709.04,9626.07,10335.11
2007-07-06,258.84,10092.9,10351.74
2007-07-13,0.0,10371.92,10371.92
2007-07-20,252.59,10119.71,10372.3
2007-07-27,1540.0,8785.65,10325.65
2007-08-03,1779.56,8537.69,10317.24
