date,positions_value,cash,net_liq
2007-02-02,0.0,10000.0,10000.0
2007-02-09,286.36,9718.61,10004.97
2007-02-16,420.45,9593.22,10013.68
2007-02-23,0.0,10027.11,10027.11
2007-03-02,1756.28,8216.13,9972.41
2007-03-09,1042.51,9018.87,10061.38
2007-03-16,1607.67,8420.44,10028.11
2007-03-23,0.0,10145.65,10145.65
2007-03-30,441.02,9708.32,10149.34
2007-04-06,0.0,10160.39,10160.39
2007-04-13,-0.0,10165.21,10165.21
2007-04-20,87.07,10096.07,10183.14
2007-04-27,0.0,10194.36,10194.36
2007-05-04,37.93,10166.03,10203.96
2007-05-11,0.0,10231.15,10231.15
2007-05-18,0.0,10231.37,10231.37
2007-05-25,304.47,9944.2,10248.67
2007-06-01,-0.0,10264.99,10264.99
2007-06-08,963.96,9289.34,10253.3
2007-06-15,0.0,10311.5,10311.5
2007-06-22,695.21,9643.36,10338.57
2007-06-29,1061.94,9276.0,10337.94
2007-07-06,31.89,10353.57,10385.46
2007-07-13,0.0,10390.13,10390.13
2007-07-20,130.77,10281.32,10412.09
2007-07-27,2277.38,8053.65,10331.04
2007-08-03,3521.78,6598.38,10120.16
2007-08-10,2834.08,7496.92,10331.0
2007-08-17,3157.36,7165.39,10322.75
2007-08-24,2415.28,8086.08,10501.36
2007-08-31,2350.62,8207.23,10557.85
2007-09-07,1936.24,8710.2,10646.44
2007-09-14,1144.2,9599.26,10743.46
2007-09-21,0.0,10805.47,10805.47
2007-09-28,425.67,10384.86,10810.52
2007-10-05,421.75,10403.09,10824.84
2007-10-12,0.0,10847.07,10847.07
2007-10-19,1432.52,9415.14,10847.65
2007-10-26,808.19,10100.69,10908.88
2007-11-02,1365.28,9578.0,10943.28
2007-11-09,1882.58,9072.79,10955.37
2007-11-16,2719.58,8197.05,10916.64
2007-11-23,2375.18,8649.96,11025.14
2007-11-30,2331.27,8730.81,11062.08
2007-12-07,1228.07,10007.64,11235.7
2007-12-14,1322.74,9951.8,11274.55
2007-12-21,1543.66,9775.14,11318.8
2007-12-28,1088.11,10281.84,11369.95
2008-01-04,1805.74,9532.53,11338.27
2008-01-11,2718.21,8500.41,11218.62
2008-01-18,4967.15,5703.33,10670.48
2008-01-25,5190.81,5426.23,10617.04
2008-02-01,4519.83,6395.5,10915.34
2008-02-08,5156.51,5558.61,10715.11
2008-02-15,4013.51,7185.96,11199.48
2008-02-22,3376.84,8050.69,11427.53
2008-02-29,3020.08,8562.14,11582.23
2008-03-07,3861.21,7544.32,11405.53
2008-03-14,3444.07,8171.61,11615.68
2008-03-21,4768.19,6572.22,11340.41
2008-03-28,4458.09,7037.04,11495.13
2008-04-04,3216.3,8678.56,11894.86
2008-04-11,3202.58,8705.4,11907.98
2008-04-18,1067.53,11212.0,12279.52
2008-04-25,1346.07,10938.04,12284.11
2008-05-02,2028.03,10218.99,12247.02
2008-05-09,974.22,11408.76,12382.98
2008-05-16,0.0,12449.55,12449.55
2008-05-23,1365.29,11046.43,12411.73
2008-05-30,1617.65,10800.03,12417.68
2008-06-06,1488.24,11034.94,12523.17
2008-06-13,1556.82,11001.54,12558.37
2008-06-20,1727.65,10841.77,12569.41
2008-06-27,1320.0,11350.8,12670.8
2008-07-04,1831.18,10821.02,12652.19
2008-07-11,2972.59,9560.21,12532.79
2008-07-18,4473.76,7708.07,12181.84
2008-07-25,5307.18,6612.9,11920.07
2008-08-01,5292.94,6766.19,12059.13
2008-08-08,6294.59,5319.69,11614.28
2008-08-15,6329.53,5305.59,11635.12
2008-08-22,5305.88,6969.19,12275.08
2008-08-29,5422.35,6824.71,12247.06
2008-09-05,7182.35,4071.78,11254.13
2008-09-12,7099.53,4427.56,11527.09
2008-09-19,6535.29,5739.86,12275.15
2008-09-26,7208.24,4635.37,11843.61
2008-10-03,9620.1,0.0,9620.1
2008-10-10,5180.06,0.0,5180.06
2008-10-17,4339.15,3307.51,7646.66
2008-10-24,5357.94,2870.67,8228.61
2008-10-31,2147.93,7589.41,9737.34
2008-11-07,2924.15,7099.06,10023.21
2008-11-14,4201.69,6113.18,10314.87
2008-11-21,5867.34,4766.32,10633.66
2008-11-28,3348.65,8496.59,11845.24
2008-12-05,6190.77,5088.0,11278.77
2008-12-12,4533.2,7667.3,12200.5
2008-12-19,5612.64,6260.31,11872.95
2008-12-26,5923.94,5819.96,11743.9
2009-01-02,3744.85,9006.97,12751.81
2009-01-09,4565.54,8006.18,12571.73
2009-01-16,5479.23,6813.17,12292.39
2009-01-23,5374.11,7230.98,12605.09
2009-01-30,5600.51,6959.4,12559.91
2009-02-06,4355.32,8783.27,13138.59
