date,positions_value,cash,net_liq
2009-06-05,0.0,10000.0,10000.0
2009-06-12,344.76,9656.01,10000.77
2009-06-19,589.86,9420.17,10010.03
2009-06-26,105.04,9954.6,10059.64
2009-07-03,929.24,9129.82,10059.05
2009-07-10,1440.99,8591.18,10032.17
2009-07-17,1255.14,8805.66,10060.8
2009-07-24,0.0,10125.63,10125.63
2009-07-31,0.0,10127.53,10127.53
2009-08-07,394.97,9731.39,10126.36
2009-08-14,54.31,10079.74,10134.05
2009-08-21,0.0,10164.91,10164.91
2009-08-28,137.01,10028.42,10165.43
2009-09-04,774.8,9381.92,10156.72
2009-09-11,0.0,10181.77,10181.77
2009-09-18,484.47,9698.51,10182.98
2009-09-25,844.89,9339.96,10184.85
2009-10-02,1322.34,8836.85,10159.19
2009-10-09,1200.64,9011.72,10212.36
2009-10-16,1240.43,8968.93,10209.35
2009-10-23,1898.08,8258.38,10156.46
2009-10-30,2471.49,7603.36,10074.85
2009-11-06,2085.32,8058.63,10143.95
2009-11-13,2452.22,7637.89,10090.12
2009-11-20,3208.46,6758.31,9966.78
2009-11-27,2833.86,7239.66,10073.52
2009-12-04,1319.04,9028.93,10347.96
2009-12-11,1543.8,8784.91,10328.71
2009-12-18,1697.65,8615.14,10312.79
2009-12-25,1247.89,9114.03,10361.92
2010-01-01,1772.82,8550.75,10323.57
2010-01-08,770.56,9661.79,10432.35
2010-01-15,248.83,10217.83,10466.66
2010-01-22,656.02,9817.28,10473.3
2010-01-29,1888.88,8494.21,10383.09
2010-02-05,2363.93,7982.48,10346.41
2010-02-12,2237.25,8137.15,10374.4
2010-02-19,2284.75,8094.75,10379.51
2010-02-26,1703.39,8764.19,10467.57
2010-03-05,1321.09,9195.9,10516.98
2010-03-12,789.48,9777.98,10567.47
2010-03-19,631.14,9950.28,10581.41
2010-03-26,597.2,9990.44,10587.64
2010-04-02,11.3,10594.91,10606.21
2010-04-09,-0.0,10610.88,10610.88
2010-04-16,651.43,9961.41,10612.84
2010-04-23,717.01,9899.44,10616.45
2010-04-30,981.52,9637.47,10618.99
2010-05-07,2393.68,8115.78,10509.46
2010-05-14,2651.63,7862.95,10514.58
2010-05-21,2887.72,7602.83,10490.55
2010-05-28,3456.08,6927.82,10383.9
2010-06-04,4129.37,6069.59,10198.97
2010-06-11,3856.12,6452.71,10308.83
2010-06-18,3282.71,7200.11,10482.82
2010-06-25,3501.18,6932.31,10433.49
2010-07-02,4198.09,6046.08,10244.17
2010-07-09,3289.27,7253.88,10543.15
2010-07-16,3719.65,6718.09,10437.74
2010-07-23,3464.04,7052.86,10516.9
2010-07-30,3160.37,7442.54,10602.92
2010-08-06,2712.52,8003.63,10716.15
2010-08-13,3769.9,6730.74,10500.64
2010-08-20,3376.66,7236.76,10613.41
2010-08-27,3509.92,7078.71,10588.64
2010-09-03,3077.36,7641.18,10718.54
2010-09-10,2834.4,7939.45,10773.86
2010-09-17,2896.88,7873.67,10770.54
2010-09-24,2514.71,8346.85,10861.56
2010-10-01,2529.99,8335.91,10865.9
2010-10-08,1689.52,9350.15,11039.67
2010-10-15,1755.03,9278.68,11033.7
2010-10-22,1864.2,9156.28,11020.48
2010-10-29,2152.42,8834.59,10987.0
2010-11-05,1471.18,9660.75,11131.92
2010-11-12,1392.57,9752.89,11145.46
2010-11-19,955.88,10280.26,11236.13
2010-11-26,1602.18,9621.34,11223.52
2010-12-03,451.49,10869.07,11320.56
2010-12-10,717.88,10600.53,11318.41
2010-12-17,394.72,10953.71,11348.44
2010-12-24,0.0,11355.3,11355.3
2010-12-31,127.24,11236.05,11363.29
