date,positions_value,cash,net_liq
2006-06-23,0.0,10004.04,10004.04
2006-06-30,0.0,10019.03,10019.03
2006-07-07,708.02,9305.34,10013.36
2006-07-14,1895.8,8035.32,9931.12
2006-07-21,2453.76,7442.75,9896.51
2006-07-28,1350.52,8720.25,10070.77
2006-08-04,1263.87,8819.6,10083.46
2006-08-11,1971.88,8043.55,10015.44
2006-08-18,1008.13,9122.08,10130.21
2006-08-25,1620.59,8461.99,10082.57
2006-09-01,895.43,9251.41,10146.84
2006-09-08,1462.02,8653.46,10115.49
2006-09-15,978.15,9189.19,10167.34
2006-09-22,1409.31,8730.26,10139.57
2006-09-29,937.99,9244.9,10182.89
2006-10-06,555.44,9662.64,10218.08
2006-10-13,0.0,10234.08,10234.08
2006-10-20,469.68,9763.71,10233.39
2006-10-27,387.29,9855.7,10242.99
2006-11-03,800.79,9432.76,10233.55
2006-11-10,205.75,10052.97,10258.71
2006-11-17,106.18,10156.24,10262.43
2006-11-24,97.29,10165.68,10262.97
2006-12-01,227.53,10052.82,10280.35
2006-12-08,252.02,10033.09,10285.12
2006-12-15,276.84,10011.02,10287.87
2006-12-22,1674.44,8551.09,10225.53
2006-12-29,1542.7,8704.8,10247.5
2007-01-05,1756.54,8473.66,10230.2
2007-01-12,947.0,9362.01,10309.01
2007-01-19,1141.75,9159.54,10301.29
2007-01-26,1071.11,9245.27,10316.37
2007-02-02,164.2,10195.68,10359.88
2007-02-09,173.82,10187.85,10361.68
2007-02-16,0.0,10367.22,10367.22
2007-02-23,0.0,10367.22,10367.22
2007-03-02,1668.21,8666.2,10334.41
2007-03-09,1329.47,9072.17,10401.64
2007-03-16,1739.24,8636.57,10375.81
2007-03-23,500.83,9979.99,10480.82
2007-03-30,825.0,9644.52,10469.52
2007-04-06,478.97,10006.56,10485.53
2007-04-13,193.05,10301.83,10494.87
2007-04-20,0.0,10502.08,10502.08
2007-04-27,194.24,10308.28,10502.52
2007-05-04,7.0,10509.8,10516.8
2007-05-11,160.46,10365.0,10525.46
2007-05-18,75.92,10453.0,10528.91
2007-05-25,451.5,10083.44,10534.94
2007-06-01,0.0,10546.26,10546.26
2007-06-08,1034.31,9505.54,10539.85
2007-06-15,527.78,10049.77,10577.54
2007-06-22,931.37,9634.22,10565.59
2007-06-29,1147.06,9416.31,10563.37
2007-07-06,452.61,10154.17,10606.78
2007-07-13,192.88,10434.14,10627.02
2007-07-20,601.34,10019.65,10620.99
2007-07-27,2726.93,7697.89,10424.82
2007-08-03,3007.95,7409.09,10417.04
2007-08-10,2780.85,7715.15,10496.0
2007-08-17,3212.18,7230.48,10442.65
2007-08-24,2326.65,8310.41,10637.06
2007-08-31,2452.45,8213.59,10666.04
2007-09-07,2759.61,7861.69,10621.3
2007-09-14,2504.73,8172.65,10677.38
2007-09-21,1955.99,8840.94,10796.93
2007-09-28,1799.16,9022.23,10821.4
2007-10-05,842.64,10079.99,10922.64
2007-10-12,994.5,9923.26,10917.75
2007-10-19,2093.4,8737.75,10831.15
2007-10-26,1564.36,9340.79,10905.15
2007-11-02,1883.82,9018.4,10902.22
2007-11-09,2696.46,8099.78,10796.25
2007-11-16,3089.73,7658.77,10748.5
2007-11-23,3616.36,7023.63,10639.99
2007-11-30,2829.69,8050.32,10880.01
2007-12-07,2091.99,8935.11,11027.1
2007-12-14,3032.07,7866.17,10898.24
2007-12-21,3237.71,7634.27,10871.99
2007-12-28,3511.9,7302.19,10814.09
2008-01-04,4843.68,5553.83,10397.52
2008-01-11,5432.86,4719.39,10152.25
2008-01-18,6567.16,2984.27,9551.43
2008-01-25,6129.76,3715.77,9845.53
2008-02-01,4749.02,5836.86,10585.88
2008-02-08,5636.87,4578.44,10215.31
2008-02-15,5525.89,4759.06,10284.95
2008-02-22,5455.75,4878.09,10333.84
2008-02-29,5736.35,4499.89,10236.23
2008-03-07,6522.66,3281.13,9803.79
2008-03-14,6499.82,3378.26,9878.08
2008-03-21,6475.35,3501.19,9976.54
2008-03-28,6325.26,3784.49,10109.76
2008-04-04,5163.74,5609.61,10773.35
2008-04-11,5599.31,4986.3,10585.61
2008-04-18,4796.69,6189.73,10986.42
2008-04-25,4411.69,6742.5,11154.19
2008-05-02,4211.03,7020.29,11231.33
2008-05-09,4119.68,7152.15,11271.82
2008-05-16,3219.17,8322.67,11541.84
2008-05-23,4034.85,7293.32,11328.17
