date,positions_value,cash,net_liq
2025-09-12,0.0,10000.17,10000.17
2025-09-19,288.52,9777.84,10066.36
2025-09-26,1014.45,9070.94,10085.39
2025-10-03,198.79,9947.64,10146.43
2025-10-10,1629.95,8537.78,10167.73
2025-10-17,1717.36,8547.24,10264.6
2025-10-24,1239.17,9096.38,10335.55
2025-10-31,661.09,9782.15,10443.24
2025-11-07,3018.43,7246.68,10265.1
2025-11-14,2806.22,7697.92,10504.14
2025-11-21,4457.13,5689.81,10146.94
2025-11-28,4771.35,5313.76,10085.11
2025-12-05,4077.62,6290.89,10368.51
2025-12-12,5096.46,4934.73,10031.18
2025-12-19,4403.63,6019.62,10423.25
2025-12-26,3192.09,7634.36,10826.45
2026-01-02,3474.57,7290.13,10764.69
2026-01-09,4030.91,6591.33,10622.24
2026-01-16,3865.87,6831.25,10697.12
2026-01-23,3758.86,7079.83,10838.69
2026-01-30,3305.44,7672.33,10977.77
2026-02-06,4239.49,6739.7,10979.19
2026-02-13,4643.03,6238.68,10881.72
2026-02-20,3743.7,7458.27,11201.97
2026-02-27,5431.23,5295.39,10726.63
2026-03-06,5432.7,5359.87,10792.57
