date,positions_value,cash,net_liq
2006-06-23,436.18,9562.66,9998.84
2006-06-30,158.33,9887.78,10046.12
2006-07-07,1088.1,8939.78,10027.88
2006-07-14,2469.69,7419.93,9889.62
2006-07-21,2729.3,7126.55,9855.85
2006-07-28,1627.65,8421.86,10049.5
2006-08-04,1792.44,8253.66,10046.1
2006-08-11,2111.96,7894.75,10006.71
2006-08-18,417.93,9772.14,10190.07
2006-08-25,756.73,9426.64,10183.36
2006-09-01,158.17,10045.67,10203.84
2006-09-08,627.29,9581.5,10208.79
2006-09-15,-0.0,10233.47,10233.47
2006-09-22,494.89,9741.04,10235.94
2006-09-29,126.11,10128.59,10254.7
2006-10-06,91.56,10182.69,10274.25
2006-10-13,0.0,10276.78,10276.78
2006-10-20,370.14,9907.85,10277.98
2006-10-27,467.03,9820.32,10287.35
2006-11-03,701.51,9585.1,10286.61
2006-11-10,49.37,10262.83,10312.2
2006-11-17,35.95,10277.05,10313.0
2006-11-24,104.28,10208.86,10313.14
2006-12-01,802.37,9512.0,10314.37
2006-12-08,682.19,9649.45,10331.64
2006-12-15,284.54,10065.15,10349.69
2006-12-22,2255.14,7975.34,10230.48
2006-12-29,2177.38,8066.75,10244.12
2007-01-05,1830.98,8473.29,10304.26
2007-01-12,752.89,9653.67,10406.55
2007-01-19,1627.73,8727.59,10355.32
2007-01-26,2055.43,8263.56,10318.99
2007-02-02,1606.52,8770.76,10377.28
2007-02-09,1845.42,8517.54,10362.96
2007-02-16,1253.58,9180.57,10434.15
2007-02-23,953.25,9505.48,10458.72
2007-03-02,2921.32,7369.74,10291.06
2007-03-09,2539.72,7843.01,10382.73
2007-03-16,2658.09,7721.77,10379.86
2007-03-23,1877.22,8644.03,10521.25
2007-03-30,2193.45,8288.45,10481.9
2007-04-06,1589.25,8979.07,10568.32
2007-04-13,1545.09,9034.62,10579.71
2007-04-20,1038.05,9589.38,10627.43
2007-04-27,280.99,10386.75,10667.74
2007-05-04,242.14,10434.14,10676.28
2007-05-11,194.26,10492.77,10687.03
2007-05-18,277.29,10417.97,10695.25
2007-05-25,468.1,10232.63,10700.73
2007-06-01,13.94,10697.45,10711.38
2007-06-08,496.59,10226.83,10723.41
2007-06-15,0.0,10740.83,10740.83
2007-06-22,351.54,10394.26,10745.8
2007-06-29,106.85,10648.25,10755.09
2007-07-06,0.0,10756.45,10756.45
2007-07-13,0.0,10761.0,10761.0
2007-07-20,139.25,10621.92,10761.18
2007-07-27,1559.89,9146.94,10706.82
2007-08-03,1922.87,8780.66,10703.52
2007-08-10,2062.11,8657.84,10719.96
2007-08-17,2703.58,7944.13,10647.71
2007-08-24,1519.2,9321.48,10840.68
2007-08-31,1178.13,9740.21,10918.34
2007-09-07,1522.34,9387.96,10910.3
2007-09-14,1032.51,9924.36,10956.87
2007-09-21,312.73,10700.75,11013.48
2007-09-28,98.62,10920.64,11019.26
2007-10-05,0.0,11030.43,11030.43
2007-10-12,16.95,11027.36,11044.31
2007-10-19,789.32,10261.35,11050.67
2007-10-26,83.77,11001.89,11085.66
2007-11-02,324.69,10767.03,11091.72
2007-11-09,2942.44,7948.17,10890.61
2007-11-16,2796.93,8206.84,11003.77
2007-11-23,3140.48,7806.52,10947.01
2007-11-30,2291.7,8866.14,11157.84
2007-12-07,1778.39,9469.8,11248.2
2007-12-14,2569.24,8580.04,11149.28
2007-12-21,2757.86,8384.57,11142.43
2007-12-28,2883.15,8241.99,11125.14
2008-01-04,4611.7,6079.33,10691.04
2008-01-11,5269.09,5178.98,10448.07
2008-01-18,6175.04,3828.38,10003.42
2008-01-25,6807.74,2834.11,9641.85
2008-02-01,6067.35,4063.78,10131.13
2008-02-08,7009.66,2551.61,9561.26
2008-02-15,6875.04,2807.29,9682.33
2008-02-22,6942.35,2695.5,9637.86
2008-02-29,7246.58,2174.29,9420.86
2008-03-07,7719.08,1339.37,9058.44
2008-03-14,7706.96,1458.62,9165.59
2008-03-21,7405.43,2106.75,9512.17
2008-03-28,7124.08,2671.19,9795.27
2008-04-04,6153.51,4352.48,10505.99
2008-04-11,6836.01,3260.62,10096.62
2008-04-18,5826.4,4957.76,10784.15
2008-04-25,5623.13,5276.05,10899.17
2008-05-02,4808.71,6502.66,11311.37
2008-05-09,5147.58,6031.05,11178.62
2008-05-16,4293.39,7252.47,11545.85
2008-05-23,5179.91,6026.38,11206.29
2008-05-30,4306.86,7266.36,11573.21
2008-06-06,4895.64,6506.94,11402.57
2008-06-13,5163.74,6151.92,11315.67
2008-06-20,5559.86,5598.17,11158.03
2008-06-27,6385.75,4354.76,10740.51
2008-07-04,6907.16,3512.12,10419.29
2008-07-11,6938.15,3493.45,10431.6
2008-07-18,6834.41,3693.18,10527.59
2008-07-25,6695.64,3948.35,10643.99
2008-08-01,6814.2,3770.0,10584.2
2008-08-08,5827.97,5423.76,11251.73
2008-08-15,5379.88,6115.09,11494.97
2008-08-22,5785.05,5519.71,11304.76
2008-08-29,6393.49,4576.29,10969.78
2008-09-05,7482.48,2739.13,10221.61
2008-09-12,7456.9,2812.83,10269.73
2008-09-19,7973.8,2019.54,9993.35
2008-09-26,8584.94,849.99,9434.93
2008-10-03,7473.18,0.0,7473.18
2008-10-10,5316.39,246.34,5562.72
2008-10-17,4747.88,1843.14,6591.02
2008-10-24,5754.12,0.0,5754.12
2008-10-31,2176.85,4573.24,6750.1
2008-11-07,3696.49,2948.62,6645.11
2008-11-14,5553.79,659.32,6213.1
2008-11-21,3927.7,1295.66,5223.36
2008-11-28,1560.14,4305.89,5866.03
2008-12-05,1972.62,4174.1,6146.71
2008-12-12,1249.36,5063.98,6313.33
2008-12-19,1113.74,5303.47,6417.21
2008-12-26,1848.33,4510.51,6358.84
2009-01-02,0.0,6555.93,6555.93
2009-01-09,1293.05,5256.82,6549.87
2009-01-16,1994.83,4531.91,6526.74
2009-01-23,2613.72,3942.37,6556.09
2009-01-30,2503.2,4144.33,6647.54
2009-02-06,204.48,6704.37,6908.85
2009-02-13,1193.57,5726.8,6920.36
2009-02-20,2757.37,4005.54,6762.92
2009-02-27,4055.94,2469.23,6525.17
2009-03-06,5155.58,1028.25,6183.83
2009-03-13,3039.2,4025.43,7064.63
2009-03-20,2613.06,4606.97,7220.03
2009-03-27,1120.41,6453.36,7573.78
2009-04-03,0.0,7683.87,7683.87
2009-04-10,0.0,7740.87,7740.87
2009-04-17,0.0,7763.18,7763.18
2009-04-24,0.0,7814.05,7814.05
2009-05-01,0.0,7820.17,7820.17
2009-05-08,780.21,7040.48,7820.69
2009-05-15,1648.15,6138.91,7787.06
2009-05-22,1495.78,6343.22,7839.0
2009-05-29,0.0,7968.17,7968.17
2009-06-05,0.0,7969.04,7969.04
2009-06-12,263.84,7706.14,7969.98
2009-06-19,711.92,7269.33,7981.24
2009-06-26,523.47,7514.76,8038.23
2009-07-03,1206.09,6810.19,8016.28
2009-07-10,1800.75,6179.45,7980.19
2009-07-17,0.0,8135.25,8135.25
2009-07-24,14.86,8120.39,8135.25
2009-07-31,113.93,8022.87,8136.8
2009-08-07,154.46,7993.45,8147.91
2009-08-14,376.48,7784.28,8160.77
2009-08-21,0.0,8211.62,8211.62
2009-08-28,0.0,8211.96,8211.96
2009-09-04,105.85,8137.02,8242.87
2009-09-11,0.0,8244.99,8244.99
2009-09-18,0.0,8245.05,8245.05
2009-09-25,729.96,7504.32,8234.27
2009-10-02,1380.11,6849.2,8229.31
2009-10-09,193.87,8109.19,8303.06
2009-10-16,270.5,8035.87,8306.37
2009-10-23,132.67,8179.25,8311.92
2009-10-30,1783.27,6483.93,8267.2
2009-11-06,595.45,7785.63,8381.08
2009-11-13,0.0,8409.5,8409.5
2009-11-20,833.33,7564.65,8397.98
2009-11-27,809.94,7605.06,8415.0
2009-12-04,377.19,8059.12,8436.31
2009-12-11,368.43,8074.67,8443.1
2009-12-18,96.49,8366.95,8463.44
2009-12-25,0.0,8465.68,8465.68
2010-01-01,299.61,8166.28,8465.89
2010-01-08,-0.0,8476.87,8476.87
2010-01-15,491.54,7992.33,8483.87
2010-01-22,1680.34,6765.28,8445.62
2010-01-29,2611.76,5728.46,8340.22
2010-02-05,2528.56,5863.71,8392.27
2010-02-12,1999.75,6488.77,8488.52
2010-02-19,1301.85,7271.84,8573.69
2010-02-26,1339.44,7240.0,8579.44
2010-03-05,214.74,8434.93,8649.67
2010-03-12,0.0,8652.56,8652.56
2010-03-19,189.75,8463.65,8653.4
2010-03-26,170.83,8486.1,8656.93
2010-04-02,154.99,8503.49,8658.48
2010-04-09,0.0,8661.59,8661.59
2010-04-16,389.53,8272.07,8661.59
2010-04-23,0.0,8668.78,8668.78
2010-04-30,827.3,7855.85,8683.15
2010-05-07,3189.69,5255.57,8445.27
2010-05-14,2357.79,6364.27,8722.06
2010-05-21,3628.63,4868.61,8497.23
2010-05-28,3219.57,5440.17,8659.73
2010-06-04,3509.13,5138.62,8647.74
2010-06-11,3329.87,5407.89,8737.76
2010-06-18,2376.96,6584.89,8961.85
2010-06-25,3426.94,5323.93,8750.87
2010-07-02,5009.96,3254.63,8264.6
2010-07-09,3840.5,4890.19,8730.69
2010-07-16,4003.63,4708.47,8712.1
2010-07-23,3043.26,5963.65,9006.91
2010-07-30,3188.0,5791.25,8979.24
2010-08-06,2643.48,6467.65,9111.13
2010-08-13,3849.69,4998.56,8848.25
2010-08-20,3744.01,5149.21,8893.22
2010-08-27,4215.0,4554.87,8769.87
2010-09-03,3128.27,5997.54,9125.81
2010-09-10,2813.51,6388.72,9202.23
2010-09-17,1922.06,7439.24,9361.3
2010-09-24,906.53,8573.37,9479.91
2010-10-01,1301.71,8151.69,9453.41
2010-10-08,895.05,8613.47,9508.52
2010-10-15,0.0,9550.14,9550.14
2010-10-22,0.0,9558.19,9558.19
2010-10-29,54.91,9503.28,9558.19
2010-11-05,0.0,9559.35,9559.35
2010-11-12,768.26,8783.64,9551.9
2010-11-19,797.4,8771.44,9568.85
2010-11-26,628.76,8972.44,9601.2
2010-12-03,0.0,9636.98,9636.98
2010-12-10,0.0,9637.01,9637.01
2010-12-17,0.0,9639.54,9639.54
2010-12-24,87.75,9551.79,9639.54
2010-12-31,261.26,9377.21,9638.48
2011-01-07,21.17,9625.84,9647.01
2011-01-14,-0.0,9647.15,9647.15
2011-01-21,859.88,8772.17,9632.05
2011-01-28,839.64,8824.27,9663.91
2011-02-04,0.0,9698.83,9698.83
2011-02-11,0.0,9699.29,9699.29
2011-02-18,81.71,9618.06,9699.77
2011-02-25,719.74,9003.67,9723.42
2011-03-04,565.01,9187.63,9752.64
2011-03-11,1375.15,8343.15,9718.3
2011-03-18,2413.02,7199.25,9612.28
2011-03-25,1171.75,8615.88,9787.63
2011-04-01,846.65,8967.36,9814.0
2011-04-08,1112.27,8686.09,9798.37
2011-04-15,1284.47,8504.71,9789.18
2011-04-22,385.25,9473.12,9858.37
2011-04-29,55.3,9810.04,9865.34
2011-05-06,400.92,9462.35,9863.27
2011-05-13,457.95,9413.75,9871.7
2011-05-20,817.39,9054.99,9872.39
2011-05-27,1004.03,8868.25,9872.28
2011-06-03,1595.05,8257.74,9852.79
2011-06-10,2500.58,7235.44,9736.02
2011-06-17,2884.21,6793.49,9677.7
2011-06-24,2597.35,7167.45,9764.8
2011-07-01,750.0,9254.87,10004.87
2011-07-08,150.35,9879.47,10029.82
2011-07-15,808.76,9224.64,10033.4
2011-07-22,0.0,10076.58,10076.58
2011-07-29,895.74,9178.13,10073.87
2011-08-05,3101.67,6764.41,9866.08
2011-08-12,3375.7,6733.86,10109.56
