date,positions_value,cash,net_liq
2025-08-15,0.0,10000.0,10000.0
2025-08-22,500.35,9510.16,10010.51
2025-08-29,585.75,9429.71,10015.46
2025-09-05,302.2,9729.81,10032.01
2025-09-12,0.0,10036.19,10036.19
2025-09-19,-0.0,10038.91,10038.91
2025-09-26,482.98,9553.03,10036.01
2025-10-03,206.99,9837.9,10044.89
2025-10-10,1099.85,8951.8,10051.65
2025-10-17,450.37,9650.02,10100.39
2025-10-24,0.0,10121.7,10121.7
2025-10-31,327.6,9802.09,10129.69
2025-11-07,1438.31,8662.66,10100.97
2025-11-14,1406.25,8734.45,10140.7
2025-11-21,2607.92,7397.11,10005.04
2025-11-28,1309.71,8899.99,10209.71
2025-12-05,1038.11,9195.39,10233.5
2025-12-12,1645.1,8546.86,10191.96
2025-12-19,1374.36,8873.59,10247.95
2025-12-26,970.16,9311.53,10281.69
2026-01-02,1533.94,8704.95,10238.9
2026-01-09,922.77,9373.78,10296.55
2026-01-16,1190.03,9094.21,10284.24
2026-01-23,1162.15,9153.5,10315.65
2026-01-30,1192.82,9135.18,10328.0
2026-02-06,1963.58,8334.55,10298.13
2026-02-13,2636.08,7581.07,10217.15
2026-02-20,2120.03,8192.45,10312.48
2026-02-27,2326.66,7981.92,10308.58
2026-03-06,2655.94,7619.69,10275.63
