date,positions_value,cash,net_liq
2007-02-02,0.0,10000.0,10000.0
2007-02-09,154.7,9845.6,10000.3
2007-02-16,0.0,10002.77,10002.77
2007-02-23,146.63,9856.15,10002.77
2007-03-02,1282.98,8692.83,9975.81
2007-03-09,1415.86,8554.8,9970.66
2007-03-16,1592.82,8361.92,9954.74
2007-03-23,873.8,9145.8,10019.6
2007-03-30,1169.2,8834.65,10003.85
2007-04-06,250.95,9806.23,10057.18
2007-04-13,0.0,10063.58,10063.58
2007-04-20,0.0,10064.4,10064.4
2007-04-27,114.94,9949.87,10064.81
2007-05-04,0.0,10067.56,10067.56
2007-05-11,335.24,9740.95,10076.19
2007-05-18,234.67,9847.0,10081.66
2007-05-25,234.7,9848.25,10082.95
2007-06-01,96.43,9988.13,10084.56
2007-06-08,932.32,9138.76,10071.08
2007-06-15,620.17,9471.09,10091.26
2007-06-22,1516.82,8520.91,10037.73
2007-06-29,1430.92,8618.51,10049.43
2007-07-06,1164.86,8910.22,10075.08
2007-07-13,848.52,9255.34,10103.86
2007-07-20,1359.53,8709.6,10069.13
2007-07-27,2491.45,7448.21,9939.65
2007-08-03,2640.27,7289.6,9929.87
2007-08-10,2480.97,7504.63,9985.6
2007-08-17,2713.64,7241.83,9955.47
2007-08-24,2078.51,7992.08,10070.59
2007-08-31,2011.43,8082.4,10093.83
2007-09-07,2072.22,8026.78,10098.99
2007-09-14,1614.58,8545.15,10159.73
2007-09-21,1090.45,9130.49,10220.94
2007-09-28,1247.69,8964.5,10212.19
2007-10-05,564.21,9697.61,10261.83
2007-10-12,513.9,9753.01,10266.91
2007-10-19,1258.17,8977.15,10235.32
2007-10-26,1014.97,9251.08,10266.05
2007-11-02,1281.23,8974.8,10256.04
2007-11-09,1666.99,8563.04,10230.04
2007-11-16,1253.98,9023.05,10277.03
2007-11-23,1570.55,8688.42,10258.97
2007-11-30,518.09,9834.07,10352.16
2007-12-07,352.47,10014.6,10367.06
2007-12-14,1038.03,9307.74,10345.77
2007-12-21,1107.22,9248.05,10355.27
2007-12-28,1440.57,8890.54,10331.11
2008-01-04,2096.78,8166.21,10263.0
2008-01-11,864.02,9542.84,10406.86
2008-01-18,2306.44,7972.93,10279.37
2008-01-25,3725.79,6270.89,9996.68
2008-02-01,2975.23,7240.6,10215.84
2008-02-08,3700.64,6346.09,10046.73
2008-02-15,3482.6,6631.82,10114.42
2008-02-22,3855.78,6158.0,10013.78
2008-02-29,3985.77,6021.33,10007.1
2008-03-07,4754.27,4995.42,9749.69
2008-03-14,5362.53,4152.5,9515.03
2008-03-21,4955.63,4759.7,9715.33
2008-03-28,4920.35,4818.25,9738.59
2008-04-04,4461.35,5477.31,9938.66
2008-04-11,4664.65,5216.91,9881.56
2008-04-18,4717.05,5150.02,9867.07
2008-04-25,4520.04,5437.86,9957.9
2008-05-02,4406.86,5601.48,10008.34
2008-05-09,4863.76,4973.69,9837.45
2008-05-16,4664.65,5257.99,9922.64
2008-05-23,4836.51,5024.27,9860.78
