date,positions_value,cash,net_liq
2007-01-26,320.57,9679.43,10000.0
2007-02-02,22.18,9986.47,10008.65
2007-02-09,422.96,9585.07,10008.04
2007-02-16,4.36,10012.19,10016.55
2007-02-23,127.32,9889.33,10016.65
2007-03-02,1993.1,7959.55,9952.65
2007-03-09,1645.78,8387.98,10033.76
2007-03-16,1880.86,8141.9,10022.76
2007-03-23,637.71,9502.67,10140.38
2007-03-30,959.62,9167.35,10126.97
2007-04-06,504.29,9647.84,10152.13
2007-04-13,341.22,9819.12,10160.34
2007-04-20,90.34,10086.5,10176.84
2007-04-27,140.97,10038.4,10179.38
2007-05-04,0.0,10201.44,10201.44
2007-05-11,123.58,10086.44,10210.02
2007-05-18,327.49,9894.92,10222.4
2007-05-25,340.96,9893.61,10234.57
2007-06-01,0.0,10241.38,10241.38
2007-06-08,849.02,9391.64,10240.66
2007-06-15,276.47,10002.67,10279.14
2007-06-22,774.51,9495.33,10269.84
2007-06-29,964.71,9314.17,10278.88
2007-07-06,352.94,9956.62,10309.56
2007-07-13,105.88,10227.76,10333.65
2007-07-20,723.46,9608.42,10331.88
2007-07-27,2646.04,7522.41,10168.45
2007-08-03,3369.22,6695.04,10064.25
2007-08-10,2569.61,7695.64,10265.25
2007-08-17,2477.5,7843.5,10321.0
2007-08-24,2150.58,8235.07,10385.65
2007-08-31,2342.77,8059.8,10402.57
2007-09-07,2838.93,7497.96,10336.9
2007-09-14,2680.84,7694.41,10375.25
2007-09-21,1682.98,8897.42,10580.39
2007-09-28,2065.26,8475.4,10540.67
2007-10-05,687.07,10014.95,10702.02
2007-10-12,963.49,9731.03,10694.52
2007-10-19,2580.86,7951.49,10532.35
2007-10-26,1826.09,8842.41,10668.49
2007-11-02,2953.34,7577.59,10530.93
2007-11-09,3704.19,6687.4,10391.59
2007-11-16,3868.87,6517.84,10386.71
2007-11-23,4300.17,5966.6,10266.76
2007-11-30,3890.43,6563.34,10453.77
2007-12-07,3312.1,7344.12,10656.22
2007-12-14,4527.58,5814.08,10341.65
2007-12-21,4206.07,6370.82,10576.89
2007-12-28,4560.91,5916.45,10477.36
2008-01-04,5974.38,3884.23,9858.61
2008-01-11,6413.52,3213.41,9626.94
2008-01-18,7299.64,1724.26,9023.91
2008-01-25,6305.7,3458.14,9763.84
2008-02-01,5443.1,4875.03,10318.13
2008-02-08,6344.91,3501.75,9846.65
2008-02-15,6319.42,3571.16,9890.59
2008-02-22,6337.07,3557.39,9894.46
2008-02-29,6619.37,3137.27,9756.64
2008-03-07,7283.96,2013.26,9297.22
2008-03-14,7260.44,2143.18,9403.62
2008-03-21,6874.23,2896.61,9770.84
2008-03-28,6852.66,2989.55,9842.22
2008-04-04,6007.71,4407.41,10415.12
2008-04-11,6764.44,3204.53,9968.97
2008-04-18,5925.37,4613.63,10539.0
2008-04-25,5866.56,4729.71,10596.27
2008-05-02,5696.0,5004.47,10700.47
2008-05-09,5958.7,4611.25,10569.95
2008-05-16,5276.47,5657.46,10933.93
2008-05-23,5778.34,4914.76,10693.1
2008-05-30,5115.71,5913.26,11028.97
2008-06-06,5378.41,5571.68,10950.09
2008-06-13,5601.9,5261.34,10863.24
2008-06-20,5780.3,5004.82,10785.12
2008-06-27,6640.94,3642.74,10283.68
2008-07-04,7517.57,2143.97,9661.54
2008-07-11,7441.17,2345.3,9786.47
2008-07-18,6953.35,3267.31,10220.66
2008-07-25,6608.55,3902.46,10511.01
2008-08-01,6500.8,4117.72,10618.52
2008-08-08,5836.67,5243.16,11079.83
2008-08-15,5259.83,6139.38,11399.21
2008-08-22,5760.96,5416.68,11177.64
2008-08-29,5762.92,5446.24,11209.16
2008-09-05,6342.35,4559.26,10901.61
2008-09-12,6150.51,4925.86,11076.37
2008-09-19,5332.26,6426.51,11758.77
2008-09-26,6645.77,4434.55,11080.32
2008-10-03,8752.08,790.54,9542.61
2008-10-10,4840.98,2148.24,6989.22
2008-10-17,5439.71,1917.21,7356.92
2008-10-24,6168.88,0.0,6168.88
2008-10-31,896.01,6172.4,7068.41
2008-11-07,2868.8,4069.05,6937.84
2008-11-14,5398.87,1192.87,6591.74
2008-11-21,3217.42,2153.19,5370.61
2008-11-28,0.0,5959.7,5959.7
2008-12-05,1275.29,5232.28,6507.57
2008-12-12,905.3,5848.04,6753.34
2008-12-19,144.8,6796.09,6940.89
2008-12-26,670.67,6284.63,6955.3
2009-01-02,0.0,7027.99,7027.99
2009-01-09,2205.1,4752.21,6957.31
2009-01-16,3248.52,3600.41,6848.94
2009-01-23,4521.5,2174.15,6695.65
2009-01-30,4646.71,2119.4,6766.11
2009-02-06,3380.69,3839.87,7220.56
2009-02-13,4771.92,2070.52,6842.44
2009-02-20,6091.23,0.0,6091.23
2009-02-27,5450.13,0.0,5450.13
2009-03-06,4485.48,0.0,4485.48
2009-03-13,803.61,4380.72,5184.33
2009-03-20,1396.95,3847.62,5244.56
2009-03-27,1171.3,4397.36,5568.65
2009-04-03,0.0,5726.63,5726.63
2009-04-10,0.0,5889.41,5889.41
2009-04-17,0.0,5956.93,5956.93
2009-04-24,182.46,5923.57,6106.03
2009-05-01,91.44,6047.96,6139.39
2009-05-08,0.0,6189.33,6189.33
2009-05-15,2434.3,3672.05,6106.35
2009-05-22,2479.94,3676.67,6156.61
2009-05-29,1125.86,5296.15,6422.01
2009-06-05,101.9,6426.47,6528.36
2009-06-12,502.21,6023.26,6525.46
2009-06-19,1288.27,5236.75,6525.02
2009-06-26,1644.91,4922.39,6567.3
2009-07-03,1965.15,4618.66,6583.81
2009-07-10,2809.44,3648.23,6457.67
2009-07-17,589.54,6195.5,6785.05
2009-07-24,0.0,6810.66,6810.66
2009-07-31,0.0,6815.68,6815.68
2009-08-07,0.0,6842.88,6842.88
2009-08-14,606.48,6251.31,6857.79
2009-08-21,0.0,6917.18,6917.18
2009-08-28,171.11,6746.06,6917.18
2009-09-04,855.56,6072.01,6927.57
2009-09-11,35.86,6926.58,6962.44
2009-09-18,0.0,6963.26,6963.26
2009-09-25,1012.24,5933.39,6945.62
2009-10-02,1930.44,4985.4,6915.84
2009-10-09,188.07,6876.2,7064.26
2009-10-16,366.55,6705.9,7072.45
2009-10-23,1148.15,5922.35,7070.5
2009-10-30,2959.33,3928.94,6888.27
2009-11-06,2176.16,4887.08,7063.25
2009-11-13,1884.94,5251.08,7136.01
2009-11-20,2024.4,5139.94,7164.35
2009-11-27,2342.73,4803.77,7146.5
2009-12-04,1242.08,6073.08,7315.16
2009-12-11,1285.25,6031.34,7316.59
2009-12-18,594.65,6781.23,7375.88
2009-12-25,0.0,7395.85,7395.85
2010-01-01,521.76,6872.61,7394.37
2010-01-08,0.0,7418.84,7418.84
2010-01-15,416.52,7009.7,7426.22
2010-01-22,1386.64,6012.77,7399.41
2010-01-29,2089.93,5244.08,7334.02
2010-02-05,2643.59,4633.2,7276.79
2010-02-12,1900.39,5514.07,7414.46
2010-02-19,823.01,6702.35,7525.36
2010-02-26,887.85,6642.42,7530.27
2010-03-05,0.0,7569.88,7569.88
2010-03-12,0.0,7569.88,7569.88
2010-03-19,449.92,7118.68,7568.59
