date,positions_value,cash,net_liq
2021-01-22,0.0,10000.0,10000.0
2021-01-29,579.84,9418.36,9998.2
2021-02-05,0.0,10048.51,10048.51
2021-02-12,348.7,9703.78,10052.48
2021-02-19,1033.43,8999.7,10033.13
2021-02-26,3334.87,6480.07,9814.94
2021-03-05,4710.66,4788.29,9498.96
2021-03-12,3847.46,6065.11,9912.57
2021-03-19,4171.76,5648.53,9820.29
2021-03-26,4510.02,5231.34,9741.36
2021-04-02,3939.22,6038.41,9977.63
2021-04-09,3324.34,6832.71,10157.05
2021-04-16,2853.11,7418.87,10271.98
2021-04-23,2892.75,7392.08,10284.83
2021-04-30,3220.96,7005.07,10226.03
2021-05-07,4424.4,5466.03,9890.43
2021-05-14,4957.15,4748.03,9705.18
2021-05-21,4481.48,5435.39,9916.87
2021-05-28,3936.05,6176.94,10112.99
2021-06-04,3740.41,6443.46,10183.87
2021-06-11,3001.33,7380.45,10381.77
2021-06-18,2463.66,8046.49,10510.15
2021-06-25,2089.36,8483.92,10573.28
2021-07-02,1966.6,8640.8,10607.4
2021-07-09,1703.32,8952.0,10655.32
2021-07-16,2669.85,7854.73,10524.58
2021-07-23,1868.9,8799.35,10668.25
2021-07-30,1959.31,8697.3,10656.61
2021-08-06,1623.07,9079.98,10703.05
2021-08-13,1848.92,8833.63,10682.55
2021-08-20,2395.46,8228.72,10624.19
2021-08-27,1267.8,9513.65,10781.45
2021-09-03,101.75,10756.24,10857.99
2021-09-10,1001.35,9835.13,10836.48
2021-09-17,777.4,10073.18,10850.58
2021-09-24,558.53,10353.51,10912.04
2021-10-01,1762.64,9095.22,10857.86
2021-10-08,1502.53,9445.01,10947.54
2021-10-15,275.9,10786.37,11062.27
2021-10-22,128.91,10940.73,11069.64
2021-10-29,502.68,10571.16,11073.83
2021-11-05,416.61,10673.29,11089.9
2021-11-12,808.4,10296.07,11104.47
2021-11-19,661.81,10475.87,11137.68
2021-11-26,2695.73,8321.39,11017.12
2021-12-03,4809.98,5716.07,10526.05
2021-12-10,3886.25,7068.55,10954.8
2021-12-17,4369.63,6475.38,10845.01
2021-12-24,3547.74,7626.39,11174.13
2021-12-31,3897.73,7199.05,11096.78
2022-01-07,5555.84,4957.77,10513.61
2022-01-14,6034.06,4298.15,10332.21
2022-01-21,7354.53,2136.15,9490.68
2022-01-28,8206.54,595.56,8802.1
2022-02-04,6910.74,3279.26,10190.0
2022-02-11,7153.72,3001.71,10155.43
2022-02-18,8008.6,1498.92,9507.52
2022-02-25,7815.56,1602.89,9418.45
2022-03-04,8474.71,363.22,8837.92
2022-03-11,8016.78,503.97,8520.75
2022-03-18,5004.76,4635.24,9639.99
2022-03-25,4800.92,4956.0,9756.92
2022-04-01,4034.82,6082.63,10117.45
2022-04-08,5878.45,3540.45,9418.9
2022-04-15,5578.97,4011.04,9590.01
2022-04-22,7556.11,801.82,8357.94
2022-04-29,7901.34,0.0,7901.34
2022-05-06,7019.59,0.0,7019.59
2022-05-13,3735.59,2920.19,6655.77
2022-05-20,4982.13,1368.46,6350.59
2022-05-27,3182.11,3939.37,7121.48
2022-06-03,3244.86,3968.79,7213.65
