date,positions_value,cash,net_liq
2025-07-18,0.0,10009.71,10009.71
2025-07-25,3178.32,6635.25,9813.57
2025-08-01,5632.01,3426.13,9058.14
2025-08-08,4073.7,5750.12,9823.82
2025-08-15,3603.05,6853.45,10456.5
2025-08-22,1740.54,9648.45,11388.99
2025-08-29,1542.53,10062.84,11605.37
2025-09-05,1246.93,10481.15,11728.08
2025-09-12,0.0,11863.01,11863.01
2025-09-19,1710.48,10252.24,11962.72
2025-09-26,6028.97,5011.48,11040.45
2025-10-03,2890.62,9629.73,12520.35
2025-10-10,6163.9,5469.35,11633.25
2025-10-17,8471.9,1481.2,9953.09
2025-10-24,7597.72,3575.46,11173.17
2025-10-31,8228.95,2697.26,10926.21
2025-11-07,6513.37,2191.41,8704.78
2025-11-14,6526.07,0.0,6526.07
2025-11-21,5678.38,0.0,5678.38
2025-11-28,4166.33,2522.64,6688.98
2025-12-05,4659.68,2373.47,7033.15
2025-12-12,4908.73,2144.9,7053.63
2025-12-19,4068.19,2676.72,6744.91
2025-12-26,5099.28,1284.04,6383.32
2026-01-02,3380.79,3701.2,7081.99
2026-01-09,2584.42,4790.38,7374.8
2026-01-16,685.76,7068.7,7754.45
2026-01-23,4691.59,2855.29,7546.87
2026-01-30,6523.06,311.05,6834.11
2026-02-06,227.26,3312.99,3540.25
2026-02-13,463.95,3389.94,3853.89
2026-02-20,603.4,3337.0,3940.4
2026-02-27,3019.26,1484.22,4503.49
2026-03-06,2762.56,2398.1,5160.65
