date,positions_value,cash,net_liq
2006-06-23,175.36,9824.61,9999.98
2006-06-30,0.0,10012.55,10012.55
2006-07-07,356.82,9654.47,10011.29
2006-07-14,1134.72,8851.81,9986.53
2006-07-21,1032.77,8973.67,10006.44
2006-07-28,99.73,9954.57,10054.3
2006-08-04,84.19,9971.58,10055.78
2006-08-11,407.86,9645.38,10053.24
2006-08-18,0.0,10063.3,10063.3
2006-08-25,107.84,9956.13,10063.97
2006-09-01,0.0,10065.03,10065.03
2006-09-08,336.95,9728.39,10065.34
2006-09-15,0.0,10072.73,10072.73
2006-09-22,268.68,9804.36,10073.04
2006-09-29,67.32,10010.72,10078.04
2006-10-06,48.04,10033.58,10081.62
2006-10-13,0.0,10082.94,10082.94
2006-10-20,33.27,10050.29,10083.56
2006-10-27,217.38,9866.49,10083.87
2006-11-03,596.84,9479.01,10075.85
2006-11-10,177.34,9915.12,10092.46
2006-11-17,0.0,10094.75,10094.75
2006-11-24,130.14,9964.61,10094.75
2006-12-01,241.69,9860.9,10102.59
2006-12-08,130.79,9975.66,10106.45
2006-12-15,-0.0,10107.42,10107.42
2006-12-22,1080.34,9010.14,10090.48
2006-12-29,883.09,9223.93,10107.02
2007-01-05,1150.91,8941.15,10092.06
2007-01-12,620.7,9504.62,10125.31
2007-01-19,681.95,9441.43,10123.38
2007-01-26,857.56,9264.03,10121.59
2007-02-02,303.56,9841.75,10145.31
2007-02-09,493.66,9648.26,10141.92
2007-02-16,138.74,10014.46,10153.2
2007-02-23,209.38,9943.55,10152.93
2007-03-02,1738.1,8383.72,10121.82
2007-03-09,1348.68,8827.64,10176.32
2007-03-16,1725.42,8429.17,10154.59
2007-03-23,681.97,9569.78,10251.75
2007-03-30,1009.3,9227.51,10236.81
2007-04-06,545.21,9718.14,10263.35
2007-04-13,340.36,9931.58,10271.94
2007-04-20,0.0,10278.53,10278.53
2007-04-27,55.93,10224.04,10279.98
2007-05-04,0.0,10283.3,10283.3
2007-05-11,121.74,10167.53,10289.27
2007-05-18,0.0,10292.57,10292.57
2007-05-25,239.89,10055.21,10295.1
2007-06-01,0.0,10298.97,10298.97
2007-06-08,693.11,9609.25,10302.36
2007-06-15,154.58,10177.18,10331.76
2007-06-22,679.81,9648.87,10328.68
2007-06-29,792.84,9541.4,10334.24
2007-07-06,269.26,10086.79,10356.06
2007-07-13,0.0,10377.58,10377.58
2007-07-20,357.48,10020.42,10377.9
2007-07-27,2029.55,8256.48,10286.03
2007-08-03,2464.46,7794.62,10259.08
2007-08-10,2299.72,8038.68,10338.41
2007-08-17,2271.72,8101.05,10372.77
2007-08-24,1640.78,8825.24,10466.02
2007-08-31,1868.11,8600.12,10468.24
2007-09-07,2120.16,8331.37,10451.53
2007-09-14,1574.88,8953.12,10528.0
2007-09-21,850.04,9767.51,10617.55
2007-09-28,770.97,9852.99,10623.95
2007-10-05,102.14,10550.31,10652.45
2007-10-12,44.48,10612.61,10657.09
2007-10-19,1459.56,9159.86,10619.42
2007-10-26,640.83,10041.57,10682.39
2007-11-02,1171.28,9505.71,10676.98
2007-11-09,2372.2,8199.94,10572.15
2007-11-16,2351.61,8259.53,10611.14
2007-11-23,2733.64,7835.41,10569.06
2007-11-30,1811.5,8952.12,10763.61
2007-12-07,1383.35,9444.61,10827.96
2007-12-14,2181.57,8583.66,10765.24
2007-12-21,2464.91,8281.97,10746.88
2007-12-28,2648.39,8071.14,10719.53
2008-01-04,3768.44,6703.04,10471.47
2008-01-11,4005.91,6411.39,10417.31
2008-01-18,5439.04,4453.84,9892.88
2008-01-25,5323.6,4660.24,9983.84
2008-02-01,4217.01,6247.89,10464.9
2008-02-08,5368.13,4660.1,10028.23
2008-02-15,5006.96,5199.08,10206.04
2008-02-22,4922.85,5324.46,10247.31
2008-02-29,5246.09,4880.54,10126.62
2008-03-07,5946.98,3840.14,9787.13
2008-03-14,5989.86,3835.57,9825.43
2008-03-21,5549.53,4604.34,10153.88
2008-03-28,5679.82,4430.5,10110.32
2008-04-04,4776.08,5792.49,10568.56
2008-04-11,5381.32,4933.0,10314.32
2008-04-18,4533.65,6171.55,10705.2
2008-04-25,4373.68,6394.69,10768.36
2008-05-02,4057.04,6834.76,10891.8
2008-05-09,4513.86,6231.3,10745.16
2008-05-16,3848.48,7135.11,10983.59
2008-05-23,4735.09,5953.4,10688.49
2008-05-30,4326.39,6519.85,10846.25
2008-06-06,5007.01,5623.15,10630.16
2008-06-13,5049.86,5575.48,10625.34
2008-06-20,5732.12,4576.7,10308.82
2008-06-27,6429.21,3501.91,9931.12
2008-07-04,6641.8,3161.77,9803.57
2008-07-11,7004.36,2577.74,9582.09
2008-07-18,6715.96,3111.06,9827.02
2008-07-25,6793.42,3001.55,9794.97
2008-08-01,6704.42,3193.55,9897.97
2008-08-08,6214.98,4041.08,10256.05
2008-08-15,6119.39,4202.13,10321.52
2008-08-22,6252.88,4004.16,10257.04
2008-08-29,6378.13,3823.69,10201.82
2008-09-05,7048.85,2724.09,9772.94
2008-09-12,6832.97,3151.94,9984.91
2008-09-19,7066.98,2972.59,10039.57
2008-09-26,7610.81,2035.47,9646.28
2008-10-03,8206.18,0.0,8206.18
2008-10-10,5412.31,0.0,5412.31
2008-10-17,4685.87,1717.1,6402.97
2008-10-24,5772.59,0.0,5772.59
2008-10-31,2102.12,4660.25,6762.36
2008-11-07,3198.58,3557.56,6756.15
2008-11-14,5072.47,1367.26,6439.73
2008-11-21,3583.76,1909.52,5493.28
2008-11-28,301.42,5794.67,6096.08
2008-12-05,1227.05,5233.14,6460.19
2008-12-12,1117.43,5428.57,6546.01
2008-12-19,1009.58,5639.37,6648.95
2008-12-26,1496.13,5126.45,6622.58
2009-01-02,0.0,6737.6,6737.6
2009-01-09,1538.68,5168.1,6706.78
2009-01-16,2890.85,3657.42,6548.27
2009-01-23,3555.28,2993.63,6548.91
2009-01-30,3712.65,2882.04,6594.68
2009-02-06,2418.76,4510.48,6929.24
2009-02-13,3770.93,2925.76,6696.69
2009-02-20,5408.69,725.06,6133.75
2009-02-27,5697.77,0.0,5697.77
2009-03-06,4956.45,0.0,4956.45
2009-03-13,2013.27,3761.84,5775.1
2009-03-20,1580.59,4309.26,5889.85
2009-03-27,610.55,5537.0,6147.54
2009-04-03,0.0,6241.0,6241.0
2009-04-10,0.0,6304.24,6304.24
2009-04-17,0.0,6324.75,6324.75
2009-04-24,196.09,6213.53,6409.63
2009-05-01,0.0,6428.84,6428.84
2009-05-08,0.0,6451.04,6451.04
2009-05-15,1530.86,4878.64,6409.5
2009-05-22,1432.1,5024.1,6456.19
2009-05-29,203.7,6368.86,6572.56
2009-06-05,142.86,6447.64,6590.5
2009-06-12,0.0,6593.14,6593.14
2009-06-19,931.83,5661.88,6593.72
2009-06-26,1056.47,5577.35,6633.83
2009-07-03,1744.96,4854.23,6599.2
2009-07-10,2374.52,4149.84,6524.36
2009-07-17,345.58,6413.14,6758.71
2009-07-24,0.0,6765.82,6765.82
2009-07-31,0.0,6770.21,6770.21
2009-08-07,0.0,6775.62,6775.62
2009-08-14,234.74,6552.03,6786.78
2009-08-21,0.0,6826.05,6826.05
2009-08-28,60.44,6765.61,6826.05
2009-09-04,463.37,6384.16,6847.53
2009-09-11,0.0,6858.47,6858.47
2009-09-18,14.07,6844.43,6858.5
2009-09-25,821.27,6025.1,6846.37
2009-10-02,1423.22,5410.74,6833.95
2009-10-09,28.0,6887.51,6915.51
2009-10-16,232.52,6685.25,6917.77
2009-10-23,499.6,6424.53,6924.13
2009-10-30,1846.72,5031.1,6877.82
2009-11-06,843.07,6137.94,6981.01
2009-11-13,155.75,6868.87,7024.61
2009-11-20,536.2,6490.19,7026.39
2009-11-27,527.2,6513.95,7041.15
2009-12-04,117.64,6939.33,7056.97
2009-12-11,82.78,6980.25,7063.03
2009-12-18,319.88,6747.69,7067.58
2009-12-25,0.0,7073.75,7073.75
2010-01-01,379.41,6692.86,7072.26
2010-01-08,0.0,7084.47,7084.47
2010-01-15,361.61,6728.12,7089.73
2010-01-22,1637.84,5405.81,7043.65
2010-01-29,2160.81,4825.13,6985.95
2010-02-05,2347.3,4654.73,7002.03
2010-02-12,2022.97,5039.18,7062.15
2010-02-19,1159.46,6005.39,7164.85
2010-02-26,1285.14,5876.72,7161.86
2010-03-05,320.27,6901.99,7222.26
2010-03-12,0.0,7226.8,7226.8
2010-03-19,181.1,7045.54,7226.64
2010-03-26,275.78,6952.26,7228.03
2010-04-02,0.0,7233.08,7233.08
2010-04-09,-0.0,7235.21,7235.21
2010-04-16,515.62,6719.59,7235.21
2010-04-23,0.0,7247.53,7247.53
2010-04-30,813.56,6448.01,7261.57
2010-05-07,2778.45,4312.31,7090.77
2010-05-14,2153.75,5129.97,7283.73
2010-05-21,3370.46,3732.76,7103.22
2010-05-28,3337.77,3823.0,7160.78
2010-06-04,3944.31,3117.96,7062.27
2010-06-11,3308.72,3972.26,7280.98
2010-06-18,2694.92,4738.83,7433.75
2010-06-25,3657.38,3566.94,7224.33
2010-07-02,5001.21,1781.27,6782.48
2010-07-09,3693.71,3595.84,7289.55
2010-07-16,4013.32,3213.32,7226.63
2010-07-23,3134.38,4363.84,7498.23
2010-07-30,3165.16,4334.34,7499.5
2010-08-06,2671.55,4952.22,7623.77
2010-08-13,3676.92,3736.27,7413.2
2010-08-20,3862.03,3511.34,7373.36
