date,positions_value,cash,net_liq
2010-02-12,0.0,10000.0,10000.0
2010-02-19,0.0,10000.0,10000.0
2010-02-26,76.88,9944.77,10021.65
2010-03-05,0.0,10024.95,10024.95
2010-03-12,0.0,10024.95,10024.95
2010-03-19,291.88,9735.17,10027.05
2010-03-26,252.39,9782.83,10035.21
2010-04-02,254.6,9783.95,10038.55
2010-04-09,0.0,10046.86,10046.86
2010-04-16,587.33,9459.53,10046.86
2010-04-23,0.0,10063.02,10063.02
2010-04-30,1265.07,8830.72,10095.79
2010-05-07,4608.44,4957.55,9565.99
2010-05-14,3604.16,6535.5,10139.66
2010-05-21,5413.95,4151.19,9565.14
2010-05-28,4746.59,5216.61,9963.2
2010-06-04,5189.35,4720.13,9909.48
2010-06-11,4985.37,5107.6,10092.96
2010-06-18,3737.03,6856.11,10593.15
2010-06-25,5117.13,4999.91,10117.05
2010-07-02,7117.7,1944.35,9062.05
2010-07-09,5709.16,4330.48,10039.64
2010-07-16,5919.42,4074.96,9994.38
2010-07-23,4704.4,5932.56,10636.96
2010-07-30,4893.18,5677.61,10570.8
2010-08-06,4177.12,6696.56,10873.68
2010-08-13,5773.14,4483.31,10256.45
2010-08-20,5654.43,4689.01,10343.44
2010-08-27,6267.3,3788.98,10056.28
2010-09-03,4893.18,5962.21,10855.39
2010-09-10,4499.65,6529.66,11029.31
2010-09-17,3275.26,8154.48,11429.74
2010-09-24,1957.92,9768.75,11726.68
2010-10-01,2441.78,9213.7,11655.48
2010-10-08,1862.45,9943.29,11805.74
2010-10-15,276.78,11681.17,11957.95
2010-10-22,174.87,11804.91,11979.78
2010-10-29,79.19,11903.25,11982.44
2010-11-05,0.0,11983.87,11983.87
2010-11-12,1120.32,10852.27,11972.59
2010-11-19,1188.77,10818.7,12007.48
2010-11-26,752.69,11334.14,12086.83
2010-12-03,0.0,12158.42,12158.42
2010-12-10,0.0,12158.64,12158.64
2010-12-17,0.0,12164.27,12164.27
2010-12-24,125.48,12038.79,12164.27
2010-12-31,372.03,11790.12,12162.15
2011-01-07,38.28,12141.32,12179.59
2011-01-14,0.0,12180.02,12180.02
2011-01-21,1266.9,10879.9,12146.81
2011-01-28,1266.9,10948.13,12215.03
2011-02-04,0.0,12295.28,12295.28
2011-02-11,0.0,12296.19,12296.19
2011-02-18,107.82,12189.07,12296.89
2011-02-25,1079.11,11270.73,12349.83
2011-03-04,845.64,11570.49,12416.13
2011-03-11,2062.85,10272.75,12335.6
2011-03-18,3534.91,8565.8,12100.71
2011-03-25,1781.28,10709.7,12490.98
2011-04-01,1309.01,11241.81,12550.82
2011-04-08,1729.28,10782.59,12511.87
2011-04-15,1984.19,10504.49,12488.68
2011-04-22,650.81,12000.48,12651.29
2011-04-29,104.68,12565.85,12670.54
2011-05-06,635.17,12028.05,12663.22
2011-05-13,702.58,11981.13,12683.71
2011-05-20,1245.47,11437.28,12682.75
