date,positions_value,cash,net_liq
2010-01-22,79.86,9920.14,10000.0
2010-01-29,0.0,10004.25,10004.25
2010-02-05,27.38,9991.75,10019.12
2010-02-12,703.05,9308.9,10011.94
2010-02-19,969.25,9033.95,10003.2
2010-02-26,191.12,9850.25,10041.37
2010-03-05,587.01,9450.8,10037.81
2010-03-12,518.75,9523.99,10042.74
2010-03-19,204.41,9847.95,10052.36
2010-03-26,1046.62,8986.49,10033.11
2010-04-02,928.25,9114.63,10042.89
2010-04-09,946.46,9109.86,10056.32
2010-04-16,611.86,9465.9,10077.75
2010-04-23,536.74,9547.21,10083.95
2010-04-30,0.0,10106.68,10106.68
2010-05-07,378.38,9729.39,10107.77
2010-05-14,610.28,9520.52,10130.8
2010-05-21,0.0,10155.71,10155.71
2010-05-28,708.71,9451.54,10160.25
2010-06-04,172.28,10032.57,10204.85
2010-06-11,386.08,9834.6,10220.68
2010-06-18,296.38,9931.39,10227.78
2010-06-25,74.99,10162.48,10237.47
2010-07-02,295.46,9943.43,10238.89
2010-07-09,773.29,9458.62,10231.91
2010-07-16,264.45,9993.73,10258.19
2010-07-23,721.8,9540.55,10262.35
2010-07-30,508.33,9771.99,10280.32
2010-08-06,504.71,9788.52,10293.23
2010-08-13,0.0,10311.51,10311.51
2010-08-20,36.53,10278.94,10315.48
2010-08-27,971.8,9347.7,10319.5
2010-09-03,1388.52,8937.9,10326.42
2010-09-10,1782.97,8529.22,10312.19
2010-09-17,1983.37,8315.49,10298.86
2010-09-24,1452.14,8924.79,10376.93
2010-10-01,1029.06,9393.85,10422.91
2010-10-08,1127.67,9297.47,10425.14
2010-10-15,2277.58,8030.09,10307.67
2010-10-22,1980.26,8380.47,10360.73
2010-10-29,2268.04,8063.93,10331.97
2010-11-05,2843.62,7411.68,10255.3
2010-11-12,3454.17,6674.14,10128.31
2010-11-19,3288.81,6914.48,10203.3
2010-11-26,3167.98,7082.05,10250.03
2010-12-03,3668.82,6470.54,10139.36
2010-12-10,4137.87,5882.33,10020.19
2010-12-17,4118.79,5935.13,10053.92
2010-12-24,4312.76,5678.02,9990.78
2010-12-31,3929.58,6217.75,10147.33
2011-01-07,4366.82,5652.15,10018.97
2011-01-14,4521.05,5447.7,9968.75
2011-01-21,4629.17,5307.56,9936.73
2011-01-28,4522.64,5467.14,9989.78
2011-02-04,5215.75,4488.62,9704.38
2011-02-11,5082.12,4697.55,9779.67
2011-02-18,5056.66,4735.23,9791.9
2011-02-25,4353.49,5728.63,10082.12
2011-03-04,4660.53,5320.29,9980.82
2011-03-11,4464.85,5606.43,10071.28
2011-03-18,3960.53,6296.55,10257.09
2011-03-25,4339.17,5794.3,10133.46
2011-04-01,4229.4,5947.62,10177.02
2011-04-08,4835.53,5120.86,9956.39
2011-04-15,4149.84,6076.89,10226.73
2011-04-22,4145.07,6085.68,10230.75
2011-04-29,3800.11,6548.52,10348.64
2011-05-06,3372.49,7100.32,10472.81
2011-05-13,3382.03,7094.41,10476.44
2011-05-20,3303.74,7204.41,10508.15
2011-05-27,3008.19,7573.77,10581.96
2011-06-03,2925.57,7692.66,10618.23
2011-06-10,2715.83,7951.63,10667.46
2011-06-17,2774.62,7900.95,10675.57
2011-06-24,2831.82,7835.47,10667.29
2011-07-01,3696.21,6767.33,10463.54
2011-07-08,3198.87,7404.63,10603.5
2011-07-15,2985.95,7678.16,10664.11
2011-07-22,3027.26,7652.46,10679.73
2011-07-29,2520.85,8278.2,10799.04
2011-08-05,1149.78,9916.71,11066.49
2011-08-12,1040.27,10162.29,11202.56
2011-08-19,0.0,11266.39,11266.39
2011-08-26,790.9,10499.65,11290.54
2011-09-02,0.0,11373.84,11373.84
2011-09-09,4.16,11386.79,11390.95
2011-09-16,515.48,10883.85,11399.34
2011-09-23,593.78,10826.54,11420.33
2011-09-30,654.35,10802.05,11456.4
2011-10-07,1427.84,10016.97,11444.81
2011-10-14,2508.11,8812.0,11320.11
2011-10-21,2707.73,8590.77,11298.5
2011-10-28,3159.8,8115.42,11275.22
