date,positions_value,cash,net_liq
2008-11-28,1656.63,8343.37,10000.0
2008-12-05,6898.19,1523.28,8421.48
2008-12-12,4744.58,5195.84,9940.42
2008-12-19,7487.95,1015.21,8503.16
2008-12-26,6645.87,0.0,6645.87
2009-01-02,1732.95,7166.99,8899.94
2009-01-09,4290.0,4573.86,8863.86
2009-01-16,6072.0,2129.06,8201.06
2009-01-23,4497.43,4869.25,9366.68
2009-01-30,6732.0,1715.34,8447.34
2009-02-06,7401.43,599.87,8001.3
2009-02-13,6282.19,0.0,6282.19
2009-02-20,3649.12,1772.83,5421.96
2009-02-27,908.13,5162.51,6070.64
2009-03-06,252.68,6403.91,6656.59
2009-03-13,1126.62,5772.57,6899.19
2009-03-20,0.0,6983.31,6983.31
2009-03-27,1188.9,5814.49,7003.39
2009-04-03,1301.36,6079.26,7380.62
2009-04-10,1735.15,5716.01,7451.16
2009-04-17,3004.38,4270.75,7275.13
2009-04-24,3984.42,3225.82,7210.24
2009-05-01,3373.9,4107.52,7481.43
2009-05-08,739.05,7258.4,7997.45
2009-05-15,1911.88,6034.25,7946.13
2009-05-22,93.66,8066.63,8160.29
2009-05-29,0.0,8162.07,8162.07
2009-06-05,277.95,7980.04,8257.98
2009-06-12,206.68,8058.19,8264.87
2009-06-19,1343.42,6895.18,8238.6
2009-06-26,1768.27,6559.81,8328.08
2009-07-03,2824.63,5419.35,8243.98
2009-07-10,5522.96,1912.99,7435.95
2009-07-17,4236.95,3808.59,8045.54
2009-07-24,2801.67,5675.51,8477.18
2009-07-31,2503.13,6323.08,8826.21
2009-08-07,1779.75,7192.59,8972.34
2009-08-14,2950.94,5911.58,8862.52
2009-08-21,1619.0,7534.81,9153.81
2009-08-28,2147.18,6978.06,9125.24
2009-09-04,4099.16,4642.78,8741.95
2009-09-11,3639.87,5370.91,9010.79
2009-09-18,2767.22,6493.23,9260.46
2009-09-25,5040.71,3688.27,8728.98
2009-10-02,3823.59,5446.78,9270.37
2009-10-09,2939.46,6587.16,9526.61
2009-10-16,516.7,9354.22,9870.92
2009-10-23,447.46,9452.33,9899.79
2009-10-30,1733.9,8187.85,9921.75
2009-11-06,1465.42,8528.67,9994.1
2009-11-13,1980.0,7998.71,9978.71
2009-11-20,1745.08,8314.92,10060.0
2009-11-27,2382.71,7628.55,10011.26
2009-12-04,2606.44,7390.11,9996.56
2009-12-11,4530.51,4983.77,9514.28
2009-12-18,4027.12,5685.3,9712.42
2009-12-25,3098.64,6910.8,10009.45
2010-01-01,2315.59,7860.91,10176.5
2010-01-08,1208.14,9126.64,10334.78
2010-01-15,2986.78,7119.49,10106.27
2010-01-22,4418.64,5329.57,9748.21
2010-01-29,4854.92,4741.69,9596.61
2010-02-05,5201.69,4396.75,9598.44
2010-02-12,4496.95,5434.94,9931.89
2010-02-19,2718.31,7773.93,10492.24
2010-02-26,2908.47,7592.11,10500.58
2010-03-05,2203.73,8451.67,10655.4
2010-03-12,2449.83,8174.73,10624.56
2010-03-19,2662.37,7965.44,10627.81
2010-03-26,2942.03,7643.04,10585.07
2010-04-02,1230.51,9649.35,10879.86
2010-04-09,1264.07,9632.79,10896.86
2010-04-16,1543.73,9356.83,10900.56
2010-04-23,1230.51,9714.49,10945.0
2010-04-30,827.8,10181.43,11009.23
2010-05-07,4004.75,6581.85,10586.59
2010-05-14,5011.53,5277.44,10288.97
2010-05-21,6667.12,2788.66,9455.78
2010-05-28,5582.03,4630.84,10212.88
2010-06-04,6443.39,3381.44,9824.83
2010-06-11,5436.61,5005.3,10441.91
2010-06-18,4776.61,5987.8,10764.41
2010-06-25,4720.68,6128.93,10849.6
2010-07-02,6678.31,3206.76,9885.07
2010-07-09,5637.97,4908.75,10546.71
2010-07-16,5761.02,4763.18,10524.2
2010-07-23,4966.78,5992.68,10959.46
2010-07-30,5033.9,5926.84,10960.73
2010-08-06,4485.76,6743.39,11229.16
2010-08-13,5984.75,4607.28,10592.02
2010-08-20,6521.69,3757.52,10279.21
2010-08-27,6074.24,4546.69,10620.93
2010-09-03,6286.78,4264.37,10551.15
2010-09-10,5850.51,4977.74,10828.25
2010-09-17,6532.88,3903.36,10436.24
2010-09-24,6107.8,4626.03,10733.83
2010-10-01,4675.93,6811.49,11487.43
2010-10-08,4329.15,7321.73,11650.88
2010-10-15,4798.98,6687.68,11486.66
2010-10-22,4866.1,6712.11,11578.21
2010-10-29,5045.08,6459.95,11505.04
2010-11-05,3456.61,8635.55,12092.16
2010-11-12,4250.85,7674.01,11924.86
2010-11-19,5123.39,6510.94,11634.33
2010-11-26,4642.37,7226.5,11868.87
2010-12-03,3076.27,9349.98,12426.25
2010-12-10,3512.54,8811.07,12323.61
2010-12-17,3344.75,9025.21,12369.96
2010-12-24,2561.69,9986.4,12548.09
