date,positions_value,cash,net_liq
2021-01-22,0.0,10000.0,10000.0
2021-01-29,1216.65,8755.58,9972.23
2021-02-05,302.74,9767.99,10070.73
2021-02-12,0.0,10079.5,10079.5
2021-02-19,532.52,9545.66,10078.17
2021-02-26,2713.84,7184.73,9898.58
2021-03-05,3916.53,5834.12,9750.65
2021-03-12,2544.54,7628.9,10173.44
2021-03-19,3152.27,6931.05,10083.32
2021-03-26,3173.44,6925.48,10098.92
2021-04-02,2895.92,7278.88,10174.81
2021-04-09,2233.49,8081.42,10314.91
2021-04-16,1495.99,8938.98,10434.96
2021-04-23,1562.27,8880.55,10442.82
2021-04-30,1529.53,8946.05,10475.58
2021-05-07,2664.33,7665.85,10330.18
2021-05-14,2496.63,7885.37,10382.0
2021-05-21,2105.71,8349.79,10455.5
2021-05-28,1549.89,8983.86,10533.75
2021-06-04,1893.69,8608.25,10501.93
2021-06-11,444.24,10192.54,10636.78
2021-06-18,196.67,10457.09,10653.76
2021-06-25,0.0,10663.15,10663.15
2021-07-02,192.79,10476.19,10668.98
2021-07-09,0.0,10676.98,10676.98
2021-07-16,861.75,9799.23,10660.97
2021-07-23,0.0,10710.86,10710.86
2021-07-30,347.1,10366.02,10713.12
2021-08-06,582.9,10133.62,10716.52
2021-08-13,425.58,10308.05,10733.64
2021-08-20,780.53,9954.92,10735.46
2021-08-27,0.0,10772.91,10772.91
2021-09-03,0.0,10778.33,10778.33
2021-09-10,1014.36,9741.87,10756.22
2021-09-17,1061.74,9695.84,10757.57
2021-09-24,940.84,9843.31,10784.15
2021-10-01,2156.05,8538.02,10694.07
2021-10-08,1533.17,9270.56,10803.74
2021-10-15,231.43,10679.3,10910.73
2021-10-22,0.0,10914.85,10914.85
2021-10-29,0.0,10930.22,10930.22
2021-11-05,224.64,10706.05,10930.69
2021-11-12,0.0,10954.05,10954.05
2021-11-19,847.58,10100.26,10947.84
2021-11-26,2163.37,8724.76,10888.13
2021-12-03,3405.26,7336.99,10742.26
2021-12-10,3060.03,7811.18,10871.21
2021-12-17,2913.36,8049.58,10962.94
2021-12-24,2061.55,9066.19,11127.74
2021-12-31,1923.34,9229.69,11153.03
2022-01-07,4004.35,6754.99,10759.34
2022-01-14,4216.46,6516.61,10733.06
2022-01-21,5265.7,5092.85,10358.56
2022-01-28,5905.97,4232.47,10138.44
2022-02-04,4851.08,5874.63,10725.72
2022-02-11,4871.95,5931.84,10803.79
2022-02-18,5512.0,5056.88,10568.88
2022-02-25,4409.53,6680.75,11090.29
2022-03-04,3931.33,7365.67,11297.0
2022-03-11,4277.01,6949.1,11226.11
2022-03-18,3329.91,8349.52,11679.43
2022-03-25,2485.15,9413.45,11898.6
2022-04-01,2250.0,9706.62,11956.62
2022-04-08,3327.37,8467.27,11794.64
2022-04-15,2624.72,9361.84,11986.56
2022-04-22,4458.59,7100.55,11559.14
2022-04-29,5477.03,5779.42,11256.46
2022-05-06,7276.51,3024.16,10300.67
2022-05-13,7885.26,2112.04,9997.3
2022-05-20,8480.76,1027.2,9507.97
2022-05-27,7231.39,3519.6,10750.99
2022-06-03,7418.05,3241.61,10659.66
2022-06-10,8265.91,1690.14,9956.04
2022-06-17,8537.04,640.9,9177.94
2022-06-24,7012.5,3632.12,10644.61
2022-07-01,7750.16,2362.01,10112.17
2022-07-08,6890.36,3936.4,10826.77
2022-07-15,7880.8,2241.71,10122.51
2022-07-22,7078.43,3760.8,10839.23
2022-07-29,7414.14,3244.09,10658.23
2022-08-05,6407.0,5057.21,11464.21
2022-08-12,5723.11,6217.33,11940.44
2022-08-19,6331.95,5292.84,11624.8
2022-08-26,6785.85,4593.57,11379.42
2022-09-02,8057.62,2337.42,10395.04
2022-09-09,6917.71,4495.43,11413.14
2022-09-16,8242.34,2155.95,10398.28
2022-09-23,9061.11,483.8,9544.91
2022-09-30,9155.3,298.77,9454.06
2022-10-07,8960.55,839.45,9800.01
