date,positions_value,cash,net_liq
2010-02-12,58.19,9941.81,10000.0
2010-02-19,0.0,10003.91,10003.91
2010-02-26,308.44,9704.31,10012.75
2010-03-05,0.0,10018.93,10018.93
2010-03-12,7.21,10012.12,10019.33
2010-03-19,199.0,9820.57,10019.57
2010-03-26,160.09,9862.79,10022.87
2010-04-02,0.0,10029.31,10029.31
2010-04-09,0.0,10034.54,10034.54
2010-04-16,539.01,9495.53,10034.54
2010-04-23,9.17,10037.7,10046.88
2010-04-30,887.65,9186.88,10074.53
2010-05-07,3410.45,6414.25,9824.7
2010-05-14,2558.65,7597.96,10156.61
2010-05-21,4205.96,5652.24,9858.2
2010-05-28,4444.46,5415.89,9860.35
2010-06-04,5222.19,4442.88,9665.06
2010-06-11,4253.36,5878.22,10131.58
2010-06-18,3370.46,7058.01,10428.47
2010-06-25,4429.65,5701.42,10131.07
2010-07-02,6094.73,3317.91,9412.64
2010-07-09,4376.32,5913.42,10289.73
2010-07-16,4768.88,5430.17,10199.05
2010-07-23,3614.89,7026.93,10641.81
2010-07-30,3447.49,7248.78,10696.27
2010-08-06,2718.64,8175.35,10893.99
2010-08-13,4019.3,6589.02,10608.33
2010-08-20,4302.24,6237.77,10540.01
2010-08-27,4543.72,5949.65,10493.37
2010-09-03,3509.55,7396.7,10906.24
2010-09-10,3451.8,7480.15,10931.95
2010-09-17,2880.31,8194.07,11074.38
2010-09-24,1932.75,9345.26,11278.01
2010-10-01,2057.12,9208.59,11265.71
2010-10-08,1336.08,10039.7,11375.79
2010-10-15,1084.39,10316.11,11400.49
2010-10-22,791.23,10650.0,11441.23
2010-10-29,843.06,10597.62,11440.68
2010-11-05,0.0,11486.42,11486.42
2010-11-12,1014.77,10449.01,11463.78
2010-11-19,957.43,10543.94,11501.37
2010-11-26,1414.65,10079.16,11493.81
2010-12-03,199.23,11400.16,11599.38
2010-12-10,60.2,11542.12,11602.32
2010-12-17,0.0,11603.27,11603.27
2010-12-24,0.0,11604.77,11604.77
2010-12-31,63.07,11542.27,11605.34
2011-01-07,177.44,11428.9,11606.34
2011-01-14,0.0,11612.49,11612.49
2011-01-21,0.0,11612.93,11612.93
2011-01-28,649.75,10963.18,11612.93
2011-02-04,0.0,11638.22,11638.22
2011-02-11,0.0,11638.92,11638.92
2011-02-18,0.0,11642.07,11642.07
2011-02-25,981.22,10655.22,11636.44
2011-03-04,899.82,10785.08,11684.9
2011-03-11,1335.79,10357.58,11693.37
2011-03-18,2045.15,9628.34,11673.49
2011-03-25,744.66,11070.85,11815.51
2011-04-01,141.26,11698.04,11839.3
2011-04-08,202.52,11637.5,11840.01
2011-04-15,366.29,11478.98,11845.27
2011-04-22,-0.0,11878.55,11878.55
2011-04-29,0.0,11881.34,11881.34
2011-05-06,676.76,11203.84,11880.59
2011-05-13,808.08,11082.47,11890.54
2011-05-20,1081.81,10804.37,11886.18
2011-05-27,1310.09,10567.5,11877.6
2011-06-03,2373.73,9419.46,11793.19
2011-06-10,3080.8,8593.77,11674.58
2011-06-17,2881.81,8863.55,11745.36
2011-06-24,3109.09,8606.25,11715.33
2011-07-01,866.66,11203.72,12070.38
2011-07-08,583.83,11508.74,12092.58
2011-07-15,1252.52,10816.02,12068.54
2011-07-22,497.97,11646.16,12144.13
2011-07-29,2455.55,9526.68,11982.23
2011-08-05,4851.51,6632.58,11484.09
2011-08-12,5611.11,6142.9,11754.01
2011-08-19,6893.93,4224.84,11118.78
2011-08-26,5638.38,6353.53,11991.91
2011-09-02,5776.76,6222.38,11999.14
2011-09-09,6515.15,5158.23,11673.38
2011-09-16,5050.5,7456.89,12507.39
2011-09-23,7200.0,4184.54,11384.53
2011-09-30,6852.52,4920.03,11772.55
2011-10-07,6348.48,5851.95,12200.43
2011-10-14,4833.33,8230.34,13063.67
2011-10-21,4372.72,8961.99,13334.71
2011-10-28,3075.75,10741.25,13817.01
2011-11-04,3941.41,9765.81,13707.22
2011-11-11,3411.11,10582.03,13993.14
2011-11-18,4516.15,9156.8,13672.96
2011-11-25,6137.37,6826.67,12964.04
2011-12-02,3902.33,10208.74,14111.07
2011-12-09,3396.32,10902.26,14298.59
2011-12-16,4397.23,9615.62,14012.85
2011-12-23,3053.94,11422.71,14476.64
2011-12-30,3333.9,11093.45,14427.35
2012-01-06,2800.72,11765.8,14566.51
2012-01-13,2602.62,12006.22,14608.83
2012-01-20,1568.65,13201.9,14770.55
2012-01-27,1752.6,13002.21,14754.81
2012-02-03,1079.46,13752.35,14831.81
2012-02-10,1261.39,13561.59,14822.98
2012-02-17,668.1,14204.66,14872.76
2012-02-24,540.96,14338.1,14879.05
2012-03-02,544.86,14335.72,14880.57
2012-03-09,712.62,14186.38,14899.0
2012-03-16,42.19,14893.32,14935.51
2012-03-23,632.85,14296.94,14929.79
2012-03-30,189.37,14766.34,14955.71
2012-04-06,729.0,14219.95,14948.95
2012-04-13,1483.5,13466.87,14950.37
2012-04-20,890.89,14129.06,15019.95
2012-04-27,159.93,14900.76,15060.69
2012-05-04,908.51,14143.82,15052.32
2012-05-11,1577.16,13426.21,15003.38
2012-05-18,3110.27,11663.09,14773.36
2012-05-25,2793.08,12063.71,14856.79
2012-06-01,3888.57,10748.98,14637.55
2012-06-08,2496.44,12520.94,15017.38
2012-06-15,1791.56,13373.0,15164.56
2012-06-22,2199.8,12944.64,15144.45
2012-06-29,1418.57,13872.43,15291.0
2012-07-06,1776.88,13485.7,15262.58
2012-07-13,1785.69,13498.9,15284.58
2012-07-20,1591.85,13730.45,15322.3
2012-07-27,713.69,14723.01,15436.7
2012-08-03,687.26,14777.76,15465.02
2012-08-10,225.87,15254.02,15479.89
2012-08-17,0.0,15485.0,15485.0
2012-08-24,434.98,15055.85,15490.83
2012-08-31,642.25,14850.79,15493.04
2012-09-07,0.0,15532.71,15532.71
2012-09-14,0.0,15534.88,15534.88
2012-09-21,81.4,15454.43,15535.83
2012-09-28,586.09,14947.27,15533.36
2012-10-05,0.0,15549.24,15549.24
2012-10-12,1005.4,14524.17,15529.58
2012-10-19,972.97,14585.89,15558.86
2012-10-26,1781.06,13727.95,15509.01
2012-11-02,1816.2,13704.39,15520.59
2012-11-09,2729.89,12693.72,15423.61
2012-11-16,3426.94,11852.69,15279.63
2012-11-23,2047.98,13543.08,15591.06
2012-11-30,2007.42,13604.97,15612.39
2012-12-07,1536.96,14139.7,15676.65
2012-12-14,1572.11,14106.2,15678.31
2012-12-21,1347.69,14371.88,15719.56
2012-12-28,2261.59,13359.28,15620.87
2013-01-04,585.21,15244.38,15829.59
2013-01-11,371.6,15470.73,15842.33
2013-01-18,0.0,15850.6,15850.6
2013-01-25,0.0,15850.6,15850.6
2013-02-01,0.0,15858.69,15858.69
2013-02-08,27.17,15842.67,15869.85
2013-02-15,71.28,15799.06,15870.34
2013-02-22,85.49,15795.12,15880.62
2013-03-01,-0.0,15923.41,15923.41
2013-03-08,-0.0,15923.41,15923.41
2013-03-15,83.19,15840.22,15923.41
2013-03-22,78.81,15852.32,15931.13
2013-03-29,0.0,15937.58,15937.58
2013-04-05,322.94,15616.44,15939.38
2013-04-12,0.0,15944.76,15944.76
2013-04-19,1087.2,14864.45,15951.65
2013-04-26,524.61,15462.79,15987.4
2013-05-03,0.0,16013.38,16013.38
2013-05-10,0.0,16013.59,16013.59
2013-05-17,0.0,16018.16,16018.16
2013-05-24,235.35,15783.14,16018.49
2013-05-31,945.1,15069.64,16014.75
2013-06-07,544.76,15531.5,16076.26
2013-06-14,1051.12,15022.17,16073.29
2013-06-21,1894.35,14158.11,16052.46
2013-06-28,1674.85,14429.91,16104.76
2013-07-05,959.66,15217.94,16177.6
2013-07-12,36.38,16182.99,16219.37
2013-07-19,0.0,16221.35,16221.35
2013-07-26,67.5,16154.03,16221.53
2013-08-02,0.0,16224.99,16224.99
2013-08-09,640.54,15576.4,16216.94
2013-08-16,1634.6,14527.7,16162.3
2013-08-23,1862.11,14281.21,16143.32
2013-08-30,2446.65,13621.98,16068.63
2013-09-06,2093.13,14035.76,16128.89
2013-09-13,740.29,15536.21,16276.51
2013-09-20,633.29,15666.41,16299.69
2013-09-27,1313.29,14950.04,16263.32
2013-10-04,1847.94,14373.8,16221.75
2013-10-11,1377.31,14945.7,16323.01
2013-10-18,906.31,15470.88,16377.19
2013-10-25,385.31,16019.84,16405.14
2013-11-01,260.96,16153.58,16414.53
2013-11-08,0.0,16436.02,16436.02
2013-11-15,0.0,16437.17,16437.17
2013-11-22,0.0,16440.78,16440.78
2013-11-29,52.57,16388.55,16441.12
2013-12-06,235.76,16220.62,16456.38
2013-12-13,989.24,15446.63,16435.86
2013-12-20,0.0,16489.85,16489.85
2013-12-27,0.0,16489.85,16489.85
2014-01-03,304.09,16187.59,16491.68
2014-01-10,393.28,16101.2,16494.47
2014-01-17,369.88,16143.14,16513.02
2014-01-24,1994.15,14431.2,16425.35
2014-01-31,2504.39,13861.19,16365.57
2014-02-07,2270.96,14188.75,16459.71
2014-02-14,1225.36,15374.81,16600.17
2014-02-21,1321.87,15274.53,16596.41
2014-02-28,662.34,15981.13,16643.46
2014-03-07,318.68,16358.78,16677.46
2014-03-14,1397.92,15236.0,16633.92
2014-03-21,793.95,15900.02,16693.97
2014-03-28,746.67,15956.37,16703.04
2014-04-04,444.56,16282.55,16727.11
2014-04-11,1583.75,15112.46,16696.21
2014-04-18,497.21,16288.2,16785.41
2014-04-25,628.82,16158.67,16787.49
2014-05-02,204.73,16598.53,16803.27
2014-05-09,0.0,16814.39,16814.39
2014-05-16,609.06,16203.66,16812.71
2014-05-23,268.95,16567.12,16836.07
2014-05-30,0.0,16841.16,16841.16
2014-06-06,0.0,16841.57,16841.57
2014-06-13,498.52,16341.67,16840.19
2014-06-20,0.0,16850.64,16850.64
2014-06-27,322.86,16528.61,16851.47
2014-07-04,0.0,16859.62,16859.62
2014-07-11,318.8,16543.53,16862.32
2014-07-18,113.08,16764.65,16877.73
2014-07-25,510.03,16365.2,16875.23
2014-08-01,1802.11,15004.09,16806.21
2014-08-08,1643.07,15199.41,16842.47
2014-08-15,1275.03,15606.98,16882.0
2014-08-22,308.93,16633.83,16942.75
2014-08-29,42.04,16905.44,16947.47
2014-09-05,0.0,16948.8,16948.8
2014-09-12,389.65,16558.15,16947.8
2014-09-19,0.0,16955.47,16955.47
2014-09-26,543.51,16438.91,16982.42
2014-10-03,851.54,16144.29,16995.83
2014-10-10,2109.12,14832.36,16941.48
2014-10-17,2560.45,14349.24,16909.69
2014-10-24,1473.2,15621.36,17094.56
2014-10-31,0.0,17192.69,17192.69
2014-11-07,1.31,17191.5,17192.81
2014-11-14,24.19,17168.64,17192.83
2014-11-21,0.0,17193.0,17193.0
2014-11-28,0.0,17193.0,17193.0
2014-12-05,0.0,17195.55,17195.55
2014-12-12,1750.36,15390.16,17140.52
2014-12-19,454.64,16847.63,17302.27
2014-12-26,0.0,17314.48,17314.48
2015-01-02,611.57,16697.37,17308.94
2015-01-09,862.27,16505.17,17367.44
2015-01-16,1517.68,15819.45,17337.13
2015-01-23,1079.24,16315.69,17394.93
2015-01-30,2359.71,14943.23,17302.94
2015-02-06,706.0,16807.56,17513.57
2015-02-13,114.67,17424.46,17539.13
2015-02-20,0.0,17543.89,17543.89
2015-02-27,236.28,17308.47,17544.75
2015-03-06,1137.15,16395.86,17533.01
2015-03-13,1394.66,16164.05,17558.71
2015-03-20,464.16,17186.2,17650.37
2015-03-27,1558.03,16043.52,17601.55
2015-04-03,1430.36,16210.7,17641.06
2015-04-10,681.64,17016.99,17698.63
2015-04-17,1287.54,16394.34,17681.88
2015-04-24,619.97,17116.07,17736.04
2015-05-01,811.48,16936.51,17747.98
2015-05-08,309.44,17480.68,17790.12
2015-05-15,58.34,17744.19,17802.54
2015-05-22,161.83,17640.76,17802.59
2015-05-29,737.94,17062.54,17800.47
2015-06-05,1154.37,16630.15,17784.52
2015-06-12,1031.38,16782.49,17813.87
2015-06-19,748.73,17096.78,17845.5
2015-06-26,923.5,16924.79,17848.29
2015-07-03,1521.19,16313.85,17835.03
2015-07-10,1434.88,16438.5,17873.38
2015-07-17,569.3,17373.37,17942.67
2015-07-24,1879.59,15974.72,17854.31
2015-07-31,1604.69,16297.91,17902.59
2015-08-07,2341.24,15467.35,17808.59
2015-08-14,2086.36,15786.25,17872.61
2015-08-21,4471.0,12918.61,17389.61
2015-08-28,4184.45,13569.43,17753.88
2015-09-04,5391.6,11975.06,17366.66
2015-09-11,4715.68,13011.44,17727.13
2015-09-18,4851.73,12866.56,17718.3
2015-09-25,4970.5,12717.6,17688.1
2015-10-02,4685.46,13172.57,17858.02
2015-10-09,3298.31,15038.26,18336.56
2015-10-16,3047.67,15370.7,18418.37
2015-10-23,1980.3,16663.02,18643.32
2015-10-30,1954.37,16704.2,18658.57
2015-11-06,1308.33,17429.94,18738.27
2015-11-13,2909.39,15625.68,18535.06
2015-11-20,1467.36,17319.06,18786.42
2015-11-27,1512.54,17269.38,18781.92
2015-12-04,1410.92,17438.6,18849.52
2015-12-11,2829.24,15845.9,18675.14
2015-12-18,3192.47,15471.48,18663.94
2015-12-25,2230.35,16641.39,18871.74
2016-01-01,2546.01,16291.4,18837.41
2016-01-08,5008.61,13171.03,18179.64
2016-01-15,5799.92,12090.92,17890.84
2016-01-22,5572.91,12470.95,18043.86
2016-01-29,4876.72,13584.5,18461.22
2016-02-05,5410.75,12854.94,18265.69
2016-02-12,5845.22,12248.73,18093.95
2016-02-19,4975.53,13577.46,18552.99
2016-02-26,4443.33,14358.27,18801.6
2016-03-04,3638.54,15460.95,19099.49
2016-03-11,3138.8,16105.51,19244.31
2016-03-18,2215.02,17219.13,19434.16
2016-03-25,2453.0,16944.33,19397.33
2016-04-01,1775.85,17728.13,19503.98
2016-04-08,2292.91,17154.15,19447.05
2016-04-15,1520.57,18041.7,19562.27
2016-04-22,1243.65,18350.16,19593.81
2016-04-29,1819.12,17727.17,19546.29
2016-05-06,1901.33,17645.75,19547.08
2016-05-13,2370.79,17135.9,19506.68
2016-05-20,2414.06,17103.76,19517.81
2016-05-27,1511.35,18145.1,19656.45
2016-06-03,1652.95,17992.08,19645.02
2016-06-10,1488.72,18181.07,19669.8
2016-06-17,1944.66,17679.46,19624.12
2016-06-24,2729.04,16873.85,19602.89
2016-07-01,1400.13,18458.99,19859.12
2016-07-08,978.77,18928.24,19907.01
2016-07-15,0.0,19947.17,19947.17
2016-07-22,76.41,19872.57,19948.98
2016-07-29,435.16,19509.71,19944.87
2016-08-05,176.29,19782.25,19958.54
2016-08-12,105.39,19856.86,19962.25
2016-08-19,155.46,19809.11,19964.57
2016-08-26,546.22,19411.74,19957.96
2016-09-02,277.31,19692.18,19969.49
2016-09-09,1327.73,18622.89,19950.62
2016-09-16,1258.4,18733.15,19991.55
2016-09-23,898.25,19127.7,20025.96
2016-09-30,805.76,19252.75,20058.51
2016-10-07,977.82,19075.85,20053.66
2016-10-14,1230.17,18816.42,20046.6
2016-10-21,1188.11,18864.72,20052.83
2016-10-28,1181.81,18872.8,20054.6
2016-11-04,1846.35,18145.33,19991.68
2016-11-11,0.0,20147.31,20147.31
2016-11-18,77.91,20069.83,20147.74
2016-11-25,0.0,20148.81,20148.81
2016-12-02,72.27,20077.41,20149.68
2016-12-09,0.0,20150.08,20150.08
2016-12-16,166.73,19986.03,20152.76
2016-12-23,138.44,20015.98,20154.43
2016-12-30,496.07,19654.01,20150.08
2017-01-06,50.72,20110.42,20161.14
2017-01-13,253.15,19909.36,20162.52
2017-01-20,379.67,19783.34,20163.02
2017-01-27,21.56,20151.59,20173.15
2017-02-03,92.37,20091.23,20183.6
2017-02-10,0.0,20185.08,20185.08
2017-02-17,0.0,20185.08,20185.08
2017-02-24,0.0,20185.08,20185.08
2017-03-03,258.52,19927.97,20186.5
2017-03-10,465.91,19717.38,20183.29
2017-03-17,443.18,19743.59,20186.78
2017-03-24,1181.97,18977.12,20159.09
2017-03-31,1061.26,19112.19,20173.45
2017-04-07,1055.57,19118.82,20174.4
2017-04-14,1502.61,18637.28,20139.89
2017-04-21,1297.99,18877.77,20175.75
2017-04-28,456.81,19784.97,20241.78
2017-05-05,311.9,19934.01,20245.92
