date,positions_value,cash,net_liq
2007-02-02,0.0,10000.0,10000.0
2007-02-09,209.86,9789.98,9999.84
2007-02-16,0.0,10002.83,10002.83
2007-02-23,0.0,10002.83,10002.83
2007-03-02,1238.64,8763.78,10002.42
2007-03-09,980.4,9050.63,10031.03
2007-03-16,1179.22,8848.29,10027.51
2007-03-23,637.6,9431.6,10069.2
2007-03-30,703.88,9362.66,10066.54
2007-04-06,703.88,9362.66,10066.54
2007-04-13,0.0,10092.56,10092.56
2007-04-20,0.0,10092.56,10092.56
2007-04-27,0.0,10093.16,10093.16
2007-05-04,0.0,10093.16,10093.16
2007-05-11,479.24,9613.92,10093.16
2007-05-18,54.71,10051.15,10105.86
2007-05-25,86.33,10019.79,10106.12
2007-06-01,-0.0,10107.14,10107.14
2007-06-08,686.25,9420.89,10107.14
2007-06-15,201.58,9923.29,10124.87
2007-06-22,894.27,9214.48,10108.74
2007-06-29,844.94,9267.85,10112.79
2007-07-06,647.89,9476.12,10124.01
2007-07-13,195.58,9951.11,10146.69
2007-07-20,800.09,9334.51,10134.6
2007-07-27,1822.6,8245.43,10068.03
2007-08-03,1065.9,9104.04,10169.94
2007-08-10,1391.73,8771.33,10163.06
2007-08-17,1760.43,8410.59,10171.02
2007-08-24,1490.09,8712.38,10202.47
2007-08-31,1365.74,8865.59,10231.33
2007-09-07,1796.68,8393.79,10190.47
2007-09-14,1123.48,9137.1,10260.57
2007-09-21,508.15,9796.18,10304.34
2007-09-28,456.7,9859.18,10315.88
2007-10-05,25.76,10298.72,10324.48
2007-10-12,171.4,10154.04,10325.45
2007-10-19,445.66,9875.86,10321.51
2007-10-26,0.0,10330.31,10330.31
2007-11-02,716.57,9606.59,10323.16
2007-11-09,1025.89,9287.27,10313.16
2007-11-16,871.04,9460.02,10331.07
2007-11-23,994.07,9333.61,10327.68
2007-11-30,86.99,10291.72,10378.71
2007-12-07,0.0,10380.6,10380.6
2007-12-14,660.99,9719.55,10380.54
2007-12-21,1021.34,9346.96,10368.3
2007-12-28,973.98,9404.37,10378.35
2008-01-04,2114.75,8163.14,10277.89
2008-01-11,1972.67,8343.89,10316.56
2008-01-18,3383.19,6680.18,10063.37
2008-01-25,3665.29,6336.54,10001.84
2008-02-01,2689.26,7564.46,10253.71
2008-02-08,3527.33,6555.84,10083.17
2008-02-15,3123.73,7072.12,10195.86
2008-02-22,3269.94,6892.5,10162.44
2008-02-29,3403.78,6750.37,10154.15
2008-03-07,3762.07,6302.9,10064.98
2008-03-14,3902.09,6144.62,10046.71
2008-03-21,3115.5,7170.15,10285.65
2008-03-28,3020.78,7297.72,10318.5
2008-04-04,2407.99,8037.0,10444.98
2008-04-11,3142.85,7163.89,10306.73
2008-04-18,2819.67,7562.56,10382.23
2008-04-25,3058.45,7283.5,10341.95
2008-05-02,2945.24,7427.3,10372.53
2008-05-09,3396.03,6876.32,10272.35
2008-05-16,2675.58,7765.83,10441.41
2008-05-23,3264.29,7058.38,10322.67
2008-05-30,2926.71,7480.91,10407.62
2008-06-06,3717.15,6518.59,10235.74
2008-06-13,3630.69,6637.36,10268.06
2008-06-20,4499.35,5509.54,10008.89
2008-06-27,5279.5,4423.86,9703.36
2008-07-04,5284.7,4415.92,9700.62
2008-07-11,5237.34,4501.12,9738.46
2008-07-18,4901.73,4990.93,9892.66
2008-07-25,4566.12,5492.47,10058.58
2008-08-01,4450.81,5683.83,10134.64
2008-08-08,3289.55,7249.77,10539.31
2008-08-15,3036.29,7566.39,10602.68
2008-08-22,3415.14,7104.5,10519.64
2008-08-29,3833.12,6581.51,10414.63
2008-09-05,3736.34,6716.47,10452.82
2008-09-12,2970.4,7697.46,10667.86
2008-09-19,3468.68,7136.58,10605.26
2008-09-26,4074.02,6386.01,10460.02
2008-10-03,5208.52,4902.17,10110.68
2008-10-10,8013.89,0.0,8013.89
2008-10-17,7284.26,1297.74,8582.0
2008-10-24,7444.31,0.0,7444.31
2008-10-31,5356.7,3232.22,8588.93
2008-11-07,5776.47,2709.76,8486.23
2008-11-14,6845.46,1153.99,7999.45
2008-11-21,5195.07,2292.32,7487.38
2008-11-28,3614.01,4495.67,8109.68
2008-12-05,4092.58,4086.07,8178.65
2008-12-12,4805.12,3158.74,7963.86
2008-12-19,4124.49,4125.93,8250.42
2008-12-26,4330.09,3881.41,8211.51
2009-01-02,3372.95,5158.91,8531.86
2009-01-09,4308.82,3955.0,8263.82
2009-01-16,4684.59,3481.06,8165.66
2009-01-23,5312.05,2611.04,7923.09
2009-01-30,5794.17,1942.29,7736.46
2009-02-06,5234.06,2830.31,8064.37
2009-02-13,5928.88,1828.15,7757.03
2009-02-20,6861.2,350.32,7211.52
2009-02-27,6768.64,0.0,6768.64
2009-03-06,5703.95,494.64,6198.58
2009-03-13,4408.27,2407.73,6816.0
2009-03-20,3994.71,2975.66,6970.38
2009-03-27,2669.46,4706.75,7376.21
2009-04-03,2382.79,5099.94,7482.73
2009-04-10,2274.71,5241.59,7516.3
2009-04-17,1640.28,5992.6,7632.88
2009-04-24,2086.72,5513.78,7600.5
2009-05-01,1583.88,6083.58,7667.47
2009-05-08,536.61,7229.23,7765.83
2009-05-15,870.06,6895.03,7765.09
2009-05-22,311.18,7489.76,7800.93
2009-05-29,0.0,7829.19,7829.19
2009-06-05,290.62,7539.58,7830.2
2009-06-12,403.39,7428.44,7831.83
2009-06-19,1126.67,6699.57,7826.24
2009-06-26,1104.96,6735.78,7840.75
2009-07-03,1009.48,6860.52,7870.01
2009-07-10,1426.15,6420.83,7846.98
2009-07-17,0.0,7942.71,7942.71
2009-07-24,0.0,7942.71,7942.71
2009-07-31,0.0,7944.5,7944.5
2009-08-07,291.22,7659.43,7950.66
2009-08-14,720.4,7220.01,7940.41
2009-08-21,114.96,7858.87,7973.82
2009-08-28,379.36,7593.75,7973.11
2009-09-04,383.19,7599.99,7983.19
2009-09-11,0.0,7992.94,7992.94
2009-09-18,0.0,7994.27,7994.27
2009-09-25,480.66,7510.35,7991.0
2009-10-02,609.79,7384.59,7994.38
2009-10-09,28.26,7983.05,8011.31
2009-10-16,0.0,8013.34,8013.34
2009-10-23,566.87,7448.65,8015.52
2009-10-30,1272.89,6734.8,8007.69
2009-11-06,373.39,7692.02,8065.41
2009-11-13,75.99,8007.24,8083.23
2009-11-20,348.39,7739.56,8087.95
2009-11-27,240.85,7854.68,8095.53
2009-12-04,257.96,7849.38,8107.34
2009-12-11,168.79,7944.63,8113.42
2009-12-18,748.27,7361.31,8109.58
2009-12-25,110.97,8021.16,8132.13
2010-01-01,205.81,7926.33,8132.14
2010-01-08,249.62,7885.25,8134.87
2010-01-15,264.79,7874.38,8139.17
2010-01-22,1148.44,6964.86,8113.3
2010-01-29,1265.28,6840.45,8105.74
2010-02-05,1483.93,6638.45,8122.38
2010-02-12,864.93,7319.38,8184.32
2010-02-19,51.92,8163.0,8214.92
2010-02-26,236.74,7977.47,8214.21
2010-03-05,0.0,8217.62,8217.62
2010-03-12,0.0,8218.4,8218.4
2010-03-19,68.38,8150.02,8218.4
2010-03-26,424.52,7792.5,8217.02
2010-04-02,346.79,7875.55,8222.35
2010-04-09,349.57,7876.46,8226.03
2010-04-16,313.48,7915.94,8229.42
2010-04-23,124.16,8110.53,8234.7
2010-04-30,601.51,7643.98,8245.49
2010-05-07,2116.31,6030.66,8146.97
2010-05-14,1476.17,6805.51,8281.68
2010-05-21,2475.0,5722.43,8197.43
2010-05-28,2561.0,5648.3,8209.3
2010-06-04,2988.58,5171.52,8160.1
2010-06-11,2395.95,5898.33,8294.28
2010-06-18,1965.71,6402.14,8367.85
2010-06-25,2944.77,5268.98,8213.75
2010-07-02,3568.07,4513.89,8081.96
2010-07-09,2395.95,5973.7,8369.65
2010-07-16,2349.06,6042.27,8391.33
2010-07-23,1479.53,7048.42,8527.95
2010-07-30,1589.76,6935.71,8525.48
2010-08-06,1531.89,7013.21,8545.1
2010-08-13,1881.91,6640.45,8522.36
2010-08-20,1827.48,6718.25,8545.73
2010-08-27,1973.49,6559.99,8533.48
2010-09-03,1207.63,7425.44,8633.07
2010-09-10,995.5,7653.7,8649.2
2010-09-17,703.48,7962.48,8665.96
2010-09-24,339.84,8352.25,8692.09
2010-10-01,505.13,8183.96,8689.09
2010-10-08,0.0,8702.39,8702.39
2010-10-15,0.0,8702.46,8702.46
2010-10-22,0.0,8713.06,8713.06
2010-10-29,186.29,8527.6,8713.88
2010-11-05,35.09,8685.34,8720.44
2010-11-12,423.67,8293.98,8717.64
2010-11-19,278.34,8454.69,8733.02
2010-11-26,318.48,8417.69,8736.16
2010-12-03,0.0,8749.51,8749.51
2010-12-10,0.0,8749.57,8749.57
2010-12-17,0.0,8749.57,8749.57
2010-12-24,18.85,8730.73,8749.57
2010-12-31,105.98,8643.91,8749.89
2011-01-07,240.22,8511.2,8751.42
2011-01-14,0.0,8756.49,8756.49
2011-01-21,261.35,8494.68,8756.03
2011-01-28,856.39,7890.59,8746.98
2011-02-04,401.36,8373.11,8774.47
2011-02-11,0.0,8783.02,8783.02
2011-02-18,34.23,8749.53,8783.76
2011-02-25,296.14,8489.81,8785.95
2011-03-04,300.69,8498.03,8798.72
2011-03-11,430.5,8369.52,8800.03
2011-03-18,1034.02,7746.6,8780.62
2011-03-25,38.78,8787.7,8826.49
2011-04-01,0.0,8829.97,8829.97
2011-04-08,387.49,8440.21,8827.7
2011-04-15,2.22,8832.65,8834.87
2011-04-22,0.0,8846.54,8846.54
2011-04-29,0.0,8849.93,8849.93
2011-05-06,174.92,8675.75,8850.67
2011-05-13,126.71,8727.06,8853.77
2011-05-20,202.43,8653.5,8855.93
2011-05-27,263.95,8595.63,8859.59
2011-06-03,1142.72,7693.84,8836.56
2011-06-10,1591.08,7216.27,8807.35
2011-06-17,1309.37,7544.74,8854.11
2011-06-24,1491.89,7352.73,8844.62
2011-07-01,202.36,8724.56,8926.91
2011-07-08,288.27,8642.96,8931.23
2011-07-15,711.85,8210.36,8922.21
2011-07-22,268.66,8680.37,8949.03
2011-07-29,1331.53,7574.96,8906.49
2011-08-05,2604.23,6163.58,8767.81
2011-08-12,2968.98,5868.66,8837.64
2011-08-19,3655.11,5036.57,8691.68
2011-08-26,3073.21,5784.69,8857.9
2011-09-02,2096.07,6979.54,9075.62
2011-09-09,2986.88,5977.51,8964.38
2011-09-16,2007.78,7157.51,9165.29
2011-09-23,3642.22,5250.8,8893.02
2011-09-30,3573.55,5374.8,8948.35
2011-10-07,2898.58,6275.6,9174.18
2011-10-14,1948.91,7402.47,9351.38
2011-10-21,1680.1,7732.47,9412.58
2011-10-28,1167.99,8319.97,9487.96
2011-11-04,1784.09,7690.23,9474.33
2011-11-11,1684.03,7843.15,9527.17
2011-11-18,2270.7,7191.07,9461.77
2011-11-25,3141.88,6160.23,9302.11
2011-12-02,1567.12,8040.26,9607.38
2011-12-09,1361.22,8279.58,9640.8
2011-12-16,2029.92,7550.79,9580.71
2011-12-23,986.67,8721.23,9707.9
2011-12-30,1137.67,8564.18,9701.84
2012-01-06,1005.77,8705.09,9710.86
2012-01-13,880.21,8840.96,9721.16
2012-01-20,611.4,9124.0,9735.4
2012-01-27,650.65,9093.77,9744.42
2012-02-03,158.17,9606.66,9764.83
2012-02-10,218.72,9548.95,9767.67
2012-02-17,0.0,9770.77,9770.77
2012-02-24,0.0,9770.77,9770.77
2012-03-02,28.16,9743.03,9771.19
2012-03-09,418.65,9353.75,9772.4
2012-03-16,167.09,9619.68,9786.77
2012-03-23,248.82,9538.24,9787.06
2012-03-30,37.37,9763.47,9800.84
2012-04-06,297.47,9502.98,9800.45
2012-04-13,645.99,9157.47,9803.45
2012-04-20,352.04,9468.35,9820.39
2012-04-27,417.17,9411.64,9828.8
2012-05-04,607.26,9223.61,9830.87
2012-05-11,851.93,8976.02,9827.94
2012-05-18,1846.7,7904.77,9751.46
2012-05-25,1347.11,8469.24,9816.35
2012-06-01,2191.26,7557.67,9748.94
2012-06-08,1406.31,8451.24,9857.55
2012-06-15,1420.39,8437.09,9857.48
2012-06-22,1670.31,8170.74,9841.05
2012-06-29,1416.87,8463.92,9880.79
2012-07-06,1334.15,8554.41,9888.56
2012-07-13,857.19,9069.63,9926.83
2012-07-20,834.31,9096.32,9930.63
2012-07-27,536.87,9434.79,9971.66
2012-08-03,913.51,9045.16,9958.67
2012-08-10,390.79,9598.22,9989.01
2012-08-17,0.0,10000.05,10000.05
2012-08-24,304.19,9695.36,9999.56
2012-08-31,304.19,9695.36,9999.56
2012-09-07,0.0,10007.86,10007.86
2012-09-14,0.0,10008.51,10008.51
2012-09-21,0.0,10008.51,10008.51
2012-09-28,365.28,9642.12,10007.4
2012-10-05,516.78,9487.19,10003.97
2012-10-12,306.37,9704.41,10010.77
2012-10-19,0.0,10020.03,10020.03
2012-10-26,941.9,9081.03,10022.92
2012-11-02,745.11,9289.55,10034.65
2012-11-09,1194.19,8817.14,10011.32
2012-11-16,1480.12,8521.79,10001.91
2012-11-23,178.29,9920.26,10098.55
2012-11-30,0.0,10100.92,10100.92
2012-12-07,0.0,10100.92,10100.92
2012-12-14,322.23,9777.35,10099.59
2012-12-21,310.67,9791.42,10102.09
2012-12-28,872.51,9216.26,10088.77
2013-01-04,0.0,10141.79,10141.79
2013-01-11,0.0,10143.59,10143.59
2013-01-18,0.0,10143.59,10143.59
2013-01-25,0.0,10143.59,10143.59
2013-02-01,125.37,10017.98,10143.35
2013-02-08,0.0,10148.29,10148.29
2013-02-15,0.0,10148.72,10148.72
2013-02-22,255.04,9893.68,10148.72
2013-03-01,112.14,10052.04,10164.18
2013-03-08,33.74,10131.65,10165.4
2013-03-15,104.74,10061.63,10166.37
2013-03-22,0.0,10168.74,10168.74
2013-03-29,0.0,10168.74,10168.74
2013-04-05,657.37,9508.94,10166.31
2013-04-12,0.0,10188.54,10188.54
2013-04-19,64.69,10136.86,10201.54
2013-04-26,41.75,10171.41,10213.16
2013-05-03,0.0,10213.33,10213.33
2013-05-10,0.0,10213.33,10213.33
2013-05-17,48.19,10165.1,10213.3
2013-05-24,302.09,9914.59,10216.68
2013-05-31,1127.27,9064.59,10191.86
2013-06-07,1375.29,8801.79,10177.08
2013-06-14,749.11,9482.68,10231.79
2013-06-21,1830.03,8345.45,10175.48
2013-06-28,1374.16,8870.68,10244.84
2013-07-05,1148.58,9122.22,10270.8
2013-07-12,25.8,10302.42,10328.22
2013-07-19,0.0,10331.63,10331.63
2013-07-26,160.31,10171.0,10331.31
2013-08-02,93.53,10238.97,10332.5
2013-08-09,56.9,10282.07,10338.98
2013-08-16,1067.53,9245.72,10313.25
2013-08-23,1062.97,9253.04,10316.01
2013-08-30,1515.93,8770.47,10286.4
2013-09-06,1132.71,9188.48,10321.19
2013-09-13,638.53,9712.83,10351.36
2013-09-20,359.48,10016.21,10375.7
2013-09-27,556.18,9816.86,10373.04
2013-10-04,850.1,9516.62,10366.72
2013-10-11,761.92,9627.75,10389.67
2013-10-18,307.48,10101.08,10408.56
2013-10-25,0.0,10416.88,10416.88
2013-11-01,90.47,10326.29,10416.76
2013-11-08,492.63,9922.24,10414.88
2013-11-15,0.0,10426.84,10426.84
2013-11-22,180.56,10249.04,10429.59
2013-11-29,0.0,10431.3,10431.3
2013-12-06,-0.0,10444.32,10444.32
2013-12-13,728.8,9709.31,10438.1
2013-12-20,326.92,10127.57,10454.49
2013-12-27,239.62,10216.76,10456.38
2014-01-03,176.75,10283.41,10460.16
2014-01-10,239.25,10222.95,10462.2
2014-01-17,561.47,9901.35,10462.82
2014-01-24,1235.01,9198.83,10433.85
2014-01-31,1848.28,8541.14,10389.41
2014-02-07,1598.81,8848.36,10447.17
2014-02-14,1187.2,9303.77,10490.98
2014-02-21,873.29,9640.55,10513.85
2014-02-28,501.18,10031.2,10532.38
2014-03-07,272.51,10279.04,10551.55
2014-03-14,559.39,9987.5,10546.88
2014-03-21,245.48,10315.29,10560.77
2014-03-28,301.61,10260.64,10562.26
2014-04-04,0.0,10568.87,10568.87
2014-04-11,521.44,10047.73,10569.17
2014-04-18,92.02,10497.94,10589.96
2014-04-25,206.52,10383.66,10590.18
2014-05-02,289.68,10304.18,10593.86
2014-05-09,315.48,10281.31,10596.78
2014-05-16,565.42,10036.5,10601.92
2014-05-23,124.55,10490.38,10614.93
2014-05-30,0.0,10616.57,10616.57
2014-06-06,0.0,10617.93,10617.93
2014-06-13,497.41,10117.68,10615.09
2014-06-20,26.44,10598.9,10625.34
2014-06-27,412.77,10209.23,10622.0
2014-07-04,0.0,10630.34,10630.34
2014-07-11,98.57,10532.85,10631.42
2014-07-18,298.35,10334.4,10632.75
2014-07-25,550.53,10078.47,10629.0
2014-08-01,1595.18,8975.62,10570.81
2014-08-08,1122.87,9493.09,10615.96
2014-08-15,769.09,9872.91,10642.0
2014-08-22,361.52,10298.4,10659.92
2014-08-29,94.68,10571.76,10666.44
