date,positions_value,cash,net_liq
2008-12-05,691.38,9301.24,9992.62
2008-12-12,100.97,9917.81,10018.78
2008-12-19,1144.35,8858.77,10003.13
2008-12-26,5.32,10071.39,10076.71
2009-01-02,104.43,9973.01,10077.44
2009-01-09,1028.64,9074.37,10103.01
2009-01-16,1446.36,8709.18,10155.54
2009-01-23,0.0,10289.55,10289.55
2009-01-30,0.0,10312.75,10312.75
2009-02-06,606.9,9729.5,10336.4
2009-02-13,174.12,10214.5,10388.62
2009-02-20,0.0,10416.09,10416.09
2009-02-27,1781.98,8571.26,10353.25
2009-03-06,1873.58,8522.09,10395.67
2009-03-13,2231.64,8167.57,10399.21
2009-03-20,1594.63,8934.43,10529.06
2009-03-27,2485.62,7938.77,10424.39
2009-04-03,3480.7,6754.22,10234.92
2009-04-10,3922.03,6219.57,10141.6
2009-04-17,4242.62,5819.29,10061.91
2009-04-24,2922.79,7534.69,10457.48
2009-05-01,3747.16,6517.66,10264.82
2009-05-08,2906.13,7590.02,10496.15
2009-05-15,2431.49,8161.83,10593.32
2009-05-22,1661.24,9063.99,10725.23
2009-05-29,999.24,9801.17,10800.41
2009-06-05,1815.29,8961.66,10776.95
2009-06-12,2285.43,8432.53,10717.96
2009-06-19,2427.03,8276.34,10703.37
2009-06-26,2310.42,8423.5,10733.92
2009-07-03,2614.45,8078.21,10692.66
2009-07-10,3130.89,7463.34,10594.23
2009-07-17,2452.02,8291.07,10743.1
2009-07-24,2010.55,8810.36,10820.91
2009-07-31,2048.03,8794.32,10842.36
2009-08-07,1960.93,8900.33,10861.26
2009-08-14,2202.42,8630.73,10833.14
2009-08-21,2019.22,8856.96,10876.19
2009-08-28,1961.71,8933.12,10894.83
2009-09-04,787.99,10241.01,11029.0
2009-09-11,442.53,10605.21,11047.75
2009-09-18,450.86,10607.6,11058.45
2009-09-25,1037.72,10007.3,11045.02
2009-10-02,629.83,10448.22,11078.05
2009-10-09,394.15,10710.1,11104.24
2009-10-16,327.84,10785.75,11113.59
2009-10-23,269.98,10850.54,11120.53
2009-10-30,590.11,10546.07,11136.18
2009-11-06,-0.0,11160.27,11160.27
2009-11-13,0.0,11171.78,11171.78
2009-11-20,0.0,11171.78,11171.78
2009-11-27,452.65,10719.13,11171.78
2009-12-04,1467.53,9707.19,11174.71
2009-12-11,2658.22,8366.43,11024.65
2009-12-18,2762.4,8301.78,11064.19
2009-12-25,2935.05,8115.26,11050.31
2010-01-01,3199.98,7794.46,10994.44
2010-01-08,2205.75,9011.21,11216.96
2010-01-15,2351.62,8870.01,11221.62
2010-01-22,3283.33,7773.1,11056.43
2010-01-29,3589.93,7389.57,10979.5
2010-02-05,3956.07,6987.7,10943.77
2010-02-12,3375.61,7753.78,11129.39
2010-02-19,2786.22,8497.98,11284.2
2010-02-26,2830.87,8455.45,11286.32
2010-03-05,2467.71,8897.48,11365.18
2010-03-12,3199.98,8021.87,11221.85
2010-03-19,3128.54,8136.05,11264.59
2010-03-26,3086.87,8208.77,11295.63
2010-04-02,2682.03,8708.24,11390.27
2010-04-09,1815.8,9720.84,11536.64
2010-04-16,2446.87,9014.29,11461.16
2010-04-23,1964.64,9578.41,11543.05
2010-04-30,1413.95,10203.82,11617.77
2010-05-07,660.83,11037.94,11698.78
2010-05-14,265.18,11469.58,11734.76
2010-05-21,1667.68,10002.87,11670.54
2010-05-28,718.93,11036.2,11755.13
2010-06-04,677.68,11090.76,11768.44
2010-06-11,462.59,11335.14,11797.73
2010-06-18,0.0,11814.37,11814.37
2010-06-25,37.63,11796.43,11834.06
2010-07-02,1201.32,10648.68,11850.0
2010-07-09,1236.05,10626.54,11862.6
2010-07-16,1693.42,10135.14,11828.56
2010-07-23,1838.16,9981.96,11820.12
2010-07-30,2023.42,9787.61,11811.03
2010-08-06,1435.79,10447.68,11883.47
2010-08-13,1204.67,10705.05,11909.72
2010-08-20,903.74,11029.18,11932.92
2010-08-27,655.25,11293.67,11948.92
2010-09-03,435.47,11525.04,11960.5
2010-09-10,496.17,11467.17,11963.33
2010-09-17,0.0,11983.97,11983.97
2010-09-24,0.0,11983.97,11983.97
2010-10-01,0.0,11984.22,11984.22
2010-10-08,35.69,11959.95,11995.64
2010-10-15,236.9,11761.55,11998.45
2010-10-22,1228.46,10766.57,11995.03
2010-10-29,547.07,11503.15,12050.22
2010-11-05,0.0,12094.98,12094.98
2010-11-12,989.77,11115.78,12105.55
2010-11-19,1332.2,10761.23,12093.43
2010-11-26,1214.93,10896.36,12111.29
2010-12-03,0.0,12179.27,12179.27
2010-12-10,897.3,11274.82,12172.12
2010-12-17,1176.58,10983.27,12159.85
2010-12-24,1105.03,11061.81,12166.84
2010-12-31,177.18,12042.58,12219.76
2011-01-07,1370.46,10810.91,12181.37
2011-01-14,1580.5,10589.04,12169.54
2011-01-21,1977.49,10157.74,12135.23
