date,positions_value,cash,net_liq
2011-04-15,0.0,10000.0,10000.0
2011-04-22,0.0,10001.37,10001.37
2011-04-29,0.0,10001.58,10001.58
2011-05-06,4.06,9997.53,10001.59
2011-05-13,64.61,9937.0,10001.62
2011-05-20,60.55,9941.23,10001.78
2011-05-27,246.17,9754.93,10001.1
2011-06-03,359.16,9639.98,9999.14
2011-06-10,867.59,9120.23,9987.83
2011-06-17,1170.23,8801.88,9972.11
2011-06-24,799.0,9201.46,10000.45
2011-07-01,205.82,9821.6,10027.42
2011-07-08,100.66,9929.31,10029.97
2011-07-15,225.19,9806.92,10032.11
2011-07-22,0.0,10035.68,10035.68
2011-07-29,341.74,9691.44,10033.18
2011-08-05,1173.98,8830.58,10004.55
2011-08-12,2368.06,7730.4,10098.45
2011-08-19,1941.89,8245.91,10187.79
2011-08-26,2191.16,7963.42,10154.57
2011-09-02,1463.45,8802.68,10266.13
2011-09-09,1825.29,8404.83,10230.12
2011-09-16,1551.9,8725.15,10277.05
2011-09-23,2026.32,8205.63,10231.95
2011-09-30,2661.55,7484.92,10146.47
2011-10-07,2299.71,8056.82,10356.53
2011-10-14,1889.62,8533.03,10422.65
2011-10-21,1129.28,9377.33,10506.61
2011-10-28,248.54,10313.5,10562.03
2011-11-04,976.46,9564.45,10540.9
2011-11-11,875.91,9671.31,10547.23
2011-11-18,1330.36,9191.39,10521.75
2011-11-25,2641.42,7734.42,10375.83
2011-12-02,1515.36,9052.6,10567.95
2011-12-09,698.96,9960.84,10659.8
2011-12-16,900.04,9765.63,10665.67
2011-12-23,900.04,9765.63,10665.67
2011-12-30,216.36,10488.75,10705.12
2012-01-06,184.18,10524.79,10708.97
2012-01-13,60.06,10650.31,10710.37
2012-01-20,0.0,10710.84,10710.84
2012-01-27,0.0,10710.84,10710.84
2012-02-03,69.88,10640.9,10710.78
2012-02-10,290.41,10421.43,10711.84
2012-02-17,290.28,10421.43,10711.7
2012-02-24,0.0,10716.47,10716.47
2012-03-02,33.55,10682.92,10716.47
2012-03-09,328.06,10392.99,10721.05
2012-03-16,395.16,10325.1,10720.26
2012-03-23,477.32,10241.11,10718.44
2012-03-30,395.35,10327.75,10723.1
2012-04-06,320.82,10404.11,10724.93
2012-04-13,943.1,9769.49,10712.59
2012-04-20,943.1,9769.49,10712.59
2012-04-27,943.1,9769.49,10712.59
2012-05-04,0.0,10771.1,10771.1
2012-05-11,163.33,10607.77,10771.1
2012-05-18,1262.09,9485.64,10747.73
2012-05-25,946.57,9827.29,10773.86
2012-06-01,946.57,9827.29,10773.86
2012-06-08,723.85,10082.17,10806.02
2012-06-15,723.85,10082.17,10806.02
2012-06-22,267.27,10559.7,10826.97
2012-06-29,233.86,10593.66,10827.52
2012-07-06,0.0,10836.06,10836.06
2012-07-13,61.66,10774.39,10836.06
2012-07-20,0.0,10837.3,10837.3
2012-07-27,170.03,10667.27,10837.3
2012-08-03,-0.0,10850.04,10850.04
2012-08-10,118.98,10733.27,10852.25
2012-08-17,122.48,10733.96,10856.44
2012-08-24,143.48,10714.27,10857.75
2012-08-31,128.39,10731.84,10860.24
2012-09-07,0.0,10861.7,10861.7
2012-09-14,0.0,10861.7,10861.7
2012-09-21,0.0,10861.98,10861.98
2012-09-28,509.55,10356.86,10866.41
2012-10-05,382.16,10488.59,10870.75
2012-10-12,375.46,10497.18,10872.64
2012-10-19,53.64,10824.57,10878.2
2012-10-26,335.23,10540.47,10875.7
2012-11-02,476.03,10397.52,10873.54
2012-11-09,476.03,10403.39,10879.42
2012-11-16,821.31,10050.22,10871.53
2012-11-23,248.07,10649.85,10897.92
2012-11-30,110.47,10789.92,10900.39
2012-12-07,3.22,10897.97,10901.18
2012-12-14,143.73,10757.16,10900.88
2012-12-21,88.15,10814.16,10902.31
2012-12-28,68.57,10834.34,10902.91
2013-01-04,51.25,10853.21,10904.46
2013-01-11,0.0,10904.7,10904.7
2013-01-18,0.0,10904.92,10904.92
2013-01-25,0.0,10904.92,10904.92
2013-02-01,228.24,10678.13,10906.37
2013-02-08,475.5,10426.44,10901.94
2013-02-15,317.0,10589.69,10906.7
2013-02-22,231.41,10676.99,10908.4
2013-03-01,22.1,10888.75,10910.85
2013-03-08,0.0,10910.95,10910.95
2013-03-15,0.0,10911.3,10911.3
2013-03-22,50.03,10861.55,10911.58
