date,positions_value,cash,net_liq
2009-06-26,85.54,9914.46,10000.0
2009-07-03,1564.52,8423.89,9988.41
2009-07-10,2488.0,7405.31,9893.32
2009-07-17,28.68,10175.27,10203.95
2009-07-24,0.0,10206.87,10206.87
2009-07-31,0.0,10216.19,10216.19
2009-08-07,0.0,10230.83,10230.83
2009-08-14,394.63,9861.82,10256.45
2009-08-21,0.0,10342.88,10342.88
2009-08-28,58.69,10284.2,10342.88
2009-09-04,710.99,9681.73,10392.72
2009-09-11,23.72,10394.65,10418.36
2009-09-18,30.72,10388.28,10418.99
2009-09-25,1207.29,9185.25,10392.54
2009-10-02,2068.59,8302.84,10371.43
2009-10-09,41.42,10508.46,10549.88
2009-10-16,353.27,10201.62,10554.89
2009-10-23,778.71,9789.98,10568.69
2009-10-30,2744.3,7720.53,10464.83
2009-11-06,1296.33,9402.66,10699.0
2009-11-13,253.11,10546.78,10799.89
2009-11-20,809.9,9993.99,10803.89
2009-11-27,814.32,10021.26,10835.58
2009-12-04,213.54,10658.0,10871.54
2009-12-11,151.58,10734.07,10885.65
2009-12-18,488.87,10406.5,10895.37
2009-12-25,0.0,10909.89,10909.89
2010-01-01,614.66,10290.45,10905.12
2010-01-08,0.0,10936.04,10936.04
2010-01-15,546.97,10400.78,10947.75
2010-01-22,2413.39,8432.45,10845.85
2010-01-29,3161.04,7556.4,10717.44
2010-02-05,3469.06,7275.62,10744.68
2010-02-12,3004.53,7875.53,10880.06
2010-02-19,1795.34,9314.52,11109.87
2010-02-26,1968.8,9136.23,11105.03
2010-03-05,570.21,10676.13,11246.33
2010-03-12,75.63,11183.62,11259.25
2010-03-19,281.32,10979.0,11260.32
2010-03-26,339.68,10924.34,11264.02
2010-04-02,0.0,11274.15,11274.15
2010-04-09,0.0,11278.8,11278.8
2010-04-16,788.15,10490.64,11278.8
2010-04-23,0.0,11308.2,11308.2
2010-04-30,1243.66,10097.33,11340.98
2010-05-07,4038.92,6922.7,10961.62
2010-05-14,3250.42,8114.62,11365.04
2010-05-21,5022.84,5889.38,10912.23
2010-05-28,4928.09,6131.21,11059.3
2010-06-04,5724.2,5111.12,10835.31
2010-06-11,4938.24,6360.58,11298.82
2010-06-18,4123.52,7519.45,11642.97
2010-06-25,5318.95,5889.49,11208.44
2010-07-02,7087.14,3137.4,10224.54
2010-07-09,5465.31,5843.17,11308.48
2010-07-16,5878.55,5287.06,11165.61
2010-07-23,4754.45,7009.59,11764.03
2010-07-30,4811.16,6943.12,11754.28
2010-08-06,4152.61,7889.68,12042.29
2010-08-13,5485.79,6071.42,11557.21
2010-08-20,5715.3,5754.66,11469.97
2010-08-27,5956.65,5419.71,11376.36
2010-09-03,4768.52,7273.54,12042.06
2010-09-10,4575.44,7558.11,12133.55
2010-09-17,4067.32,8256.67,12323.99
2010-09-24,3335.64,9254.21,12589.85
2010-10-01,3399.15,9178.92,12578.07
2010-10-08,2757.24,10002.26,12759.49
2010-10-15,2329.57,10513.04,12842.62
2010-10-22,2107.7,10781.23,12888.93
2010-10-29,2083.14,10810.19,12893.33
2010-11-05,484.28,12578.76,13063.04
2010-11-12,1497.11,11518.01,13015.13
2010-11-19,1493.73,11556.55,13050.28
2010-11-26,1956.11,11078.16,13034.27
2010-12-03,559.65,12639.82,13199.46
2010-12-10,0.0,13213.86,13213.86
2010-12-17,0.0,13217.89,13217.89
2010-12-24,74.88,13143.01,13217.89
2010-12-31,65.03,13153.3,13218.33
2011-01-07,186.79,13033.78,13220.57
2011-01-14,0.0,13225.55,13225.55
2011-01-21,428.28,12800.91,13229.19
2011-01-28,871.31,12366.67,13237.98
2011-02-04,0.0,13282.91,13282.91
2011-02-11,0.0,13284.67,13284.67
2011-02-18,0.0,13286.85,13286.85
2011-02-25,854.0,12449.69,13303.69
2011-03-04,814.28,12541.42,13355.7
2011-03-11,1425.98,11926.77,13352.75
2011-03-18,2309.77,10981.93,13291.7
2011-03-25,1147.93,12305.1,13453.03
2011-04-01,490.55,13004.93,13495.48
2011-04-08,570.03,12924.39,13494.43
2011-04-15,933.43,12549.14,13482.58
2011-04-22,296.0,13237.03,13533.03
2011-04-29,0.0,13541.3,13541.3
2011-05-06,854.79,12674.67,13529.46
2011-05-13,930.94,12616.64,13547.58
2011-05-20,1077.53,12474.44,13551.98
2011-05-27,1130.84,12431.0,13561.84
2011-06-03,2195.05,11299.37,13494.42
2011-06-10,3135.51,10205.01,13340.53
2011-06-17,3143.13,10232.64,13375.78
2011-06-24,3230.7,10152.35,13383.05
2011-07-01,910.01,12857.48,13767.49
2011-07-08,736.76,13053.6,13790.36
2011-07-15,1728.62,12013.46,13742.09
2011-07-22,746.28,13112.56,13858.84
2011-07-29,2533.92,11164.15,13698.07
2011-08-05,5444.79,7541.22,12986.01
2011-08-12,6331.95,6973.73,13305.68
2011-08-19,7757.88,4686.04,12443.91
2011-08-26,6531.84,6970.96,13502.8
2011-09-02,6609.9,6958.88,13568.78
2011-09-09,7133.44,6181.06,13314.49
2011-09-16,5581.86,8757.12,14338.98
2011-09-23,7677.92,5401.43,13079.35
2011-09-30,7765.49,5366.42,13131.91
2011-10-07,7262.89,6442.99,13705.88
2011-10-14,5564.73,9336.46,14901.19
2011-10-21,5233.47,9921.7,15155.17
2011-10-28,3948.43,11834.63,15783.06
2011-11-04,4946.0,10620.5,15566.5
2011-11-11,4683.28,11147.06,15830.34
2011-11-18,5994.98,9255.36,15250.34
2011-11-25,7436.14,6887.16,14323.3
2011-12-02,5340.08,10500.96,15841.04
2011-12-09,5056.42,10981.98,16038.4
2011-12-16,6050.19,9516.34,15566.53
2011-12-23,4812.74,11448.89,16261.63
2011-12-30,5048.81,11130.59,16179.39
2012-01-06,4443.41,12000.65,16444.06
2012-01-13,4087.4,12487.86,16575.26
2012-01-20,3367.77,13429.07,16796.84
2012-01-27,3291.63,13531.18,16822.8
