date,positions_value,cash,net_liq
2010-05-07,0.0,10000.0,10000.0
2010-05-14,1744.49,8218.81,9963.3
2010-05-21,2683.37,7186.0,9869.37
2010-05-28,2265.42,7791.49,10056.9
2010-06-04,3422.36,6483.92,9906.28
2010-06-11,2453.19,7703.63,10156.83
2010-06-18,950.99,9425.12,10376.11
2010-06-25,1865.64,8464.47,10330.11
2010-07-02,2846.92,7411.04,10257.95
2010-07-09,1350.77,9175.82,10526.59
2010-07-16,799.56,9798.22,10597.78
2010-07-23,0.0,10681.87,10681.87
2010-07-30,125.87,10561.32,10687.18
2010-08-06,16.13,10679.96,10696.09
2010-08-13,1964.8,8682.43,10647.23
2010-08-20,2489.45,8110.21,10599.66
2010-08-27,2425.21,8217.08,10642.3
2010-09-03,1102.86,9767.95,10870.8
2010-09-10,1033.26,9862.37,10895.63
2010-09-17,465.77,10475.19,10940.95
2010-09-24,0.0,10992.87,10992.87
2010-10-01,70.86,10926.91,10997.77
2010-10-08,0.0,11019.64,11019.64
2010-10-15,0.0,11021.4,11021.4
2010-10-22,79.85,10981.78,11061.63
2010-10-29,315.03,10749.75,11064.78
2010-11-05,127.23,10943.94,11071.16
2010-11-12,1237.17,9802.18,11039.35
2010-11-19,1381.95,9703.37,11085.31
2010-11-26,2601.57,8351.21,10952.78
2010-12-03,1917.18,9235.77,11152.95
2010-12-10,1816.27,9353.17,11169.45
2010-12-17,1807.5,9381.65,11189.14
2010-12-24,1491.19,9734.51,11225.7
2010-12-31,1232.88,10020.9,11253.78
2011-01-07,1943.59,9244.16,11187.75
2011-01-14,772.24,10563.31,11335.55
2011-01-21,386.17,10977.25,11363.42
2011-01-28,773.37,10603.51,11376.88
2011-02-04,222.16,11185.86,11408.02
2011-02-11,85.05,11330.29,11415.34
2011-02-18,0.0,11422.04,11422.04
2011-02-25,592.69,10846.41,11439.1
2011-03-04,98.97,11372.58,11471.56
2011-03-11,1183.58,10282.49,11466.07
2011-03-18,1649.59,9852.96,11502.55
2011-03-25,767.06,10828.99,11596.04
2011-04-01,610.35,10997.83,11608.17
2011-04-08,0.0,11627.31,11627.31
2011-04-15,468.48,11163.34,11631.82
2011-04-22,909.17,10730.0,11639.17
2011-04-29,0.0,11710.94,11710.94
2011-05-06,1290.03,10393.79,11683.83
2011-05-13,1911.3,9732.84,11644.14
2011-05-20,1713.95,9964.13,11678.09
2011-05-27,1681.06,10039.78,11720.84
2011-06-03,1425.25,10334.07,11759.32
2011-06-10,2802.99,8808.48,11611.47
2011-06-17,2952.82,8701.53,11654.35
2011-06-24,3490.03,8073.57,11563.6
2011-07-01,1523.92,10445.05,11968.97
2011-07-08,1783.39,10164.12,11947.51
2011-07-15,3175.75,8621.95,11797.7
2011-07-22,2276.75,9763.94,12040.68
2011-07-29,3055.15,8869.6,11924.75
2011-08-05,5642.53,5551.57,11194.1
2011-08-12,6176.08,5285.9,11461.98
2011-08-19,7334.55,3463.18,10797.73
2011-08-26,6855.81,4367.49,11223.31
2011-09-02,6705.98,4692.96,11398.94
2011-09-09,8178.74,2170.2,10348.94
2011-09-16,7429.57,3668.9,11098.47
2011-09-23,8825.58,1018.61,9844.19
2011-09-30,8460.13,1904.49,10364.63
2011-10-07,7835.22,3232.19,11067.41
2011-10-14,6698.35,5323.38,12021.73
2011-10-21,6702.0,5427.51,12129.51
2011-10-28,5474.97,7520.47,12995.44
2011-11-04,6873.64,5478.29,12351.93
2011-11-11,6964.94,5527.92,12492.86
2011-11-18,7914.43,3840.43,11754.85
2011-11-25,9083.03,1480.04,10563.07
2011-12-02,7494.46,4842.03,12336.49
2011-12-09,7403.16,5099.77,12502.93
2011-12-16,8546.2,2947.57,11493.78
2011-12-23,7775.66,4537.41,12313.07
2011-12-30,7782.96,4533.31,12316.27
2012-01-06,7980.16,4210.0,12190.16
2012-01-13,7892.52,4400.49,12293.0
2012-01-20,6990.5,6072.19,13062.69
2012-01-27,6639.92,6677.95,13317.87
2012-02-03,6099.44,7589.85,13689.29
2012-02-10,6366.03,7180.67,13546.7
2012-02-17,5931.45,7896.98,13828.43
2012-02-24,5668.52,8306.78,13975.3
