date,positions_value,cash,net_liq
2007-01-26,169.72,9830.28,10000.0
2007-02-02,0.0,10002.59,10002.59
2007-02-09,338.74,9665.03,10003.77
2007-02-16,0.0,10012.51,10012.51
2007-02-23,106.0,9906.51,10012.51
2007-03-02,2147.57,7792.8,9940.36
2007-03-09,1765.96,8272.75,10038.71
2007-03-16,2073.36,7955.18,10028.55
2007-03-23,917.96,9242.53,10160.49
2007-03-30,1295.32,8840.7,10136.02
2007-04-06,880.04,9290.37,10170.41
2007-04-13,579.09,9610.41,10189.5
2007-04-20,227.27,9986.37,10213.64
2007-04-27,225.88,9990.94,10216.82
2007-05-04,164.66,10076.14,10240.8
2007-05-11,303.99,9945.06,10249.05
2007-05-18,561.54,9694.02,10255.56
2007-05-25,344.71,9932.89,10277.61
2007-06-01,0.0,10284.24,10284.24
2007-06-08,741.12,9550.42,10291.53
2007-06-15,313.55,10013.66,10327.21
2007-06-22,867.35,9450.69,10318.04
2007-06-29,987.47,9344.0,10331.47
2007-07-06,252.47,10115.34,10367.81
2007-07-13,124.05,10262.25,10386.3
2007-07-20,912.3,9461.65,10373.94
2007-07-27,3366.65,6706.04,10072.69
2007-08-03,3769.94,6259.47,10029.41
2007-08-10,2763.76,7578.77,10342.53
2007-08-17,2812.64,7564.66,10377.3
2007-08-24,2380.84,8095.33,10476.17
2007-08-31,2680.25,7807.02,10487.27
2007-09-07,3199.63,7192.59,10392.22
2007-09-14,2989.84,7467.43,10457.27
2007-09-21,2006.06,8700.86,10706.93
2007-09-28,2338.06,8330.35,10668.41
2007-10-05,841.01,10025.06,10866.07
2007-10-12,1065.06,9798.28,10863.34
2007-10-19,2643.59,8062.58,10706.16
2007-10-26,1808.49,9050.34,10858.84
2007-11-02,2682.29,8098.18,10780.47
2007-11-09,3633.48,6976.53,10610.01
2007-11-16,3829.01,6758.05,10587.06
2007-11-23,4222.11,6274.72,10496.84
2007-11-30,3873.82,6808.51,10682.33
2007-12-07,3281.11,7603.12,10884.22
2007-12-14,4328.03,6303.97,10632.0
2007-12-21,3529.6,7392.24,10921.83
2007-12-28,3987.88,6830.05,10817.93
2008-01-04,5440.13,4833.52,10273.65
2008-01-11,6030.8,3970.28,10001.08
2008-01-18,7069.57,2293.42,9362.99
2008-01-25,6621.47,3096.65,9718.12
2008-02-01,5368.84,5143.29,10512.13
2008-02-08,6303.73,3739.12,10042.85
2008-02-15,6246.7,3873.26,10119.96
2008-02-22,6540.0,3417.6,9957.61
2008-02-29,6723.32,3167.71,9891.03
2008-03-07,7538.04,1776.79,9314.83
2008-03-14,7334.36,2225.21,9559.57
2008-03-21,7104.2,2752.6,9856.8
2008-03-28,6904.59,3155.9,10060.49
2008-04-04,6077.38,4567.13,10644.51
2008-04-11,6802.16,3419.02,10221.18
2008-04-18,6018.76,4737.67,10756.43
2008-04-25,5917.02,4914.1,10831.12
2008-05-02,5733.89,5217.83,10951.72
2008-05-09,5919.06,4945.44,10864.49
2008-05-16,5318.79,5869.42,11188.21
2008-05-23,5888.53,5020.51,10909.05
2008-05-30,5129.55,6172.71,11302.26
2008-06-06,5400.18,5842.43,11242.61
2008-06-13,5573.14,5606.35,11179.49
2008-06-20,5803.07,5267.36,11070.43
2008-06-27,6631.24,3978.74,10609.98
2008-07-04,7587.22,2326.45,9913.67
2008-07-11,7316.4,2907.67,10224.06
2008-07-18,6903.03,3696.6,10599.63
2008-07-25,6385.82,4612.25,10998.07
2008-08-01,6180.15,4975.29,11155.44
2008-08-08,5768.83,5671.9,11440.73
2008-08-15,5119.26,6667.48,11786.74
2008-08-22,5605.93,5983.26,11589.18
2008-08-29,5585.56,6049.85,11635.41
2008-09-05,6217.98,5094.12,11312.11
2008-09-12,6095.77,5348.56,11444.33
2008-09-19,5264.74,6983.28,12248.01
2008-09-26,6712.94,4789.61,11502.54
2008-10-03,9085.87,591.79,9677.66
2008-10-10,5050.06,1631.87,6681.93
2008-10-17,5036.32,2516.35,7552.67
2008-10-24,6388.22,0.0,6388.22
2008-10-31,1191.17,6253.61,7444.79
2008-11-07,3039.41,4273.96,7313.37
2008-11-14,5767.18,1136.78,6903.96
2008-11-21,3535.23,1988.9,5524.13
2008-11-28,0.0,6199.51,6199.51
2008-12-05,1685.76,5176.18,6861.94
2008-12-12,1132.35,6024.76,7157.11
2008-12-19,118.95,7246.62,7365.57
2008-12-26,603.24,6787.38,7390.62
2009-01-02,0.0,7442.53,7442.53
2009-01-09,2084.45,5302.69,7387.14
2009-01-16,3084.68,4227.81,7312.49
2009-01-23,4359.79,2834.09,7193.88
2009-01-30,4436.14,2850.62,7286.76
2009-02-06,3061.78,4678.77,7740.55
2009-02-13,4375.06,3054.57,7429.62
2009-02-20,6215.18,409.83,6625.01
2009-02-27,6086.44,0.0,6086.44
2009-03-06,4820.13,136.93,4957.06
2009-03-13,1238.48,4550.67,5789.16
