date,positions_value,cash,net_liq
2007-02-02,0.0,10000.0,10000.0
2007-02-09,369.91,9628.26,9998.16
2007-02-16,0.0,10018.21,10018.21
2007-02-23,225.25,9792.18,10017.44
2007-03-02,1474.99,8522.12,9997.11
2007-03-09,1271.39,8753.42,10024.81
2007-03-16,1392.69,8630.13,10022.81
2007-03-23,569.79,9521.77,10091.56
2007-03-30,812.31,9273.75,10086.05
2007-04-06,697.54,9394.45,10091.99
2007-04-13,469.92,9630.94,10100.86
2007-04-20,0.0,10113.19,10113.19
2007-04-27,0.0,10113.19,10113.19
2007-05-04,12.16,10101.03,10113.19
2007-05-11,41.89,10080.29,10122.19
2007-05-18,0.0,10124.83,10124.83
2007-05-25,35.32,10092.1,10127.42
2007-06-01,0.0,10130.76,10130.76
2007-06-08,675.54,9461.71,10137.25
2007-06-15,15.01,10149.82,10164.84
2007-06-22,433.14,9731.6,10164.74
2007-06-29,701.54,9460.67,10162.21
2007-07-06,144.38,10036.58,10180.96
2007-07-13,0.0,10196.27,10196.27
2007-07-20,420.88,9776.38,10197.26
2007-07-27,1896.59,8216.09,10112.68
2007-08-03,2132.36,7982.02,10114.37
2007-08-10,2333.48,7789.25,10122.73
2007-08-17,3009.24,7028.02,10037.26
2007-08-24,2012.18,8224.68,10236.86
2007-08-31,2047.11,8225.2,10272.31
2007-09-07,2497.62,7718.84,10216.45
2007-09-14,2023.19,8273.68,10296.87
2007-09-21,1175.73,9243.02,10418.75
2007-09-28,1083.11,9348.34,10431.45
2007-10-05,354.47,10128.5,10482.97
2007-10-12,597.35,9883.22,10480.57
2007-10-19,1680.71,8750.32,10431.03
2007-10-26,1291.21,9181.39,10472.6
2007-11-02,1361.09,9129.35,10490.44
2007-11-09,2259.12,8154.37,10413.49
2007-11-16,2528.18,7862.53,10390.71
2007-11-23,3038.34,7265.33,10303.67
2007-11-30,2194.47,8333.25,10527.72
2007-12-07,1631.9,8987.59,10619.48
2007-12-14,2313.28,8240.35,10553.63
2007-12-21,2785.0,7708.22,10493.23
2007-12-28,2891.58,7590.41,10481.99
2008-01-04,4147.77,6030.71,10178.47
2008-01-11,5143.63,4695.25,9838.88
2008-01-18,6062.63,3380.99,9443.62
2008-01-25,5575.18,4153.17,9728.35
2008-02-01,4261.33,6055.99,10317.32
2008-02-08,5344.56,4556.52,9901.08
2008-02-15,4968.92,5131.45,10100.37
2008-02-22,4967.17,5140.96,10108.13
2008-02-29,5248.46,4764.88,10013.34
2008-03-07,5728.92,4062.62,9791.54
2008-03-14,5639.82,4257.41,9897.23
2008-03-21,5119.18,5084.94,10204.11
2008-03-28,4982.9,5302.53,10285.43
2008-04-04,4061.63,6605.78,10667.41
2008-04-11,5345.28,4866.07,10211.35
2008-04-18,4190.87,6537.48,10728.35
2008-04-25,4265.97,6443.51,10709.47
2008-05-02,3829.35,7036.08,10865.43
2008-05-09,4152.44,6622.18,10774.63
2008-05-16,3446.87,7546.5,10993.37
2008-05-23,4395.21,6321.05,10716.25
2008-05-30,3567.38,7421.86,10989.24
2008-06-06,4527.94,6199.12,10727.06
2008-06-13,4674.64,6016.81,10691.45
2008-06-20,5214.3,5269.9,10484.2
2008-06-27,6380.94,3514.35,9895.3
2008-07-04,6859.48,2746.16,9605.63
2008-07-11,6854.24,2784.12,9638.36
2008-07-18,6333.79,3688.05,10021.84
2008-07-25,6167.87,3999.79,10167.66
2008-08-01,6241.23,3931.01,10172.23
2008-08-08,5574.07,5032.76,10606.84
2008-08-15,5500.72,5148.91,10649.63
2008-08-22,5801.27,4705.76,10507.03
2008-08-29,5850.21,4665.32,10515.53
2008-09-05,6760.85,3232.94,9993.79
2008-09-12,6799.3,3199.1,9998.4
2008-09-19,6619.27,3717.93,10337.21
2008-09-26,8017.57,1323.84,9341.41
2008-10-03,7238.22,0.0,7238.22
2008-10-10,5547.66,77.36,5625.02
2008-10-17,4673.63,1173.16,5846.79
2008-10-24,4797.25,0.0,4797.25
2008-10-31,578.89,4891.83,5470.72
2008-11-07,3231.04,2158.14,5389.19
2008-11-14,4336.25,842.94,5179.19
2008-11-21,2227.28,1938.64,4165.92
2008-11-28,0.0,4431.01,4431.01
2008-12-05,994.15,3769.33,4763.48
2008-12-12,1476.62,3359.99,4836.61
2008-12-19,990.58,4044.41,5034.99
2008-12-26,1343.78,3680.43,5024.22
2009-01-02,0.0,5152.52,5152.52
2009-01-09,1599.11,3526.27,5125.38
2009-01-16,3310.57,1601.53,4912.1
2009-01-23,4509.22,0.0,4509.22
2009-01-30,4502.36,122.4,4624.76
2009-02-06,3115.71,1817.66,4933.37
2009-02-13,4286.28,402.23,4688.52
2009-02-20,3941.29,0.0,3941.29
2009-02-27,3446.71,0.0,3446.71
2009-03-06,2850.84,0.0,2850.84
2009-03-13,26.64,3254.28,3280.92
2009-03-20,1136.26,2133.29,3269.55
2009-03-27,746.17,2709.41,3455.58
2009-04-03,0.0,3657.44,3657.44
2009-04-10,0.0,3780.96,3780.96
2009-04-17,0.0,3820.91,3820.91
2009-04-24,0.0,3946.66,3946.66
2009-05-01,0.0,3981.36,3981.36
2009-05-08,0.0,4015.17,4015.17
2009-05-15,2268.56,1667.47,3936.03
2009-05-22,2260.99,1745.86,4006.85
2009-05-29,1277.95,2903.12,4181.08
2009-06-05,0.0,4329.16,4329.16
2009-06-12,110.69,4219.97,4330.66
2009-06-19,1778.4,2491.35,4269.75
2009-06-26,2073.56,2223.29,4296.86
2009-07-03,2752.46,1465.87,4218.33
2009-07-10,3630.59,412.19,4042.78
2009-07-17,1505.37,3005.49,4510.86
2009-07-24,44.28,4570.12,4614.39
2009-07-31,0.0,4628.52,4628.52
2009-08-07,0.0,4642.32,4642.32
2009-08-14,534.15,4123.97,4658.11
2009-08-21,0.0,4721.17,4721.17
2009-08-28,102.05,4622.54,4724.59
2009-09-04,306.15,4452.79,4758.94
2009-09-11,0.0,4766.17,4766.17
2009-09-18,44.4,4721.77,4766.17
2009-09-25,1208.67,3532.64,4741.31
2009-10-02,2179.26,2494.55,4673.8
2009-10-09,709.47,4129.75,4839.22
2009-10-16,302.5,4571.13,4873.63
2009-10-23,790.16,4083.06,4873.22
2009-10-30,2436.31,2328.19,4764.51
2009-11-06,790.16,4189.35,4979.5
2009-11-13,76.62,4946.84,5023.46
2009-11-20,792.25,4223.83,5016.08
2009-11-27,755.28,4279.55,5034.83
2009-12-04,0.0,5067.68,5067.68
2009-12-11,89.7,4986.05,5075.75
2009-12-18,446.08,4629.15,5075.24
2009-12-25,0.0,5084.32,5084.32
2010-01-01,513.54,4568.71,5082.25
2010-01-08,0.0,5099.9,5099.9
2010-01-15,544.66,4554.72,5099.38
2010-01-22,1815.74,3218.19,5033.93
2010-01-29,2484.72,2460.96,4945.68
2010-02-05,2694.98,2262.13,4957.11
2010-02-12,2307.92,2734.82,5042.74
2010-02-19,1118.08,4080.89,5198.97
2010-02-26,1194.53,4006.82,5201.35
2010-03-05,14.25,5246.25,5260.5
2010-03-12,0.0,5261.51,5261.51
2010-03-19,169.0,5092.5,5261.51
2010-03-26,317.59,4945.06,5262.66
2010-04-02,0.0,5271.18,5271.18
2010-04-09,0.0,5273.29,5273.29
2010-04-16,444.43,4828.86,5273.29
2010-04-23,0.0,5284.23,5284.23
2010-04-30,775.48,4542.13,5317.61
2010-05-07,3243.95,1831.54,5075.5
2010-05-14,2238.14,3171.76,5409.89
2010-05-21,3858.19,1271.02,5129.21
2010-05-28,3658.56,1582.8,5241.36
2010-06-04,4649.02,373.84,5022.87
2010-06-11,3635.37,1598.46,5233.83
2010-06-18,2846.03,2607.07,5453.1
2010-06-25,3850.65,1379.99,5230.64
2010-07-02,4677.09,0.0,4677.09
2010-07-09,3334.16,1803.71,5137.87
2010-07-16,3838.24,1212.83,5051.06
2010-07-23,2031.24,3466.16,5497.4
2010-07-30,1997.07,3517.82,5514.89
2010-08-06,1552.8,4031.01,5583.81
2010-08-13,3065.03,2323.3,5388.33
2010-08-20,3214.54,2166.74,5381.28
2010-08-27,3539.21,1790.44,5329.65
2010-09-03,2300.37,3366.1,5666.47
2010-09-10,2138.04,3560.79,5698.83
2010-09-17,1629.69,4142.63,5772.32
2010-09-24,984.64,4880.12,5864.75
2010-10-01,988.35,4879.32,5867.67
2010-10-08,189.05,5735.68,5924.73
2010-10-15,325.18,5603.98,5929.16
2010-10-22,109.8,5836.74,5946.54
2010-10-29,307.43,5639.38,5946.81
2010-11-05,0.0,5952.6,5952.6
2010-11-12,867.79,5069.29,5937.08
2010-11-19,557.3,5412.67,5969.97
2010-11-26,529.44,5462.23,5991.67
2010-12-03,0.0,6021.37,6021.37
2010-12-10,-0.0,6021.51,6021.51
2010-12-17,0.0,6024.22,6024.22
2010-12-24,88.82,5935.91,6024.73
2010-12-31,42.63,5982.48,6025.1
2011-01-07,0.0,6027.06,6027.06
2011-01-14,0.0,6027.34,6027.34
2011-01-21,307.21,5726.31,6033.52
2011-01-28,663.87,5377.08,6040.95
2011-02-04,0.0,6067.03,6067.03
2011-02-11,0.0,6067.43,6067.43
2011-02-18,0.0,6069.57,6069.57
2011-02-25,1013.29,5069.01,6082.3
2011-03-04,956.99,5165.08,6122.07
2011-03-11,1300.68,4825.79,6126.47
2011-03-18,1804.36,4295.36,6099.72
2011-03-25,853.29,5351.68,6204.97
2011-04-01,115.55,6117.76,6233.31
2011-04-08,530.34,5698.38,6228.73
2011-04-15,728.86,5495.33,6224.19
2011-04-22,293.32,5961.69,6255.01
2011-04-29,0.0,6266.14,6266.14
2011-05-06,579.91,5686.07,6265.98
2011-05-13,787.64,5481.13,6268.76
2011-05-20,1053.07,5215.06,6268.12
2011-05-27,1145.39,5129.99,6275.38
2011-06-03,2126.33,4080.54,6206.87
2011-06-10,2787.03,3318.4,6105.43
2011-06-17,2637.0,3516.88,6153.88
2011-06-24,2469.66,3729.81,6199.47
2011-07-01,663.58,5756.37,6419.95
2011-07-08,669.35,5759.8,6429.15
2011-07-15,1828.8,4525.06,6353.86
2011-07-22,1488.29,4923.75,6412.04
2011-07-29,3211.08,2951.15,6162.24
2011-08-05,5482.17,7.47,5489.65
2011-08-12,3267.13,2100.92,5368.05
2011-08-19,4830.04,0.0,4830.04
2011-08-26,3305.43,2107.16,5412.58
2011-09-02,3297.95,2195.79,5493.74
2011-09-09,3970.57,1401.52,5372.09
2011-09-16,2356.29,3437.0,5793.29
2011-09-23,4717.93,535.6,5253.53
2011-09-30,4777.72,528.66,5306.38
2011-10-07,3377.07,2242.65,5619.72
2011-10-14,1654.48,4333.05,5987.53
2011-10-21,1216.01,4885.44,6101.45
2011-10-28,0.0,6236.85,6236.85
2011-11-04,700.74,5617.83,6318.58
2011-11-11,536.08,5873.63,6409.71
2011-11-18,1562.31,4800.15,6362.46
2011-11-25,3174.4,2952.93,6127.33
2011-12-02,865.4,5700.48,6565.87
2011-12-09,654.95,5974.05,6629.0
2011-12-16,1692.15,4881.06,6573.21
2011-12-23,398.53,6314.34,6712.87
2011-12-30,647.3,6071.54,6718.83
2012-01-06,30.46,6710.96,6741.42
2012-01-13,263.83,6478.03,6741.86
2012-01-20,130.57,6616.44,6747.02
2012-01-27,23.81,6728.31,6752.12
2012-02-03,0.0,6760.94,6760.94
2012-02-10,402.83,6358.73,6761.57
2012-02-17,0.0,6780.61,6780.61
2012-02-24,0.0,6781.06,6781.06
2012-03-02,378.94,6400.8,6779.75
2012-03-09,359.68,6450.31,6809.98
2012-03-16,0.0,6826.82,6826.82
2012-03-23,619.14,6204.92,6824.06
2012-03-30,408.63,6436.1,6844.73
2012-04-06,749.16,6088.27,6837.43
2012-04-13,1352.82,5487.99,6840.81
