date,positions_value,cash,net_liq
2025-07-18,0.0,10000.0,10000.0
2025-07-25,4974.58,4542.42,9517.0
2025-08-01,5648.47,3593.5,9241.96
2025-08-08,3302.89,7088.49,10391.38
2025-08-15,5590.55,4284.78,9875.33
2025-08-22,5851.05,4338.95,10190.0
2025-08-29,7995.9,1051.4,9047.29
2025-09-05,7746.97,1577.62,9324.58
2025-09-12,6288.13,4205.22,10493.35
2025-09-19,7153.59,2889.08,10042.67
2025-09-26,8537.17,623.65,9160.82
2025-10-03,7246.21,3255.64,10501.85
2025-10-10,8456.55,0.0,8456.55
2025-10-17,6152.12,0.0,6152.12
2025-10-24,4480.09,2913.66,7393.74
2025-10-31,4409.93,3535.42,7945.35
2025-11-07,4504.73,3213.52,7718.26
2025-11-14,5731.04,1839.22,7570.26
2025-11-21,5837.86,0.0,5837.86
2025-11-28,3503.72,3925.19,7428.91
2025-12-05,5549.7,1630.98,7180.67
2025-12-12,5866.68,1218.59,7085.27
2025-12-19,4624.08,1858.11,6482.19
2025-12-26,5321.25,873.24,6194.48
2026-01-02,3830.75,3159.91,6990.66
2026-01-09,3260.55,4799.67,8060.22
2026-01-16,3481.01,4626.14,8107.16
2026-01-23,5581.22,2047.76,7628.98
2026-01-30,6497.17,0.0,6497.17
2026-02-06,0.0,3893.25,3893.25
2026-02-13,1022.44,2986.95,4009.38
2026-02-20,1598.97,2503.47,4102.44
2026-02-27,3163.92,1023.28,4187.2
2026-03-06,3265.98,1220.82,4486.8
