date,positions_value,cash,net_liq
2007-02-02,0.0,10000.0,10000.0
2007-02-09,526.64,9474.88,10001.53
2007-02-16,24.81,9992.53,10017.34
2007-02-23,502.03,9510.94,10012.97
2007-03-02,1974.65,7960.56,9935.21
2007-03-09,1907.71,8066.32,9974.02
2007-03-16,2516.84,7398.85,9915.68
2007-03-23,1532.86,8543.92,10076.78
2007-03-30,2124.8,7887.06,10011.86
2007-04-06,1857.14,8195.62,10052.76
2007-04-13,1939.67,8107.32,10046.99
2007-04-20,931.51,9230.91,10162.42
2007-04-27,855.68,9317.46,10173.13
2007-05-04,621.48,9567.34,10188.82
2007-05-11,628.17,9565.25,10193.42
2007-05-18,648.24,9549.16,10197.4
2007-05-25,831.14,9363.54,10194.68
2007-06-01,440.81,9771.42,10212.23
2007-06-08,1183.55,9004.25,10187.8
2007-06-15,793.22,9432.42,10225.64
2007-06-22,1656.4,8513.19,10169.6
2007-06-29,2138.18,7978.69,10116.87
2007-07-06,1576.11,8619.54,10195.64
2007-07-13,1511.43,8721.33,10232.75
2007-07-20,2630.81,7456.56,10087.36
2007-07-27,4193.15,5544.92,9738.07
2007-08-03,5117.17,4321.41,9438.58
2007-08-10,4257.88,5608.17,9866.05
2007-08-17,3858.37,6225.42,10083.78
2007-08-24,3554.82,6619.22,10174.04
2007-08-31,4139.59,5917.34,10056.93
2007-09-07,4670.79,5210.74,9881.52
2007-09-14,4159.68,5918.13,10077.8
2007-09-21,3557.06,6763.52,10320.57
2007-09-28,3693.2,6596.11,10289.31
2007-10-05,2545.99,8032.56,10578.55
2007-10-12,2936.58,7577.55,10514.13
2007-10-19,4871.66,5087.27,9958.93
2007-10-26,4271.27,5997.93,10269.21
2007-11-02,5525.62,4280.67,9806.29
2007-11-09,6434.01,2943.98,9377.99
2007-11-16,6456.33,2988.54,9444.87
2007-11-23,7125.91,1917.67,9043.57
2007-11-30,6054.58,3872.91,9927.49
2007-12-07,5927.36,4143.69,10071.05
2007-12-14,7197.33,2147.68,9345.01
2007-12-21,7105.82,2346.46,9452.28
2007-12-28,7402.67,1843.88,9246.55
2008-01-04,8319.99,142.77,8462.76
2008-01-11,7515.55,935.72,8451.27
2008-01-18,7272.27,0.0,7272.27
2008-01-25,5861.78,2526.04,8387.81
2008-02-01,4049.56,5200.23,9249.79
2008-02-08,5971.88,2529.2,8501.08
2008-02-15,6212.91,2178.56,8391.47
2008-02-22,6070.08,2432.75,8502.83
2008-02-29,6980.65,993.99,7974.64
2008-03-07,7026.66,0.0,7026.66
2008-03-14,6372.7,684.58,7057.28
2008-03-21,4370.07,3976.19,8346.25
2008-03-28,5702.7,2123.03,7825.73
2008-04-04,4392.15,4146.86,8539.01
2008-04-11,5540.72,2539.32,8080.05
2008-04-18,4410.56,4213.63,8624.19
2008-04-25,3968.8,4859.51,8828.31
2008-05-02,3291.44,5780.12,9071.56
2008-05-09,4749.24,3897.83,8647.07
2008-05-16,4487.87,4283.97,8771.83
2008-05-23,5802.1,2421.67,8223.77
2008-05-30,5595.94,2746.42,8342.36
2008-06-06,6726.11,1049.52,7775.63
2008-06-13,6540.71,1175.6,7716.31
2008-06-20,7076.67,0.0,7076.67
2008-06-27,6202.57,0.0,6202.57
2008-07-04,5865.86,0.0,5865.86
2008-07-11,5576.06,0.0,5576.06
2008-07-18,70.2,5716.62,5786.82
2008-07-25,2126.11,3640.69,5766.79
2008-08-01,1129.28,4932.04,6061.32
2008-08-08,871.36,5358.74,6230.09
2008-08-15,1526.62,4768.76,6295.38
2008-08-22,2404.94,3852.04,6256.98
2008-08-29,1840.3,4578.94,6419.25
2008-09-05,1212.93,5382.32,6595.25
2008-09-12,1707.86,5006.75,6714.61
2008-09-19,1192.02,6461.64,7653.65
2008-09-26,2377.06,5252.75,7629.81
2008-10-03,5381.5,1866.69,7248.19
2008-10-10,2393.73,2099.29,4493.02
2008-10-17,2366.92,2579.22,4946.14
2008-10-24,4285.07,0.0,4285.07
