date,positions_value,cash,net_liq
2007-02-02,117.97,9882.03,10000.0
2007-02-09,0.0,10000.77,10000.77
2007-02-16,19.32,9981.45,10000.77
2007-02-23,0.0,10002.65,10002.65
2007-03-02,2019.59,7929.18,9948.77
2007-03-09,1380.39,8665.41,10045.79
2007-03-16,1628.25,8433.57,10061.82
2007-03-23,595.49,9557.26,10152.75
2007-03-30,742.14,9413.44,10155.58
2007-04-06,151.4,10026.17,10177.57
2007-04-13,0.0,10189.0,10189.0
2007-04-20,288.57,9905.46,10194.03
2007-04-27,181.38,10025.69,10207.07
2007-05-04,132.62,10098.12,10230.74
2007-05-11,97.7,10159.6,10257.3
2007-05-18,0.0,10260.29,10260.29
2007-05-25,231.09,10041.0,10272.09
2007-06-01,0.0,10281.07,10281.07
2007-06-08,856.41,9431.69,10288.09
2007-06-15,129.17,10210.72,10339.89
2007-06-22,369.81,9973.57,10343.38
2007-06-29,743.16,9601.94,10345.11
2007-07-06,8.97,10363.69,10372.66
2007-07-13,0.0,10393.93,10393.93
2007-07-20,412.34,9985.91,10398.25
2007-07-27,3162.34,6980.07,10142.41
2007-08-03,3477.27,6621.03,10098.31
2007-08-10,3383.12,6781.6,10164.71
2007-08-17,4688.31,5126.41,9814.72
2007-08-24,3118.51,7239.34,10357.84
2007-08-31,3100.65,7326.82,10427.47
2007-09-07,3232.14,7191.49,10423.63
2007-09-14,2650.97,7914.65,10565.62
2007-09-21,1121.75,9693.39,10815.14
2007-09-28,771.1,10075.71,10846.82
2007-10-05,357.14,10529.64,10886.78
2007-10-12,-0.0,10906.22,10906.22
2007-10-19,1023.58,9880.36,10903.94
2007-10-26,0.0,10960.72,10960.72
2007-11-02,948.35,10065.74,11014.09
2007-11-09,1672.57,9336.64,11009.2
2007-11-16,2710.87,8249.39,10960.26
2007-11-23,3435.09,7423.02,10858.1
2007-11-30,1931.76,9299.85,11231.6
2007-12-07,684.58,10683.81,11368.38
2007-12-14,1323.42,10067.16,11390.58
2007-12-21,1631.4,9798.7,11430.1
2007-12-28,1645.12,9791.96,11437.08
2008-01-04,2707.82,8606.16,11313.98
2008-01-11,3249.08,7973.91,11222.99
2008-01-18,5244.87,5501.65,10746.52
2008-01-25,4110.52,7188.6,11299.11
2008-02-01,2752.03,8943.48,11695.51
2008-02-08,3368.0,8253.25,11621.25
2008-02-15,2887.73,8856.42,11744.15
2008-02-22,2146.74,9766.76,11913.5
2008-02-29,2283.96,9662.57,11946.53
2008-03-07,3692.76,8051.67,11744.43
2008-03-14,2954.81,9138.78,12093.6
2008-03-21,4683.79,7088.42,11772.21
2008-03-28,4369.71,7558.34,11928.05
2008-04-04,2541.63,9921.96,12463.59
2008-04-11,2793.2,9629.86,12423.06
2008-04-18,1135.88,11559.82,12695.7
2008-04-25,1549.07,11177.6,12726.67
2008-05-02,2389.16,10276.12,12665.28
2008-05-09,1518.57,11309.99,12828.57
2008-05-16,0.0,12926.42,12926.42
2008-05-23,1469.61,11419.23,12888.84
2008-05-30,867.31,12116.46,12983.77
2008-06-06,612.5,12452.57,13065.07
2008-06-13,263.57,12858.29,13121.86
2008-06-20,687.07,12431.84,13118.91
2008-06-27,1574.04,11536.08,13110.12
2008-07-04,3891.41,8937.61,12829.02
2008-07-11,3312.83,9699.89,13012.72
2008-07-18,4386.7,8330.5,12717.2
2008-07-25,4651.84,8054.67,12706.51
2008-08-01,4730.34,8064.98,12795.32
2008-08-08,5736.08,6710.14,12446.22
2008-08-15,5728.67,6789.11,12517.79
2008-08-22,5082.87,7772.91,12855.77
2008-08-29,5225.06,7592.02,12817.08
2008-09-05,6984.74,4920.17,11904.9
2008-09-12,7020.28,5055.89,12076.18
2008-09-19,6873.65,5628.82,12502.46
2008-09-26,9000.66,1658.33,10658.99
2008-10-03,7238.56,0.0,7238.56
2008-10-10,4985.28,0.0,4985.28
2008-10-17,4107.67,1626.4,5734.07
2008-10-24,5157.04,0.0,5157.04
2008-10-31,0.0,5479.34,5479.34
2008-11-07,3517.66,1939.36,5457.02
2008-11-14,3469.46,1594.13,5063.58
2008-11-21,801.09,2805.0,3606.09
2008-11-28,0.0,3721.73,3721.73
2008-12-05,2701.48,1315.59,4017.07
2008-12-12,761.87,3807.71,4569.58
2008-12-19,1881.04,2745.36,4626.4
2008-12-26,2668.22,1910.98,4579.19
2009-01-02,408.92,4528.87,4937.79
2009-01-09,2177.08,2812.96,4990.04
2009-01-16,3451.13,1404.13,4855.27
2009-01-23,3427.2,1424.29,4851.48
2009-01-30,4551.19,91.2,4642.4
2009-02-06,2085.71,3202.61,5288.32
2009-02-13,3186.59,1966.65,5153.24
2009-02-20,4500.9,120.66,4621.56
2009-02-27,3839.84,222.95,4062.79
2009-03-06,2699.66,1070.04,3769.7
2009-03-13,48.39,4138.87,4187.25
2009-03-20,922.79,3265.23,4188.01
2009-03-27,687.5,3612.29,4299.79
2009-04-03,0.0,4509.86,4509.86
2009-04-10,0.0,4634.67,4634.67
2009-04-17,0.0,4650.11,4650.11
2009-04-24,0.0,4840.39,4840.39
2009-05-01,0.0,4891.94,4891.94
2009-05-08,0.0,4952.05,4952.05
2009-05-15,2084.03,2885.96,4969.98
2009-05-22,792.28,4402.93,5195.21
2009-05-29,0.0,5252.86,5252.86
2009-06-05,845.38,4468.82,5314.2
2009-06-12,738.81,4646.14,5384.95
2009-06-19,2955.22,2233.78,5189.0
2009-06-26,3313.43,1992.46,5305.89
2009-07-03,4074.63,1048.53,5123.16
2009-07-10,4497.34,259.41,4756.75
2009-07-17,1614.81,3920.31,5535.12
2009-07-24,0.0,5669.0,5669.0
2009-07-31,0.0,5726.06,5726.06
2009-08-07,-0.0,5728.13,5728.13
2009-08-14,697.83,5056.8,5754.62
2009-08-21,404.35,5475.87,5880.21
2009-08-28,586.96,5294.49,5881.44
2009-09-04,763.04,5176.28,5939.32
2009-09-11,0.0,5971.1,5971.1
2009-09-18,352.71,5617.02,5969.73
2009-09-25,1967.03,3936.06,5903.09
2009-10-02,2934.07,2884.53,5818.6
2009-10-09,615.39,5547.66,6163.04
2009-10-16,438.29,5748.83,6187.12
2009-10-23,887.73,5314.55,6202.27
2009-10-30,3088.43,2982.47,6070.9
2009-11-06,1530.93,4836.56,6367.49
2009-11-13,340.21,6148.73,6488.93
2009-11-20,831.81,5664.91,6496.71
2009-11-27,957.84,5561.82,6519.66
2009-12-04,1121.11,5423.32,6544.44
2009-12-11,1111.06,5453.3,6564.36
2009-12-18,1196.53,5396.26,6592.79
2009-12-25,0.0,6656.63,6656.63
2010-01-01,554.12,6099.45,6653.57
2010-01-08,-0.0,6695.99,6695.99
2010-01-15,1039.05,5646.82,6685.88
2010-01-22,3139.46,3354.23,6493.69
2010-01-29,4490.68,1637.78,6128.45
2010-02-05,4290.0,2053.2,6343.2
2010-02-12,3531.89,3105.87,6637.77
2010-02-19,2256.49,4684.13,6940.62
2010-02-26,2773.78,4096.87,6870.66
2010-03-05,958.78,6182.77,7141.56
2010-03-12,762.57,6393.4,7155.97
2010-03-19,1092.57,6068.54,7161.11
2010-03-26,820.54,6386.48,7207.02
2010-04-02,0.0,7245.96,7245.96
2010-04-09,8.55,7238.39,7246.95
2010-04-16,777.62,6468.92,7246.55
2010-04-23,80.74,7197.34,7278.08
2010-04-30,1138.81,6152.48,7291.29
2010-05-07,3887.1,2998.87,6885.96
2010-05-14,3139.67,4099.15,7238.82
2010-05-21,4698.23,2172.77,6871.0
2010-05-28,3980.53,3260.18,7240.71
2010-06-04,5479.64,1320.92,6800.55
2010-06-11,4201.36,3221.18,7422.54
2010-06-18,3717.23,3887.15,7604.38
2010-06-25,4417.94,3009.94,7427.88
2010-07-02,6303.51,286.1,6589.61
2010-07-09,4473.15,3097.06,7570.22
2010-07-16,5364.97,1887.16,7252.13
2010-07-23,3462.42,4566.47,8028.89
2010-07-30,3500.64,4526.38,8027.02
2010-08-06,2850.89,5370.08,8220.97
2010-08-13,3972.03,4004.14,7976.17
2010-08-20,3857.37,4191.12,8048.49
2010-08-27,4023.0,4032.82,8055.82
2010-09-03,2698.0,5753.39,8451.4
2010-09-10,2723.48,5729.98,8453.47
2010-09-17,2048.25,6531.99,8580.23
2010-09-24,1275.34,7415.72,8691.06
2010-10-01,1016.28,7704.72,8721.0
2010-10-08,0.0,8805.23,8805.23
2010-10-15,286.24,8519.21,8805.45
2010-10-22,613.38,8218.9,8832.28
2010-10-29,192.19,8665.52,8857.71
2010-11-05,0.0,8867.94,8867.94
2010-11-12,832.43,8056.69,8889.12
2010-11-19,702.37,8237.02,8939.38
2010-11-26,1044.26,7905.47,8949.72
2010-12-03,0.0,9011.56,9011.56
2010-12-10,0.0,9017.98,9017.98
2010-12-17,0.0,9021.83,9021.83
2010-12-24,0.0,9022.06,9022.06
2010-12-31,0.0,9022.28,9022.28
2011-01-07,460.38,8559.31,9019.69
2011-01-14,362.4,8666.91,9029.3
2011-01-21,1626.05,7353.42,8979.47
