date,positions_value,cash,net_liq
2008-12-12,0.0,10003.56,10003.56
2008-12-19,640.57,9367.66,10008.23
2008-12-26,1233.1,8746.23,9979.32
2009-01-02,1734.88,8206.62,9941.5
2009-01-09,1115.66,8909.51,10025.16
2009-01-16,1318.5,8701.46,10019.96
2009-01-23,699.29,9368.76,10068.05
2009-01-30,1062.28,8992.87,10055.15
2009-02-06,1809.61,8189.26,9998.87
2009-02-13,1766.89,8251.4,10018.29
2009-02-20,2172.73,7803.36,9976.09
2009-02-27,3454.34,6290.0,9744.33
2009-03-06,3630.56,6075.76,9706.32
2009-03-13,3635.9,6081.12,9717.02
2009-03-20,3080.53,6820.86,9901.39
2009-03-27,3555.8,6244.71,9800.51
2009-04-03,4196.6,5426.02,9622.62
2009-04-10,4244.66,5368.32,9612.98
2009-04-17,3983.0,5723.39,9706.39
2009-04-24,3427.64,6454.69,9882.32
2009-05-01,3999.02,5729.44,9728.46
2009-05-08,3774.74,6027.2,9801.94
2009-05-15,2904.31,7132.59,10036.91
2009-05-22,2797.51,7275.18,10072.69
2009-05-29,2963.05,7095.92,10058.97
2009-06-05,3902.9,5935.87,9838.77
2009-06-12,3790.76,6091.62,9882.38
2009-06-19,3214.04,6836.11,10050.14
2009-06-26,2984.41,7123.83,10108.24
2009-07-03,3176.65,6892.36,10069.02
2009-07-10,2188.75,8092.05,10280.8
2009-07-17,2744.11,7445.53,10189.64
2009-07-24,2882.95,7285.05,10168.0
2009-07-31,2861.59,7316.73,10178.32
2009-08-07,3646.58,6355.67,10002.25
2009-08-14,2947.03,7238.11,10185.14
2009-08-21,2770.81,7456.14,10226.96
2009-08-28,2562.55,7706.45,10269.0
2009-09-04,2397.01,7905.85,10302.87
2009-09-11,1676.11,8735.18,10411.29
2009-09-18,1905.73,8478.32,10384.05
2009-09-25,1457.17,8987.89,10445.06
2009-10-02,1361.05,9095.57,10456.61
2009-10-09,1371.73,9094.81,10466.54
2009-10-16,1734.85,8699.27,10434.12
2009-10-23,2140.69,8242.91,10383.6
2009-10-30,1542.61,8929.98,10472.58
2009-11-06,1526.59,8949.25,10475.84
2009-11-13,1414.45,9075.79,10490.24
2009-11-20,1200.85,9309.68,10510.53
2009-11-27,394.51,10165.24,10559.74
2009-12-04,1708.15,8793.86,10502.01
2009-12-11,1190.17,9375.72,10565.88
2009-12-18,1681.45,8842.61,10524.05
2009-12-25,2060.59,8418.97,10479.56
