date,positions_value,cash,net_liq
2025-09-12,0.0,10034.42,10034.42
2025-09-19,0.0,10086.72,10086.72
2025-09-26,935.47,9154.81,10090.28
2025-10-03,2393.33,7741.32,10134.65
2025-10-10,2140.02,8182.73,10322.75
2025-10-17,1785.85,8595.26,10381.11
2025-10-24,763.31,9793.87,10557.18
2025-10-31,0.0,10635.25,10635.25
2025-11-07,4531.7,5777.64,10309.33
2025-11-14,5258.12,5179.03,10437.15
2025-11-21,7666.42,1363.83,9030.25
2025-11-28,6170.28,4030.34,10200.62
2025-12-05,4442.76,6645.71,11088.48
2025-12-12,4261.75,6942.49,11204.23
2025-12-19,3039.89,8763.52,11803.41
2025-12-26,3800.94,7830.2,11631.14
2026-01-02,6515.79,4015.34,10531.12
2026-01-09,5426.54,5825.11,11251.66
2026-01-16,6262.76,4577.49,10840.25
2026-01-23,6469.35,4276.99,10746.34
2026-01-30,8571.34,0.0,8571.34
2026-02-06,6165.01,1501.04,7666.05
2026-02-13,6851.12,503.91,7355.03
2026-02-20,6296.52,1440.07,7736.59
2026-02-27,5866.37,2094.09,7960.46
2026-03-06,2647.14,6646.57,9293.72
