Ticker,Sector,Trades,P&L,Return %,Wins,Win Rate %
VDE,Energy,26,308.3407397520084,3.083407397520084,10,76.92307692307693
VCR,Consumer Discretionary,25,231.99031230512995,2.3199031230512994,11,84.61538461538461
VDC,Consumer Staples,26,226.8735591890848,2.268735591890848,11,84.61538461538461
VNQ,Real Estate,24,203.9775372738109,2.039775372738109,9,75.0
VGT,Information Technology,21,185.8248255033541,1.858248255033541,8,72.72727272727273
VHT,Health Care,25,174.86233173770003,1.7486233173770003,9,69.23076923076923
VIS,Industrials,20,56.09327931061396,0.5609327931061396,8,80.0
VPU,Utilities,22,35.08111257610227,0.3508111257610227,9,81.81818181818183
VOX,Communication Services,17,32.57682204934612,0.32576822049346116,7,77.77777777777779
VAW,Materials,16,18.999414101597075,0.18999414101597076,4,50.0
VFH,Financials,19,-0.771766200839366,-0.00771766200839366,6,60.0
