date,positions_value,cash,net_liq
2025-06-13,421.49,9578.51,10000.0
2025-06-20,281.43,9730.21,10011.65
2025-06-27,-0.0,10016.78,10016.78
2025-07-04,0.0,10030.02,10030.02
2025-07-11,0.0,10038.79,10038.79
2025-07-18,0.0,10039.85,10039.85
2025-07-25,0.0,10043.69,10043.69
2025-08-01,929.15,9117.66,10046.81
2025-08-08,0.0,10099.04,10099.04
2025-08-15,207.81,9895.8,10103.61
2025-08-22,690.9,9431.86,10122.76
2025-08-29,769.42,9362.5,10131.92
2025-09-05,43.52,10123.84,10167.35
2025-09-12,0.0,10167.91,10167.91
2025-09-19,0.0,10175.35,10175.35
2025-09-26,645.88,9523.85,10169.74
2025-10-03,403.34,9776.42,10179.76
2025-10-10,1191.93,8997.03,10188.96
2025-10-17,578.32,9674.9,10253.22
2025-10-24,0.0,10282.54,10282.54
2025-10-31,494.57,9790.94,10285.51
2025-11-07,1586.01,8647.59,10233.6
2025-11-14,1631.08,8636.39,10267.47
2025-11-21,2400.41,7782.49,10182.9
2025-11-28,870.87,9527.92,10398.79
2025-12-05,983.82,9413.77,10397.59
2025-12-12,1969.91,8357.05,10326.96
2025-12-19,2028.91,8319.93,10348.85
2025-12-26,1494.31,8923.57,10417.89
2026-01-02,2102.54,8245.17,10347.71
2026-01-09,1864.07,8520.12,10384.18
2026-01-16,2203.38,8140.89,10344.27
2026-01-23,2440.88,7913.99,10354.87
2026-01-30,2382.08,8000.4,10382.48
2026-02-06,3216.99,7034.45,10251.43
2026-02-13,4164.69,5843.71,10008.39
2026-02-20,3553.08,6652.46,10205.54
2026-02-27,4194.59,5854.48,10049.08
2026-03-06,4253.65,5791.48,10045.13
