date,positions_value,cash,net_liq
2007-02-02,0.0,10000.0,10000.0
2007-02-09,499.72,9501.71,10001.44
2007-02-16,216.23,9800.43,10016.66
2007-02-23,0.0,10020.75,10020.75
2007-03-02,1635.15,8363.15,9998.3
2007-03-09,1731.07,8272.83,10003.9
2007-03-16,1662.56,8366.42,10028.98
2007-03-23,867.82,9242.56,10110.38
2007-03-30,1139.59,8954.87,10094.46
2007-04-06,1004.84,9099.61,10104.46
2007-04-13,682.84,9440.84,10123.68
2007-04-20,205.54,9935.17,10140.7
2007-04-27,0.0,10143.62,10143.62
2007-05-04,0.0,10147.55,10147.55
2007-05-11,0.0,10158.63,10158.63
2007-05-18,98.57,10068.35,10166.92
2007-05-25,675.07,9502.85,10177.92
2007-06-01,2.14,10194.83,10196.97
2007-06-08,437.73,9771.56,10209.29
2007-06-15,0.0,10223.55,10223.55
2007-06-22,322.92,9901.71,10224.63
2007-06-29,403.14,9833.21,10236.36
2007-07-06,16.08,10229.45,10245.54
2007-07-13,0.0,10254.01,10254.01
2007-07-20,370.24,9892.33,10262.57
2007-07-27,1727.79,8470.1,10197.89
2007-08-03,2286.88,7871.6,10158.48
2007-08-10,2114.85,8089.13,10203.99
2007-08-17,2773.06,7351.83,10124.88
2007-08-24,1912.9,8368.14,10281.04
2007-08-31,1391.2,8999.62,10390.82
2007-09-07,1767.05,8606.48,10373.54
2007-09-14,1691.32,8694.97,10386.29
2007-09-21,828.8,9642.91,10471.71
2007-09-28,422.8,10069.01,10491.81
2007-10-05,0.0,10511.94,10511.94
2007-10-12,170.97,10347.37,10518.34
2007-10-19,842.81,9684.2,10527.0
2007-10-26,0.0,10580.48,10580.48
2007-11-02,277.51,10308.07,10585.58
2007-11-09,2939.24,7458.87,10398.11
2007-11-16,2685.42,7827.19,10512.61
2007-11-23,3157.52,7268.46,10425.98
2007-11-30,2731.1,7838.18,10569.29
2007-12-07,1984.88,8743.99,10728.86
2007-12-14,2428.21,8259.78,10688.0
2007-12-21,2270.84,8470.66,10741.5
2007-12-28,2555.12,8148.54,10703.66
2008-01-04,4597.53,5614.49,10212.02
2008-01-11,5336.99,4618.93,9955.92
2008-01-18,6177.98,3381.48,9559.46
2008-01-25,6528.25,2886.05,9414.3
2008-02-01,5958.01,3926.0,9884.0
2008-02-08,7080.2,2118.68,9198.87
2008-02-15,6927.86,2418.13,9345.99
2008-02-22,6936.32,2418.38,9354.7
2008-02-29,7049.73,2253.75,9303.47
2008-03-07,7349.34,1736.99,9086.33
2008-03-14,7301.94,1878.25,9180.19
2008-03-21,6993.87,2502.28,9496.15
2008-03-28,7212.23,2166.87,9379.1
2008-04-04,6443.75,3508.8,9952.55
2008-04-11,7007.41,2594.5,9601.92
2008-04-18,5817.45,4619.98,10437.43
2008-04-25,5666.81,4875.72,10542.52
2008-05-02,5109.91,5737.7,10847.61
2008-05-09,5280.87,5504.96,10785.83
2008-05-16,4329.58,6868.49,11198.07
2008-05-23,5265.64,5572.23,10837.86
2008-05-30,4480.23,6700.64,11180.87
2008-06-06,4976.19,6052.47,11028.66
2008-06-13,5089.6,5921.47,11011.06
2008-06-20,5654.96,5113.84,10768.79
2008-06-27,6491.14,3844.4,10335.54
2008-07-04,7018.0,2966.42,9984.43
2008-07-11,7255.05,2580.54,9835.59
2008-07-18,7012.63,3037.18,10049.81
2008-07-25,7046.47,3006.48,10052.95
2008-08-01,7142.92,2861.52,10004.44
2008-08-08,6032.78,4749.82,10782.6
2008-08-15,5685.9,5294.57,10980.47
2008-08-22,6032.89,4775.04,10807.92
2008-08-29,6621.92,3845.62,10467.54
2008-09-05,7926.92,1561.42,9488.33
2008-09-12,7850.75,1727.87,9578.62
2008-09-19,7062.58,2403.68,9466.26
2008-09-26,7470.68,1751.28,9221.97
2008-10-03,7525.67,0.0,7525.67
2008-10-10,5411.26,0.0,5411.26
2008-10-17,4897.89,1496.78,6394.67
2008-10-24,5511.24,0.0,5511.24
2008-10-31,2164.25,4378.99,6543.24
2008-11-07,3911.03,2497.97,6409.0
2008-11-14,5629.44,144.8,5774.25
2008-11-21,3474.9,1547.81,5022.71
2008-11-28,1167.77,4394.49,5562.26
2008-12-05,1854.07,3956.14,5810.2
2008-12-12,722.39,5285.85,6008.24
2008-12-19,855.17,5247.63,6102.8
2008-12-26,1746.29,4303.39,6049.68
2009-01-02,0.0,6226.26,6226.26
2009-01-09,1642.01,4560.66,6202.67
2009-01-16,2672.44,3423.11,6095.55
2009-01-23,2871.88,3382.69,6254.57
2009-01-30,3051.36,3257.4,6308.76
2009-02-06,565.06,6119.44,6684.5
2009-02-13,1528.15,5147.73,6675.88
2009-02-20,3669.83,2704.61,6374.44
2009-02-27,4281.74,1999.48,6281.22
2009-03-06,5498.92,358.83,5857.75
2009-03-13,2797.92,3950.57,6748.49
2009-03-20,2195.57,4731.17,6926.74
2009-03-27,817.84,6439.81,7257.65
2009-04-03,0.0,7350.4,7350.4
2009-04-10,0.0,7419.81,7419.81
2009-04-17,0.0,7452.2,7452.2
2009-04-24,0.0,7500.65,7500.65
2009-05-01,0.0,7514.75,7514.75
2009-05-08,1315.29,6184.22,7499.51
2009-05-15,1757.46,5719.95,7477.41
2009-05-22,1505.59,6033.75,7539.34
2009-05-29,0.0,7656.3,7656.3
2009-06-05,0.0,7665.18,7665.18
2009-06-12,0.0,7668.43,7668.43
2009-06-19,394.54,7288.68,7683.23
2009-06-26,318.66,7414.2,7732.86
2009-07-03,773.9,6960.25,7734.16
2009-07-10,1416.31,6295.79,7712.09
2009-07-17,0.0,7833.63,7833.63
2009-07-24,206.04,7627.6,7833.63
2009-07-31,201.74,7633.15,7834.89
2009-08-07,271.12,7573.34,7844.46
2009-08-14,357.88,7506.18,7864.06
2009-08-21,0.0,7907.45,7907.45
2009-08-28,0.0,7907.45,7907.45
2009-09-04,207.64,7726.19,7933.83
2009-09-11,42.9,7894.53,7937.43
2009-09-18,15.17,7922.93,7938.1
2009-09-25,515.79,7417.13,7932.92
2009-10-02,1218.41,6713.82,7932.23
2009-10-09,0.0,7998.18,7998.18
2009-10-16,367.37,7629.85,7997.22
2009-10-23,96.25,7909.71,8005.96
2009-10-30,1386.59,6608.47,7995.06
2009-11-06,413.48,7655.63,8069.11
2009-11-13,0.0,8090.56,8090.56
2009-11-20,946.26,7128.42,8074.68
2009-11-27,1085.22,6995.8,8081.02
2009-12-04,311.38,7813.39,8124.77
2009-12-11,400.68,7727.99,8128.67
2009-12-18,0.0,8151.03,8151.03
2009-12-25,0.0,8151.03,8151.03
2010-01-01,336.42,7815.2,8151.62
2010-01-08,175.21,7991.27,8166.48
2010-01-15,601.15,7570.65,8171.8
2010-01-22,2114.61,5988.01,8102.62
2010-01-29,3238.37,4694.62,7933.0
2010-02-05,3014.83,5010.41,8025.24
2010-02-12,2489.2,5651.7,8140.89
2010-02-19,1746.06,6515.04,8261.11
2010-02-26,1948.46,6297.86,8246.32
2010-03-05,1079.32,7266.71,8346.03
2010-03-12,526.75,7850.63,8377.39
2010-03-19,484.48,7899.64,8384.12
2010-03-26,191.97,8204.46,8396.43
2010-04-02,218.84,8178.34,8397.18
2010-04-09,0.0,8403.06,8403.06
2010-04-16,438.64,7964.41,8403.06
2010-04-23,0.0,8411.1,8411.1
2010-04-30,1031.25,7376.57,8407.82
2010-05-07,3362.53,4773.71,8136.24
2010-05-14,2366.93,6089.74,8456.67
2010-05-21,3727.31,4472.78,8200.08
2010-05-28,3442.07,4888.9,8330.96
2010-06-04,3680.68,4648.5,8329.18
2010-06-11,3527.09,4887.87,8414.96
2010-06-18,2608.29,6044.59,8652.88
2010-06-25,3768.45,4624.53,8392.98
2010-07-02,5282.8,2595.42,7878.23
2010-07-09,3991.36,4438.2,8429.56
2010-07-16,3920.07,4571.17,8491.25
2010-07-23,3007.01,5767.67,8774.68
2010-07-30,3429.27,5251.39,8680.65
2010-08-06,3028.95,5765.93,8794.88
2010-08-13,4575.39,3797.59,8372.98
