date,positions_value,cash,net_liq
2025-09-12,0.0,10000.0,10000.0
2025-09-19,25.67,9999.62,10025.29
2025-09-26,275.41,9900.62,10176.03
2025-10-03,2157.35,7969.51,10126.86
2025-10-10,3328.66,6822.99,10151.65
2025-10-17,1763.32,8800.65,10563.97
2025-10-24,2183.93,8395.78,10579.7
2025-10-31,734.91,10171.73,10906.64
2025-11-07,2733.32,8171.74,10905.06
2025-11-14,4428.74,6222.52,10651.26
2025-11-21,5258.75,5081.25,10340.0
2025-11-28,2991.25,8272.5,11263.75
2025-12-05,1420.56,10147.1,11567.66
2025-12-12,1298.9,10358.12,11657.02
2025-12-19,668.22,11198.46,11866.68
2025-12-26,1843.12,9975.42,11818.54
2026-01-02,4090.12,7297.11,11387.23
2026-01-09,3789.79,7798.95,11588.73
2026-01-16,4236.25,7222.73,11458.97
2026-01-23,3701.3,8068.3,11769.6
2026-01-30,4771.19,6744.32,11515.51
2026-02-06,5885.51,5214.97,11100.48
2026-02-13,5599.13,5698.62,11297.75
2026-02-20,5923.7,5209.13,11132.83
2026-02-27,6450.93,4450.0,10900.94
2026-03-06,6759.48,4004.97,10764.45
