date,positions_value,cash,net_liq
2010-05-07,0.0,10000.0,10000.0
2010-05-14,1613.82,8367.77,9981.59
2010-05-21,3669.86,6080.82,9750.68
2010-05-28,2779.67,7347.26,10126.94
2010-06-04,3503.31,6523.58,10026.88
2010-06-11,1935.43,8499.43,10434.86
2010-06-18,1223.29,9309.34,10532.63
2010-06-25,1257.74,9308.73,10566.47
2010-07-02,2607.38,7897.45,10504.83
2010-07-09,924.64,9838.67,10763.31
2010-07-16,2549.95,8080.13,10630.08
2010-07-23,155.07,10774.55,10929.62
2010-07-30,0.0,10934.12,10934.12
2010-08-06,533.13,10395.85,10928.97
2010-08-13,1561.68,9333.8,10895.49
2010-08-20,1233.19,9713.57,10946.76
2010-08-27,2606.4,8178.3,10784.69
2010-09-03,786.23,10269.83,11056.05
2010-09-10,667.75,10401.4,11069.15
2010-09-17,448.83,10651.74,11100.57
2010-09-24,67.37,11043.04,11110.41
2010-10-01,0.0,11111.34,11111.34
2010-10-08,148.41,10991.99,11140.4
2010-10-15,211.98,10933.68,11145.66
2010-10-22,2039.57,9039.85,11079.42
2010-10-29,1658.46,9488.42,11146.87
2010-11-05,116.23,11156.4,11272.63
2010-11-12,1881.16,9303.64,11184.81
2010-11-19,1790.76,9455.66,11246.42
2010-11-26,2651.71,8518.63,11170.34
2010-12-03,1472.21,9891.97,11364.19
2010-12-10,2470.91,8776.4,11247.31
2010-12-17,2397.73,8886.87,11284.6
2010-12-24,1954.34,9412.88,11367.23
2010-12-31,761.94,10745.2,11507.13
2011-01-07,1269.89,10218.18,11488.07
2011-01-14,774.85,10780.6,11555.45
2011-01-21,1743.41,9748.54,11491.95
2011-01-28,2707.67,8661.04,11368.7
2011-02-04,2927.21,8428.72,11355.93
2011-02-11,2983.17,8417.08,11400.25
2011-02-18,1940.29,9656.02,11596.31
2011-02-25,2302.03,9272.94,11574.97
2011-03-04,1720.67,9959.54,11680.21
2011-03-11,2590.55,8984.66,11575.21
2011-03-18,2646.53,8950.83,11597.36
2011-03-25,1724.98,10024.26,11749.24
2011-04-01,226.37,11659.54,11885.91
2011-04-08,88.57,11806.26,11894.83
2011-04-15,1242.67,10628.63,11871.3
2011-04-22,639.78,11292.56,11932.35
2011-04-29,992.9,10937.62,11930.52
2011-05-06,2362.32,9464.48,11826.8
2011-05-13,3288.18,8381.66,11669.84
2011-05-20,3193.44,8511.66,11705.1
2011-05-27,2267.58,9657.78,11925.36
2011-06-03,2129.77,9844.57,11974.34
2011-06-10,3128.84,8691.18,11820.02
2011-06-17,3598.23,8119.09,11717.32
2011-06-24,3731.73,7954.77,11686.5
2011-07-01,2035.03,10043.82,12078.85
2011-07-08,2784.34,9179.08,11963.42
2011-07-15,3779.1,7982.3,11761.4
2011-07-22,3158.99,8784.82,11943.81
2011-07-29,3443.2,8449.49,11892.7
2011-08-05,6220.79,4695.31,10916.1
2011-08-12,6815.06,4237.42,11052.48
2011-08-19,7219.86,3639.6,10859.46
2011-08-26,6901.89,4212.62,11114.5
2011-09-02,6083.01,5647.99,11730.99
2011-09-09,7052.73,4127.91,11180.64
2011-09-16,7104.45,4050.4,11154.85
2011-09-23,8420.07,825.52,9245.58
2011-09-30,8765.13,0.0,8765.13
2011-10-07,7368.64,2028.05,9396.69
2011-10-14,5697.08,4888.51,10585.59
2011-10-21,6194.76,4231.96,10426.72
2011-10-28,3636.04,8086.95,11722.99
2011-11-04,4636.81,6837.11,11473.91
2011-11-11,4772.05,6770.58,11542.62
2011-11-18,5816.09,5271.54,11087.64
2011-11-25,7487.65,2538.31,10025.96
2011-12-02,5529.39,5938.86,11468.25
2011-12-09,5437.42,6154.95,11592.38
2011-12-16,6643.76,4305.03,10948.79
2011-12-23,6113.62,5248.77,11362.39
2011-12-30,6405.74,4805.88,11211.61
2012-01-06,6048.71,5441.12,11489.83
2012-01-13,5010.07,7043.68,12053.75
2012-01-20,3598.17,9001.7,12599.87
2012-01-27,3208.68,9514.0,12722.68
2012-02-03,2321.51,10610.87,12932.39
2012-02-10,2732.64,10146.23,12878.86
2012-02-17,2159.22,10855.1,13014.33
2012-02-24,1996.94,11042.85,13039.78
2012-03-02,1515.48,11612.6,13128.09
2012-03-09,2851.65,10142.38,12994.03
2012-03-16,2748.87,10303.43,13052.3
2012-03-23,3391.47,9528.68,12920.15
2012-03-30,3840.69,8978.04,12818.73
2012-04-06,4300.73,8386.39,12687.12
2012-04-13,4733.71,7832.14,12565.86
2012-04-20,4944.79,7538.88,12483.68
2012-04-27,5377.77,6921.85,12299.62
2012-05-04,6151.73,5753.53,11905.26
2012-05-11,6963.57,4437.18,11400.75
2012-05-18,8543.96,1544.17,10088.13
2012-05-25,8387.0,1949.03,10336.03
2012-06-01,8852.45,1019.92,9872.37
2012-06-08,8446.53,1902.33,10348.86
2012-06-15,8322.05,2188.9,10510.95
2012-06-22,8571.02,1763.81,10334.83
2012-06-29,8294.99,2461.66,10756.65
2012-07-06,8219.22,2649.66,10868.88
2012-07-13,8419.47,2266.07,10685.54
2012-07-20,8343.7,2445.19,10788.89
2012-07-27,7791.65,3620.47,11412.12
2012-08-03,7829.53,3601.88,11431.41
2012-08-10,7157.46,4857.73,12015.19
2012-08-17,7200.71,4798.44,11999.15
2012-08-24,7606.2,4073.98,11680.19
2012-08-31,8092.79,3162.38,11255.17
2012-09-07,7281.81,4749.07,12030.88
2012-09-14,6692.33,5830.78,12523.11
2012-09-21,7124.38,5093.94,12218.32
2012-09-28,7729.26,4016.43,11745.69
2012-10-05,7668.51,4138.61,11807.11
2012-10-12,7750.87,3995.73,11746.6
2012-10-19,7632.05,4230.55,11862.6
2012-10-26,7808.92,3926.98,11735.9
2012-11-02,7748.17,4057.73,11805.9
2012-11-09,8176.17,3255.07,11431.24
2012-11-16,8722.99,2146.66,10869.65
2012-11-23,8388.44,2867.37,11255.81
2012-11-30,8563.92,2519.3,11083.22
2012-12-07,8112.24,3447.24,11559.48
2012-12-14,7796.74,4063.45,11860.19
2012-12-21,7397.62,4820.97,12218.6
2012-12-28,7254.75,5081.27,12336.02
2013-01-04,6605.06,6216.35,12821.4
2013-01-11,6882.73,5759.31,12642.03
2013-01-18,6933.95,5690.16,12624.11
2013-01-25,6782.98,5951.5,12734.48
2013-02-01,6660.32,6169.8,12830.12
2013-02-08,7076.82,5470.06,12546.89
2013-02-15,7052.56,5515.83,12568.39
2013-02-22,7469.06,4799.57,12268.63
2013-03-01,7354.49,5012.36,12366.85
2013-03-08,6640.1,6287.37,12927.47
2013-03-15,7163.09,5393.45,12556.54
2013-03-22,7876.13,4101.27,11977.4
2013-03-29,7578.37,4668.39,12246.76
2013-04-05,7688.96,4485.95,12174.91
2013-04-12,7560.83,4764.17,12325.0
2013-04-19,8072.06,3841.9,11913.96
2013-04-26,7892.74,4207.83,12100.57
2013-05-03,7486.91,4976.12,12463.03
2013-05-10,7593.43,4803.58,12397.01
2013-05-17,7699.94,4605.47,12305.41
2013-05-24,7635.22,4735.44,12370.66
2013-05-31,8796.07,2519.92,11315.99
2013-06-07,9219.42,1611.0,10830.42
2013-06-14,9758.72,391.29,10150.02
2013-06-21,8195.18,481.08,8676.26
2013-06-28,7758.06,1193.08,8951.15
2013-07-05,7942.34,0.0,7942.34
2013-07-12,7465.93,943.34,8409.27
2013-07-19,6962.93,1898.92,8861.85
2013-07-26,6521.98,2685.39,9207.37
2013-08-02,6845.49,2153.53,8999.02
2013-08-09,6683.73,2479.76,9163.49
2013-08-16,7286.45,1453.68,8740.12
2013-08-23,6907.54,2239.74,9147.27
2013-08-30,7647.63,937.21,8584.85
2013-09-06,6344.71,3251.92,9596.62
2013-09-13,5702.11,4321.93,10024.04
2013-09-20,4902.29,5579.69,10481.98
2013-09-27,5099.65,5320.21,10419.86
2013-10-04,5037.56,5419.47,10457.03
2013-10-11,4303.55,6454.91,10758.46
2013-10-18,3860.05,7057.42,10917.47
2013-10-25,4161.63,6684.51,10846.14
2013-11-01,4425.52,6346.61,10772.13
2013-11-08,5478.85,4893.18,10372.03
2013-11-15,4907.43,5755.9,10663.34
2013-11-22,5131.48,5458.26,10589.74
2013-11-29,5648.33,4703.1,10351.43
2013-12-06,6402.53,3595.45,9997.99
2013-12-13,6815.13,2942.12,9757.24
2013-12-20,7048.79,2566.46,9615.25
2013-12-27,6556.15,3422.51,9978.66
2014-01-03,7068.77,2586.07,9654.84
2014-01-10,7328.4,2175.02,9503.42
2014-01-17,7386.1,2087.69,9473.79
2014-01-24,8437.96,121.06,8559.02
2014-01-31,8109.17,77.74,8186.91
2014-02-07,6510.95,2185.29,8696.24
2014-02-14,6559.2,2134.84,8694.04
2014-02-21,6572.6,2167.96,8740.56
2014-02-28,6492.19,2357.21,8849.4
2014-03-07,6232.22,2841.28,9073.49
2014-03-14,7379.33,962.18,8341.52
2014-03-21,6246.2,2943.31,9189.51
2014-03-28,4620.69,5457.72,10078.41
2014-04-04,3819.99,6578.75,10398.75
2014-04-11,3292.44,7276.19,10568.63
2014-04-18,3431.69,7132.33,10564.02
2014-04-25,3340.64,7252.0,10592.64
2014-05-02,2764.89,8013.74,10778.63
2014-05-09,2617.6,8197.98,10815.58
2014-05-16,2194.49,8705.77,10900.26
2014-05-23,2856.88,7936.52,10793.4
2014-05-30,3301.73,7416.39,10718.12
2014-06-06,3047.15,7802.91,10850.06
2014-06-13,2103.84,8949.41,11053.25
2014-06-20,2181.56,8893.82,11075.38
2014-06-27,2294.11,8765.53,11059.64
2014-07-04,2564.78,8458.95,11023.73
2014-07-11,2090.44,9023.27,11113.71
2014-07-18,1147.13,10097.55,11244.68
2014-07-25,629.92,10673.65,11303.57
2014-08-01,2149.4,9042.66,11192.06
2014-08-08,2642.49,8477.6,11120.09
2014-08-15,1961.81,9298.61,11260.42
2014-08-22,1224.85,10147.7,11372.55
2014-08-29,0.0,11473.27,11473.27
2014-09-05,498.32,10971.13,11469.45
2014-09-12,3528.52,7625.58,11154.11
2014-09-19,3727.35,7426.35,11153.7
2014-09-26,4376.68,6644.62,11021.3
2014-10-03,6148.49,4236.3,10384.79
2014-10-10,5393.46,5598.79,10992.24
2014-10-17,5687.92,5405.06,11092.98
2014-10-24,7130.03,3212.67,10342.7
2014-10-31,6470.64,4499.35,10969.98
2014-11-07,7462.25,2861.68,10323.93
2014-11-14,8184.56,1509.0,9693.56
2014-11-21,6128.36,5371.4,11499.75
2014-11-28,7172.82,3698.99,10871.81
2014-12-05,8280.2,1698.52,9978.72
2014-12-12,8306.13,0.0,8306.13
2014-12-19,5978.97,2643.18,8622.14
2014-12-26,5859.49,2832.23,8691.72
2015-01-02,6490.46,1865.79,8356.25
2015-01-09,6049.9,2660.0,8709.9
2015-01-16,5840.83,3038.16,8878.99
2015-01-23,5702.69,3348.09,9050.78
2015-01-30,7214.76,968.79,8183.55
2015-02-06,7147.56,1160.3,8307.85
2015-02-13,6912.34,1631.71,8544.06
2015-02-20,6923.54,1619.42,8542.97
2015-02-27,6684.6,2067.65,8752.25
2015-03-06,7261.49,0.0,7261.49
2015-03-13,6159.35,0.0,6159.35
2015-03-20,4736.0,2280.92,7016.93
2015-03-27,5662.03,986.42,6648.46
2015-04-03,3484.15,4086.02,7570.17
2015-04-10,2466.66,5357.85,7824.51
2015-04-17,2363.77,5527.68,7891.45
2015-04-24,260.2,7876.03,8136.22
2015-05-01,1014.74,7104.42,8119.16
2015-05-08,277.35,7892.52,8169.87
2015-05-15,259.64,7943.35,8202.99
2015-05-22,2724.29,5291.47,8015.76
2015-05-29,4354.04,3281.77,7635.81
2015-06-05,4045.25,3745.62,7790.87
2015-06-12,3552.12,4397.83,7949.96
2015-06-19,3277.49,4835.16,8112.64
2015-06-26,3306.1,4818.09,8124.19
2015-07-03,3454.86,4661.74,8116.59
2015-07-10,4192.94,3785.64,7978.58
2015-07-17,4564.84,3306.7,7871.53
2015-07-24,6791.17,0.0,6791.17
2015-07-31,6121.13,740.36,6861.49
2015-08-07,6075.21,0.0,6075.21
2015-08-14,5725.9,104.28,5830.19
2015-08-21,5401.68,0.0,5401.68
2015-08-28,3289.95,2149.17,5439.12
2015-09-04,4750.53,0.0,4750.53
2015-09-11,4669.89,0.0,4669.89
2015-09-18,4758.01,52.43,4810.44
2015-09-25,3319.29,981.89,4301.18
2015-10-02,1314.73,3410.03,4724.76
2015-10-09,0.0,4809.33,4809.33
2015-10-16,1614.84,3212.17,4827.0
2015-10-23,1823.2,3030.46,4853.66
2015-10-30,2969.22,1709.89,4679.11
2015-11-06,1523.68,3514.92,5038.6
2015-11-13,2634.96,2331.21,4966.17
2015-11-20,0.0,5276.39,5276.39
2015-11-27,2678.94,2479.85,5158.78
2015-12-04,2592.8,2712.53,5305.33
2015-12-11,3803.05,1283.68,5086.73
2015-12-18,4650.88,0.0,4650.88
2015-12-25,3473.12,1398.33,4871.44
2016-01-01,4466.09,139.98,4606.07
2016-01-08,3937.85,0.0,3937.85
2016-01-15,3631.08,0.0,3631.08
2016-01-22,2387.34,1077.51,3464.85
2016-01-29,0.0,3831.58,3831.58
2016-02-05,793.86,3308.9,4102.76
2016-02-12,1840.94,2286.63,4127.56
2016-02-19,884.19,3361.25,4245.44
2016-02-26,822.73,3532.78,4355.51
2016-03-04,0.0,4446.68,4446.68
2016-03-11,51.55,4406.63,4458.18
2016-03-18,0.0,4906.31,4906.31
2016-03-25,2063.01,2789.86,4852.87
2016-04-01,45.23,5073.54,5118.77
2016-04-08,688.99,4629.26,5318.25
2016-04-15,363.63,4994.87,5358.5
2016-04-22,1022.47,4394.89,5417.36
2016-04-29,0.0,5502.66,5502.66
2016-05-06,1864.86,3617.95,5482.81
2016-05-13,2037.85,3574.21,5612.06
2016-05-20,3082.72,2381.06,5463.78
2016-05-27,4120.68,1106.26,5226.94
2016-06-03,2698.68,2964.98,5663.66
2016-06-10,2799.01,3001.51,5800.53
2016-06-17,2677.92,3185.43,5863.35
2016-06-24,2037.85,4072.55,6110.4
2016-07-01,0.0,6373.84,6373.84
2016-07-08,162.22,6316.48,6478.7
2016-07-15,0.0,6481.89,6481.89
2016-07-22,0.0,6494.4,6494.4
2016-07-29,0.0,6531.77,6531.77
2016-08-05,0.0,6582.97,6582.97
2016-08-12,321.01,6277.0,6598.01
2016-08-19,338.88,6264.99,6603.87
2016-08-26,1766.3,4766.27,6532.57
2016-09-02,469.81,6210.61,6680.42
2016-09-09,1812.21,4888.19,6700.41
2016-09-16,2458.52,4260.56,6719.09
2016-09-23,1105.07,5807.3,6912.37
2016-09-30,1444.7,5502.07,6946.77
2016-10-07,0.0,7072.76,7072.76
2016-10-14,0.0,7083.39,7083.39
2016-10-21,0.0,7083.39,7083.39
2016-10-28,702.64,6371.22,7073.86
2016-11-04,2353.72,4606.38,6960.11
2016-11-11,4716.15,1974.64,6690.79
2016-11-18,4696.57,2035.16,6731.73
2016-11-25,4398.55,2519.41,6917.96
2016-12-02,5342.65,1359.71,6702.36
2016-12-09,4596.51,2455.35,7051.86
2016-12-16,5514.5,1192.29,6706.79
2016-12-23,4777.06,2301.23,7078.29
2016-12-30,3948.25,3453.18,7401.43
2017-01-06,2838.83,4896.99,7735.82
2017-01-13,2036.12,5868.64,7904.76
2017-01-20,1403.1,6598.42,8001.51
2017-01-27,563.41,7519.94,8083.36
2017-02-03,650.43,7443.81,8094.24
2017-02-10,110.94,8021.55,8132.49
2017-02-17,656.32,7471.76,8128.08
2017-02-24,1406.3,6722.47,8128.76
2017-03-03,1348.37,6896.21,8244.58
2017-03-10,2492.98,5659.59,8152.57
2017-03-17,2417.07,5829.69,8246.76
2017-03-24,2496.97,5789.28,8286.25
2017-03-31,2091.47,6283.67,8375.13
2017-04-07,2688.74,5612.87,8301.61
2017-04-14,3315.98,4864.77,8180.75
2017-04-21,3311.48,4929.49,8240.97
2017-04-28,2616.2,5803.9,8420.1
2017-05-05,2352.47,6166.35,8518.82
2017-05-12,642.21,8098.78,8741.0
2017-05-19,4771.99,4383.39,9155.38
2017-05-26,4434.34,4911.84,9346.17
2017-06-02,4843.92,4348.78,9192.7
2017-06-09,5311.44,3694.81,9006.25
2017-06-16,5381.37,3604.45,8985.82
2017-06-23,5918.82,2829.65,8748.47
2017-06-30,5209.54,3950.47,9160.01
2017-07-07,5223.53,3939.45,9162.98
2017-07-14,3405.39,6453.32,9858.71
2017-07-21,3275.52,6621.56,9897.08
2017-07-28,3015.79,6946.84,9962.63
2017-08-04,2385.44,7716.65,10102.1
2017-08-11,2631.07,7448.81,10079.88
2017-08-18,1922.15,8300.26,10222.41
2017-08-25,991.56,9341.72,10333.28
2017-09-01,739.95,9613.81,10353.76
2017-09-08,268.31,10119.3,10387.61
2017-09-15,0.0,10397.03,10397.03
2017-09-22,479.07,9916.45,10395.52
2017-09-29,1261.12,9128.31,10389.43
2017-10-06,694.14,9779.33,10473.47
2017-10-13,252.75,10257.61,10510.35
2017-10-20,712.45,9792.32,10504.78
2017-10-27,1501.83,9037.52,10539.35
2017-11-03,3153.85,7160.18,10314.03
2017-11-10,3443.22,6899.42,10342.64
2017-11-17,2793.04,7771.28,10564.32
2017-11-24,2190.48,8487.84,10678.32
2017-12-01,3441.39,7042.72,10484.11
2017-12-08,3258.24,7306.58,10564.82
2017-12-15,3668.5,6839.08,10507.58
2017-12-22,2939.56,7769.18,10708.74
2017-12-29,2195.97,8659.44,10855.41
2018-01-05,507.33,10531.75,11039.08
2018-01-12,276.56,10784.22,11060.78
2018-01-19,0.0,11068.14,11068.14
2018-01-26,0.0,11159.41,11159.41
2018-02-02,1156.88,9990.88,11147.76
2018-02-09,2907.07,8186.3,11093.36
2018-02-16,1282.12,10089.48,11371.6
2018-02-23,532.26,10896.08,11428.34
2018-03-02,1239.85,10172.65,11412.5
2018-03-09,1009.73,10447.92,11457.65
2018-03-16,2021.02,9356.24,11377.26
2018-03-23,2410.82,8934.15,11344.96
2018-03-30,1902.04,9572.88,11474.92
2018-04-06,2880.46,8464.46,11344.91
2018-04-13,3392.36,7897.64,11290.0
2018-04-20,3118.41,8293.38,11411.79
2018-04-27,3080.83,8357.78,11438.62
2018-05-04,4555.5,6466.0,11021.5
2018-05-11,4492.88,6612.31,11105.19
2018-05-18,6033.3,4416.94,10450.25
2018-05-25,6623.48,3537.93,10161.41
2018-06-01,7381.17,2318.57,9699.74
2018-06-08,7629.91,1498.14,9128.05
2018-06-15,8282.47,281.51,8563.98
2018-06-22,8210.01,174.97,8384.99
2018-06-29,7281.74,1077.97,8359.71
2018-07-06,6651.23,2223.95,8875.18
2018-07-13,6263.98,2898.22,9162.2
2018-07-20,5204.68,4585.64,9790.32
2018-07-27,4529.61,5580.04,10109.64
2018-08-03,4033.51,6307.16,10340.67
2018-08-10,6401.13,2929.5,9330.64
