date,positions_value,cash,net_liq
2007-02-02,0.0,10000.0,10000.0
2007-02-09,287.51,9712.49,10000.0
2007-02-16,36.51,9967.94,10004.45
2007-02-23,0.0,10004.71,10004.71
2007-03-02,1190.37,8812.54,10002.91
2007-03-09,1360.65,8656.73,10017.38
2007-03-16,1360.65,8656.73,10017.38
2007-03-23,1457.93,8550.71,10008.64
2007-03-30,1177.4,8866.87,10044.27
2007-04-06,573.37,9515.84,10089.21
2007-04-13,487.4,9606.24,10093.64
2007-04-20,215.92,9885.72,10101.64
2007-04-27,34.94,10068.83,10103.77
2007-05-04,412.74,9699.24,10111.98
2007-05-11,519.07,9590.18,10109.25
2007-05-18,181.99,9937.8,10119.79
2007-05-25,111.85,10008.71,10120.57
2007-06-01,0.0,10123.9,10123.9
2007-06-08,743.11,9377.4,10120.5
2007-06-15,758.5,9362.71,10121.21
2007-06-22,773.45,9346.58,10120.03
2007-06-29,986.84,9123.06,10109.9
2007-07-06,927.44,9186.34,10113.78
2007-07-13,927.44,9186.34,10113.78
2007-07-20,927.44,9186.34,10113.78
2007-07-27,2458.52,7564.08,10022.6
2007-08-03,2654.3,7340.05,9994.35
2007-08-10,2920.48,7041.62,9962.1
2007-08-17,3516.63,6386.47,9903.1
2007-08-24,2601.51,7526.2,10127.7
2007-08-31,2418.92,7764.99,10183.91
2007-09-07,3314.25,6702.51,10016.76
2007-09-14,2766.49,7381.0,10147.5
2007-09-21,2357.33,7899.9,10257.23
2007-09-28,2561.91,7684.43,10246.34
2007-10-05,1992.16,8350.01,10342.16
2007-10-12,1758.97,8613.95,10372.92
2007-10-19,2462.92,7821.53,10284.45
2007-10-26,2790.69,7441.12,10231.81
2007-11-02,3349.45,6778.85,10128.3
2007-11-09,4407.56,5412.91,9820.47
2007-11-16,4081.99,5877.48,9959.47
2007-11-23,4592.35,5200.74,9793.09
2007-11-30,3910.4,6167.87,10078.27
2007-12-07,3710.22,6436.23,10146.45
2007-12-14,4464.76,5451.56,9916.32
2007-12-21,4730.94,5100.26,9831.2
2007-12-28,4909.12,4853.3,9762.42
2008-01-04,6261.52,2859.11,9120.63
2008-01-11,6663.76,2260.62,8924.37
2008-01-18,6988.04,1730.84,8718.88
2008-01-25,6583.27,2471.24,9054.51
2008-02-01,5221.59,4653.47,9875.06
2008-02-08,6141.11,3295.06,9436.17
2008-02-15,5993.72,3538.3,9532.02
2008-02-22,6050.92,3453.75,9504.67
2008-02-29,6484.28,2833.89,9318.17
2008-03-07,7080.43,1842.15,8922.57
2008-03-14,7287.21,1522.13,8809.34
2008-03-21,6548.07,2861.54,9409.61
2008-03-28,6990.24,2166.42,9156.66
2008-04-04,6127.91,3639.22,9767.13
2008-04-11,6781.25,2597.01,9378.26
2008-04-18,6169.71,3620.85,9790.56
2008-04-25,5943.13,4003.33,9946.45
2008-05-02,5476.77,4736.42,10213.19
2008-05-09,5905.73,4086.41,9992.14
2008-05-16,5298.58,5026.6,10325.18
2008-05-23,6200.51,3668.5,9869.0
2008-05-30,5599.96,4615.13,10215.08
2008-06-06,6156.51,3816.99,9973.49
2008-06-13,6006.92,4094.29,10101.21
2008-06-20,6938.69,2589.25,9527.94
2008-06-27,7642.86,1369.96,9012.82
2008-07-04,8080.76,557.06,8637.83
2008-07-11,8221.62,0.0,8221.62
2008-07-18,7198.06,1705.43,8903.5
2008-07-25,7240.55,1672.2,8912.75
2008-08-01,7235.83,1742.77,8978.6
2008-08-08,6164.25,3668.78,9833.04
2008-08-15,5692.19,4441.59,10133.79
2008-08-22,6220.9,3641.32,9862.22
2008-08-29,6190.22,3714.34,9904.55
2008-09-05,6301.15,3563.29,9864.44
2008-09-12,6107.61,3930.4,10038.0
2008-09-19,6600.91,3231.47,9832.38
2008-09-26,7247.63,2184.87,9432.5
2008-10-03,7842.69,0.0,7842.69
2008-10-10,5564.58,0.0,5564.58
2008-10-17,4872.6,1091.12,5963.71
2008-10-24,5226.79,0.0,5226.79
2008-10-31,1349.52,4878.46,6227.98
2008-11-07,3594.03,2422.25,6016.29
2008-11-14,5114.33,443.83,5558.16
2008-11-21,3225.3,1276.93,4502.23
2008-11-28,0.0,5077.49,5077.49
2008-12-05,-0.0,5365.61,5365.61
2008-12-12,1163.67,4226.58,5390.24
2008-12-19,349.04,5148.4,5497.44
2008-12-26,1142.31,4350.33,5492.63
2009-01-02,-0.0,5603.39,5603.39
2009-01-09,1651.46,3906.6,5558.06
2009-01-16,2316.43,3228.46,5544.89
2009-01-23,3470.99,1933.8,5404.79
2009-01-30,4092.12,1214.88,5307.0
2009-02-06,2879.1,2822.5,5701.6
2009-02-13,4267.49,1113.7,5381.19
2009-02-20,5066.03,0.0,5066.03
2009-02-27,4656.44,259.15,4915.59
2009-03-06,4292.13,0.0,4292.13
2009-03-13,1454.88,3444.63,4899.52
2009-03-20,963.21,4050.53,5013.74
2009-03-27,562.0,4570.94,5132.94
