date,positions_value,cash,net_liq
2008-11-28,742.01,9252.74,9994.76
2008-12-05,683.43,9323.76,10007.19
2008-12-12,0.0,10033.08,10033.08
2008-12-19,1235.92,8776.98,10012.89
2008-12-26,776.41,9268.6,10045.01
2009-01-02,1088.03,8942.51,10030.54
2009-01-09,2160.21,7791.37,9951.58
2009-01-16,2424.3,7499.4,9923.69
2009-01-23,3126.76,6692.41,9819.17
2009-01-30,3565.14,6164.3,9729.44
2009-02-06,3221.83,6616.7,9838.53
2009-02-13,3353.87,6458.46,9812.33
2009-02-20,3522.89,6268.81,9791.7
2009-02-27,3792.25,5931.45,9723.71
2009-03-06,3876.76,5830.62,9707.38
2009-03-13,3306.95,6566.03,9872.98
2009-03-20,2065.81,8102.96,10168.77
2009-03-27,2620.36,7481.38,10101.74
2009-04-03,2208.41,7974.4,10182.81
2009-04-10,2873.87,7193.05,10066.92
2009-04-17,3132.66,6891.91,10024.57
2009-04-24,2747.11,7370.06,10117.17
2009-05-01,2682.68,7456.71,10139.39
2009-05-08,1915.28,8363.51,10278.79
2009-05-15,2169.01,8078.21,10247.22
2009-05-22,1032.47,9348.16,10380.64
2009-05-29,799.88,9601.8,10401.68
2009-06-05,1175.2,9218.99,10394.2
2009-06-12,1106.48,9301.5,10407.98
2009-06-19,1233.35,9175.48,10408.84
2009-06-26,990.18,9448.39,10438.57
2009-07-03,1132.91,9300.27,10433.18
2009-07-10,1249.21,9180.53,10429.74
2009-07-17,932.04,9525.91,10457.95
2009-07-24,683.58,9790.17,10473.76
2009-07-31,572.57,9915.45,10488.02
2009-08-07,799.88,9687.03,10486.91
2009-08-14,678.3,9817.23,10495.53
2009-08-21,429.57,10083.98,10513.55
2009-08-28,508.89,10005.32,10514.21
2009-09-04,524.75,9991.65,10516.4
2009-09-11,10.52,10521.21,10531.72
2009-09-18,51.45,10480.33,10531.78
2009-09-25,316.33,10216.51,10532.84
2009-10-02,545.92,9982.95,10528.87
2009-10-09,193.88,10345.7,10539.57
2009-10-16,60.24,10481.48,10541.72
2009-10-23,0.0,10542.3,10542.3
2009-10-30,702.13,9833.32,10535.45
2009-11-06,464.79,10083.09,10547.88
2009-11-13,301.62,10257.49,10559.11
2009-11-20,430.18,10131.19,10561.36
2009-11-27,357.31,10216.57,10573.88
