date,positions_value,cash,net_liq
2010-02-12,198.6,9801.4,10000.0
2010-02-19,0.0,10017.28,10017.28
2010-02-26,140.37,9898.84,10039.2
2010-03-05,-0.0,10046.51,10046.51
2010-03-12,-0.0,10046.51,10046.51
2010-03-19,747.31,9294.97,10042.28
2010-03-26,831.33,9230.03,10061.35
2010-04-02,177.94,9920.5,10098.44
2010-04-09,0.0,10116.75,10116.75
2010-04-16,637.68,9478.24,10115.91
2010-04-23,0.0,10142.54,10142.54
2010-04-30,1527.71,8629.65,10157.36
2010-05-07,4933.53,4594.45,9527.98
2010-05-14,3540.14,6735.62,10275.75
2010-05-21,5459.12,4287.64,9746.76
2010-05-28,4914.84,5195.65,10110.5
2010-06-04,6177.43,3535.62,9713.05
2010-06-11,5276.92,5032.55,10309.47
2010-06-18,4591.31,6051.46,10642.77
2010-06-25,5870.25,4255.38,10125.63
2010-07-02,7659.59,1324.08,8983.67
2010-07-09,6211.3,3929.3,10140.6
2010-07-16,6785.94,3112.07,9898.02
2010-07-23,5295.6,5578.46,10874.06
2010-07-30,5456.78,5380.67,10837.46
2010-08-06,4932.36,6186.52,11118.88
2010-08-13,6565.19,3790.29,10355.49
2010-08-20,6498.62,3939.05,10437.67
2010-08-27,6631.77,3780.56,10412.33
2010-09-03,5343.49,5930.97,11274.46
2010-09-10,5440.43,5805.61,11246.04
2010-09-17,4705.78,6891.87,11597.65
2010-09-24,4047.04,7858.63,11905.67
2010-10-01,3709.49,8303.79,12013.28
2010-10-08,3336.91,8821.75,12158.66
2010-10-15,2887.24,9383.93,12271.17
2010-10-22,2686.35,9662.67,12349.02
2010-10-29,2477.07,9914.03,12391.1
2010-11-05,807.86,11805.88,12613.74
2010-11-12,1718.99,10850.93,12569.91
2010-11-19,1422.27,11219.93,12642.2
2010-11-26,1079.99,11637.48,12717.47
2010-12-03,0.0,12797.31,12797.31
2010-12-10,0.0,12797.55,12797.55
2010-12-17,0.0,12803.39,12803.39
2010-12-24,70.35,12733.04,12803.39
2010-12-31,286.63,12517.52,12804.15
2011-01-07,528.37,12290.86,12819.23
2011-01-14,0.0,12834.46,12834.46
2011-01-21,1211.89,11598.04,12809.92
2011-01-28,1051.32,11808.47,12859.79
2011-02-04,0.0,12915.79,12915.79
2011-02-11,0.0,12916.99,12916.99
2011-02-18,0.0,12921.68,12921.68
2011-02-25,907.44,12074.32,12981.76
2011-03-04,738.81,12314.45,13053.26
2011-03-11,1510.17,11543.0,13053.17
2011-03-18,2024.41,10984.01,13008.42
2011-03-25,687.05,12488.83,13175.87
2011-04-01,0.0,13204.94,13204.94
2011-04-08,641.52,12557.24,13198.76
2011-04-15,897.35,12306.99,13204.34
2011-04-22,347.99,12927.06,13275.05
2011-04-29,0.0,13286.34,13286.34
2011-05-06,1249.49,12005.13,13254.62
2011-05-13,1035.64,12270.45,13306.09
2011-05-20,1379.33,11932.22,13311.55
2011-05-27,1225.05,12131.52,13356.57
2011-06-03,2590.63,10657.6,13248.23
2011-06-10,3815.68,9174.81,12990.49
2011-06-17,3804.99,9229.3,13034.29
2011-06-24,3267.99,9949.34,13217.34
2011-07-01,1101.12,12497.68,13598.8
2011-07-08,639.63,12999.75,13639.38
2011-07-15,2002.71,11571.72,13574.43
2011-07-22,1348.67,12346.5,13695.18
2011-07-29,3455.95,9944.79,13400.75
2011-08-05,7267.09,4621.95,11889.04
2011-08-12,7748.45,4889.83,12638.28
2011-08-19,9463.0,1628.61,11091.6
2011-08-26,8187.02,4581.76,12768.78
2011-09-02,8284.82,4590.36,12875.18
2011-09-09,8634.76,4034.36,12669.12
2011-09-16,7403.09,6488.5,13891.59
2011-09-23,9537.88,2307.03,11844.9
2011-09-30,9918.38,1577.06,11495.44
2011-10-07,8716.05,3483.44,12199.49
2011-10-14,6969.66,6951.11,13920.76
2011-10-21,6864.7,7305.25,14169.95
2011-10-28,5209.49,10173.93,15383.42
2011-11-04,5687.82,9661.5,15349.32
2011-11-11,6047.42,9299.49,15346.91
2011-11-18,7109.02,7588.43,14697.45
2011-11-25,8636.91,4754.11,13391.01
2011-12-02,6556.71,8888.7,15445.42
2011-12-09,6450.04,9167.65,15617.69
2011-12-16,7484.11,7455.03,14939.14
2011-12-23,6530.9,9226.33,15757.24
2011-12-30,6776.95,8857.95,15634.9
2012-01-06,6326.15,9619.71,15945.87
2012-01-13,5780.73,10498.48,16279.21
2012-01-20,4953.12,11750.15,16703.27
2012-01-27,4483.49,12418.1,16901.59
2012-02-03,3360.71,13942.85,17303.56
2012-02-10,3651.74,13583.03,17234.77
2012-02-17,2798.32,14668.15,17466.48
2012-02-24,2784.54,14693.21,17477.75
2012-03-02,3120.45,14298.82,17419.28
2012-03-09,2825.88,14710.82,17536.7
2012-03-16,2190.24,15495.29,17685.53
2012-03-23,2583.0,15050.94,17633.94
2012-03-30,2457.24,15215.42,17672.66
2012-04-06,2887.9,14719.67,17607.57
2012-04-13,3719.92,13778.61,17498.53
2012-04-20,3306.49,14326.12,17632.62
2012-04-27,2348.72,15520.6,17869.32
2012-05-04,3711.31,13893.36,17604.67
2012-05-11,3776.77,13810.85,17587.62
2012-05-18,6026.5,10686.38,16712.88
2012-05-25,4973.99,12311.03,17285.02
2012-06-01,6376.19,10288.32,16664.51
2012-06-08,5373.63,11899.12,17272.75
2012-06-15,5597.57,11627.68,17225.25
2012-06-22,5731.94,11497.48,17229.42
2012-06-29,4889.58,12827.97,17717.55
2012-07-06,4622.57,13226.57,17849.14
2012-07-13,4837.9,12954.21,17792.11
2012-07-20,4951.59,12810.56,17762.15
2012-07-27,4675.97,13270.13,17946.1
2012-08-03,4831.01,13091.75,17922.76
2012-08-10,4174.69,14003.62,18178.31
2012-08-17,3539.05,14845.03,18384.07
2012-08-24,3854.29,14444.06,18298.34
2012-08-31,3792.27,14532.68,18324.95
2012-09-07,2440.02,16239.54,18679.56
2012-09-14,1489.14,17338.45,18827.59
2012-09-21,2386.62,16335.64,18722.25
2012-09-28,3144.57,15458.05,18602.62
2012-10-05,2784.69,15908.38,18693.07
2012-10-12,3650.61,14847.91,18498.52
2012-10-19,3230.56,15411.59,18642.15
2012-10-26,3705.7,14815.67,18521.37
2012-11-02,3199.57,15516.77,18716.34
2012-11-09,3957.04,14606.32,18563.36
2012-11-16,4594.0,13775.83,18369.83
2012-11-23,3170.31,15678.12,18848.43
2012-11-30,2757.84,16189.31,18947.15
2012-12-07,2651.13,16318.15,18969.29
2012-12-14,2666.62,16307.7,18974.32
2012-12-21,1763.1,17380.33,19143.43
2012-12-28,2596.06,16429.25,19025.31
2013-01-04,345.0,18975.65,19320.65
2013-01-11,289.93,19035.63,19325.55
2013-01-18,0.0,19334.39,19334.39
2013-01-25,0.0,19334.39,19334.39
2013-02-01,0.0,19340.98,19340.98
2013-02-08,0.0,19352.6,19352.6
2013-02-15,103.93,19250.33,19354.26
2013-02-22,864.33,18504.56,19368.9
2013-03-01,1101.66,18294.84,19396.5
2013-03-08,-0.0,19450.66,19450.66
2013-03-15,50.01,19401.27,19451.28
2013-03-22,274.98,19188.47,19463.44
2013-03-29,0.0,19468.85,19468.85
2013-04-05,1289.42,18157.21,19446.63
2013-04-12,223.9,19295.21,19519.11
2013-04-19,1469.25,18125.03,19594.28
2013-04-26,669.25,18992.69,19661.94
2013-05-03,0.0,19725.41,19725.41
2013-05-10,0.0,19728.53,19728.53
2013-05-17,0.0,19737.37,19737.37
2013-05-24,1111.31,18612.11,19723.41
2013-05-31,1223.61,18510.94,19734.55
2013-06-07,1319.53,18432.98,19752.51
2013-06-14,1725.45,18026.49,19751.94
2013-06-21,3044.98,16559.44,19604.43
2013-06-28,2205.07,17591.47,19796.54
2013-07-05,1217.76,18714.41,19932.17
2013-07-12,0.0,20002.26,20002.26
2013-07-19,0.0,20010.85,20010.85
2013-07-26,470.41,19541.98,20012.39
2013-08-02,220.45,19817.44,20037.89
2013-08-09,799.14,19234.95,20034.09
2013-08-16,2054.02,17885.75,19939.77
2013-08-23,1613.12,18404.85,20017.96
2013-08-30,2838.32,17037.21,19875.54
2013-09-06,2160.01,17847.9,20007.9
2013-09-13,1201.89,18932.72,20134.61
2013-09-20,510.85,19677.2,20188.06
2013-09-27,646.52,19543.57,20190.09
2013-10-04,293.47,19931.12,20224.59
2013-10-11,73.9,20215.26,20289.16
2013-10-18,0.0,20305.35,20305.35
2013-10-25,93.74,20215.59,20309.33
2013-11-01,353.29,19958.44,20311.74
2013-11-08,574.4,19779.09,20353.49
2013-11-15,0.0,20372.79,20372.79
2013-11-22,119.28,20274.64,20393.92
2013-11-29,270.74,20122.74,20393.48
2013-12-06,79.52,20321.6,20401.12
2013-12-13,783.82,19618.79,20402.61
2013-12-20,0.0,20447.7,20447.7
2013-12-27,0.0,20447.7,20447.7
2014-01-03,305.36,20149.03,20454.39
2014-01-10,0.0,20468.37,20468.37
