date,positions_value,cash,net_liq
2007-02-02,0.0,10000.0,10000.0
2007-02-09,52.52,9947.48,10000.0
2007-02-16,201.72,9798.38,10000.1
2007-02-23,0.0,10004.01,10004.01
2007-03-02,1130.28,8865.89,9996.17
2007-03-09,1164.9,8838.0,10002.89
2007-03-16,916.44,9113.64,10030.08
2007-03-23,0.0,10070.97,10070.97
2007-03-30,239.46,9830.59,10070.05
2007-04-06,0.0,10081.47,10081.47
2007-04-13,244.58,9836.39,10080.98
2007-04-20,0.0,10086.12,10086.12
2007-04-27,412.23,9671.61,10083.85
2007-05-04,252.32,9841.83,10094.15
2007-05-11,194.74,9910.43,10105.17
2007-05-18,0.0,10108.7,10108.7
2007-05-25,1435.01,8637.2,10072.2
2007-06-01,911.92,9208.38,10120.3
2007-06-08,2538.73,7436.97,9975.7
2007-06-15,1536.14,8610.87,10147.01
2007-06-22,2787.68,7198.25,9985.93
2007-06-29,2566.09,7471.76,10037.85
2007-07-06,2225.42,7881.8,10107.22
2007-07-13,1652.96,8548.33,10201.3
2007-07-20,1808.3,8406.34,10214.64
2007-07-27,3900.88,5953.15,9854.03
2007-08-03,3841.54,6104.77,9946.31
2007-08-10,3120.74,7066.09,10186.83
2007-08-17,3467.01,6689.65,10156.66
2007-08-24,2826.7,7488.33,10315.03
2007-08-31,3467.01,6754.8,10221.8
2007-09-07,3337.9,6937.3,10275.2
2007-09-14,2866.83,7521.42,10388.25
2007-09-21,2228.26,8309.3,10537.56
2007-09-28,2673.16,7795.44,10468.6
2007-10-05,1920.16,8677.57,10597.73
2007-10-12,1574.56,9075.57,10650.13
2007-10-19,2775.44,7714.25,10489.68
2007-10-26,1518.7,9181.83,10700.54
2007-11-02,1366.85,9365.77,10732.62
2007-11-09,1555.36,9183.82,10739.18
2007-11-16,1728.16,9002.3,10730.47
2007-11-23,1579.8,9177.5,10757.3
2007-11-30,1234.33,9563.16,10797.49
2007-12-07,147.05,10710.05,10857.1
2007-12-14,967.31,9888.48,10855.79
2007-12-21,1449.0,9405.88,10854.88
2007-12-28,1656.68,9180.25,10836.93
2008-01-04,2188.98,8584.18,10773.16
2008-01-11,1651.45,9215.76,10867.21
2008-01-18,3815.55,6684.38,10499.93
2008-01-25,4681.2,5588.68,10269.87
2008-02-01,3651.5,6983.33,10634.83
2008-02-08,4276.3,6203.09,10479.39
2008-02-15,4014.51,6558.27,10572.78
2008-02-22,4088.16,6475.37,10563.53
2008-02-29,4923.52,5362.93,10286.44
2008-03-07,4920.03,5389.75,10309.78
2008-03-14,4933.98,5399.61,10333.59
2008-03-21,5064.78,5229.42,10294.2
2008-03-28,5186.86,5058.48,10245.34
2008-04-04,4211.98,6453.54,10665.52
2008-04-11,4196.28,6477.05,10673.33
2008-04-18,3205.71,7775.43,10981.14
2008-04-25,3421.96,7510.51,10932.47
2008-05-02,3080.14,7944.88,11025.02
2008-05-09,3432.42,7517.56,10949.99
2008-05-16,3005.15,8052.13,11057.28
2008-05-23,3060.96,7998.86,11059.81
2008-05-30,2727.86,8404.96,11132.82
2008-06-06,3024.33,8066.33,11090.66
2008-06-13,2731.35,8432.2,11163.55
2008-06-20,2983.4,8134.0,11117.4
2008-06-27,3667.34,7301.31,10968.65
2008-07-04,3519.04,7516.65,11035.69
2008-07-11,3461.46,7595.71,11057.17
2008-07-18,4740.36,5917.69,10658.05
2008-07-25,5300.43,5134.25,10434.68
2008-08-01,5515.03,4840.39,10355.43
2008-08-08,5607.51,4724.16,10331.67
2008-08-15,5677.3,4640.18,10317.47
2008-08-22,5328.35,5167.7,10496.05
2008-08-29,5321.37,5195.62,10516.99
2008-09-05,6520.01,3353.07,9873.08
2008-09-12,6139.66,4032.85,10172.51
2008-09-19,6807.9,3139.48,9947.38
2008-09-26,7238.85,2432.86,9671.71
2008-10-03,8384.81,0.0,8384.81
2008-10-10,5258.17,0.0,5258.17
2008-10-17,3485.27,3214.89,6700.16
2008-10-24,3884.17,3148.86,7033.03
2008-10-31,2127.38,5688.83,7816.21
2008-11-07,2647.17,5278.77,7925.93
2008-11-14,3154.86,4863.61,8018.47
2008-11-21,3606.15,4643.93,8250.08
2008-11-28,2195.88,6382.15,8578.03
2008-12-05,3682.71,4826.01,8508.72
2008-12-12,3420.8,5183.79,8604.59
2008-12-19,3622.27,4989.15,8611.42
2008-12-26,3886.75,4657.51,8544.26
2009-01-02,2415.41,6527.38,8942.79
2009-01-09,3048.29,5786.66,8834.95
2009-01-16,3209.53,5622.63,8832.16
2009-01-23,3475.58,5321.14,8796.72
2009-01-30,3386.9,5471.96,8858.86
2009-02-06,2310.6,6784.11,9094.72
2009-02-13,3761.79,5036.91,8798.7
2009-02-20,5849.89,2196.26,8046.15
2009-02-27,6579.52,1096.17,7675.68
2009-03-06,6347.16,146.81,6493.97
2009-03-13,5076.1,1718.74,6794.85
2009-03-20,3265.06,4205.82,7470.88
2009-03-27,2999.51,4620.36,7619.88
2009-04-03,2526.84,5208.64,7735.47
2009-04-10,2516.21,5232.02,7748.24
2009-04-17,2680.86,5053.89,7734.75
2009-04-24,3435.01,4141.99,7577.0
2009-05-01,2171.0,5688.95,7859.96
2009-05-08,1098.18,6899.55,7997.74
2009-05-15,2696.79,5132.95,7829.74
2009-05-22,2548.08,5335.54,7883.62
2009-05-29,1762.06,6278.32,8040.38
2009-06-05,1225.65,6931.55,8157.2
2009-06-12,0.0,8233.12,8233.12
2009-06-19,583.6,7675.93,8259.53
2009-06-26,482.8,7795.65,8278.45
