date,positions_value,cash,net_liq
2007-02-02,0.0,10000.0,10000.0
2007-02-09,675.98,9319.02,9995.0
2007-02-16,710.54,9304.82,10015.36
2007-02-23,1375.72,8607.11,9982.83
2007-03-02,2818.39,7054.71,9873.1
2007-03-09,2839.99,7135.49,9975.47
2007-03-16,3282.72,6627.53,9910.25
2007-03-23,2492.28,7595.39,10087.67
2007-03-30,3092.67,6888.79,9981.46
2007-04-06,2757.92,7301.05,10058.97
2007-04-13,3028.88,6982.3,10011.18
2007-04-20,2702.58,7386.99,10089.57
2007-04-27,2603.18,7510.12,10113.3
2007-05-04,3199.59,6806.49,10006.08
2007-05-11,3093.71,6947.59,10041.3
2007-05-18,4593.38,5017.13,9610.51
2007-05-25,4539.36,5119.95,9659.31
2007-06-01,3154.21,6987.52,10141.74
2007-06-08,4172.0,5731.78,9903.79
2007-06-15,4396.74,5458.39,9855.13
2007-06-22,5317.29,4175.38,9492.66
2007-06-29,5688.96,3650.27,9339.23
2007-07-06,4919.68,4812.26,9731.94
2007-07-13,5116.32,4564.76,9681.08
2007-07-20,5829.42,3514.82,9344.24
2007-07-27,7564.63,649.96,8214.6
2007-08-03,7767.76,310.23,8077.99
2007-08-10,7262.11,1319.71,8581.81
2007-08-17,6619.05,1910.51,8529.55
2007-08-24,6129.22,2728.52,8857.74
2007-08-31,5995.63,3022.44,9018.07
2007-09-07,6600.3,2077.11,8677.41
2007-09-14,6058.91,2974.28,9033.19
2007-09-21,5393.3,4046.66,9439.96
2007-09-28,5285.49,4224.52,9510.01
2007-10-05,3968.34,6087.63,10055.97
2007-10-12,4587.08,5264.49,9851.57
2007-10-19,6152.65,2995.11,9147.77
2007-10-26,5648.76,3790.95,9439.71
2007-11-02,6476.08,2549.63,9025.71
2007-11-09,7176.84,1394.65,8571.49
2007-11-16,7223.72,1371.4,8595.12
2007-11-23,7662.82,444.95,8107.77
2007-11-30,5820.31,2655.07,8475.38
2007-12-07,5260.82,3582.14,8842.96
2007-12-14,6900.9,1124.34,8025.24
2007-12-21,6840.56,1261.48,8102.04
2007-12-28,7109.34,865.4,7974.74
2008-01-04,6870.0,0.0,6870.0
2008-01-11,5825.17,1122.15,6947.31
2008-01-18,6451.68,0.0,6451.68
2008-01-25,4872.86,2684.93,7557.8
2008-02-01,3330.94,4856.22,8187.16
2008-02-08,5127.39,2499.77,7627.16
2008-02-15,5120.02,2535.9,7655.92
2008-02-22,4990.91,2748.98,7739.89
2008-02-29,5249.12,2427.2,7676.32
2008-03-07,6160.26,1133.81,7294.08
2008-03-14,5787.69,1886.4,7674.09
2008-03-21,4216.26,4275.06,8491.32
2008-03-28,4603.58,3808.54,8412.12
2008-04-04,3257.17,5689.61,8946.78
2008-04-11,4323.23,4336.98,8660.22
2008-04-18,2976.0,6108.9,9084.9
2008-04-25,2348.7,6881.8,9230.5
2008-05-02,2497.61,6740.07,9237.68
2008-05-09,3401.11,5667.38,9068.5
2008-05-16,2339.04,6978.53,9317.57
2008-05-23,3611.32,5456.28,9067.59
2008-05-30,3072.9,6142.42,9215.32
2008-06-06,3758.83,5359.16,9117.99
2008-06-13,4079.66,4979.01,9058.67
2008-06-20,5008.97,3773.08,8782.05
2008-06-27,6203.8,2027.5,8231.3
2008-07-04,6668.46,1278.09,7946.55
2008-07-11,6963.48,1133.38,8096.86
2008-07-18,5818.23,2872.78,8691.01
