date,positions_value,cash,net_liq
2025-08-29,105.4,9894.46,9999.86
2025-09-05,149.93,9853.07,10003.01
2025-09-12,260.59,9749.66,10010.25
2025-09-19,225.85,9787.2,10013.04
2025-09-26,244.08,9774.6,10018.67
2025-10-03,0.0,10021.3,10021.3
2025-10-10,1085.35,8919.58,10004.94
2025-10-17,621.23,9417.98,10039.21
2025-10-24,93.3,9963.51,10056.82
2025-10-31,662.95,9388.39,10051.34
2025-11-07,780.15,9272.73,10052.88
2025-11-14,837.16,9220.92,10058.07
2025-11-21,1295.6,8752.18,10047.78
2025-11-28,167.43,9947.02,10114.45
2025-12-05,136.34,9983.56,10119.89
2025-12-12,211.04,9916.39,10127.43
2025-12-19,320.46,9808.34,10128.8
2025-12-26,113.34,10020.44,10133.78
2026-01-02,330.63,9804.3,10134.93
2026-01-09,0.0,10148.84,10148.84
2026-01-16,90.98,10057.87,10148.84
2026-01-23,152.78,10013.03,10165.81
2026-01-30,316.73,9848.02,10164.75
2026-02-06,0.0,10182.59,10182.59
2026-02-13,154.74,10036.12,10190.86
2026-02-20,0.0,10192.81,10192.81
2026-02-27,0.0,10200.43,10200.43
2026-03-06,1110.92,9065.55,10176.47
