date,positions_value,cash,net_liq
2010-02-12,0.0,10000.0,10000.0
2010-02-19,0.0,10000.0,10000.0
2010-02-26,286.36,9723.92,10010.27
2010-03-05,0.0,10029.16,10029.16
2010-03-12,32.36,9996.8,10029.16
2010-03-19,797.71,9229.96,10027.66
2010-03-26,898.46,9155.34,10053.8
2010-04-02,504.72,9578.7,10083.42
2010-04-09,0.0,10114.7,10114.7
2010-04-16,630.9,9483.8,10114.7
2010-04-23,0.0,10145.85,10145.85
2010-04-30,1756.05,8433.52,10189.57
2010-05-07,5427.59,4014.47,9442.06
2010-05-14,3398.66,7109.56,10508.22
2010-05-21,5823.53,4001.91,9825.44
2010-05-28,5316.3,4924.02,10240.32
2010-06-04,6780.21,2958.32,9738.53
2010-06-11,6148.84,4147.74,10296.58
2010-06-18,5294.9,5505.16,10800.06
2010-06-25,6401.39,3873.8,10275.19
2010-07-02,8472.05,230.22,8702.27
2010-07-09,6800.88,3097.5,9898.38
2010-07-16,7661.18,1743.07,9404.26
2010-07-23,5964.03,4815.07,10779.1
2010-07-30,5975.21,4853.89,10829.1
2010-08-06,5941.69,4949.36,10891.05
2010-08-13,7866.77,1789.01,9655.77
2010-08-20,7883.52,1840.71,9724.24
2010-08-27,7674.59,2330.95,10005.54
2010-09-03,6589.71,4415.97,11005.68
2010-09-10,6889.14,3935.85,10824.99
2010-09-17,6189.73,5148.69,11338.42
2010-09-24,5327.18,6619.09,11946.28
2010-10-01,4876.92,7280.04,12156.96
2010-10-08,4173.03,8327.89,12500.92
2010-10-15,3608.8,9082.66,12691.46
2010-10-22,3646.79,9062.01,12708.8
2010-10-29,3668.02,9040.58,12708.6
2010-11-05,1734.01,11438.1,13172.1
2010-11-12,2768.61,10283.34,13051.95
2010-11-19,2568.62,10578.0,13146.61
2010-11-26,2110.53,11162.42,13272.95
2010-12-03,667.24,12785.95,13453.19
2010-12-10,0.0,13472.75,13472.75
2010-12-17,0.0,13483.6,13483.6
2010-12-24,70.23,13413.33,13483.55
2010-12-31,462.89,13019.22,13482.11
2011-01-07,670.84,12850.89,13521.74
2011-01-14,0.0,13544.3,13544.3
2011-01-21,2068.35,11398.21,13466.57
2011-01-28,1907.85,11647.61,13555.46
2011-02-04,570.35,13135.42,13705.77
2011-02-11,0.0,13728.39,13728.39
2011-02-18,0.0,13735.67,13735.67
2011-02-25,817.04,13012.13,13829.17
2011-03-04,663.9,13239.63,13903.53
2011-03-11,2021.28,11856.57,13877.85
2011-03-18,2431.97,11409.11,13841.08
2011-03-25,837.92,13227.47,14065.4
2011-04-01,0.0,14105.88,14105.88
2011-04-08,725.04,13373.61,14098.65
2011-04-15,1055.5,13052.84,14108.34
2011-04-22,544.19,13641.51,14185.7
2011-04-29,0.0,14203.77,14203.77
2011-05-06,1759.68,12382.11,14141.79
2011-05-13,1651.59,12573.83,14225.42
2011-05-20,2023.56,12191.62,14215.17
