date,positions_value,cash,net_liq
2010-02-05,0.0,10002.43,10002.43
2010-02-12,213.15,9789.53,10002.69
2010-02-19,501.94,9496.14,9998.08
2010-02-26,15.98,9993.01,10008.99
2010-03-05,148.96,9860.07,10009.03
2010-03-12,167.29,9842.14,10009.43
2010-03-19,103.22,9907.65,10010.88
2010-03-26,462.86,9545.98,10008.84
2010-04-02,465.15,9544.14,10009.29
2010-04-09,474.32,9539.28,10013.6
2010-04-16,167.36,9853.62,10020.98
2010-04-23,268.04,9752.56,10020.6
2010-04-30,0.0,10027.98,10027.98
2010-05-07,85.47,9943.79,10029.26
2010-05-14,37.26,9995.99,10033.25
2010-05-21,2.26,10031.13,10033.39
2010-05-28,281.79,9751.37,10033.15
2010-06-04,0.0,10043.02,10043.02
2010-06-11,142.68,9904.77,10047.44
2010-06-18,123.79,9925.72,10049.51
2010-06-25,0.0,10054.54,10054.54
2010-07-02,86.91,9968.06,10054.97
2010-07-09,272.48,9781.58,10054.05
2010-07-16,0.0,10060.26,10060.26
2010-07-23,261.84,9798.1,10059.94
2010-07-30,1.98,10062.46,10064.44
2010-08-06,0.0,10066.61,10066.61
2010-08-13,0.0,10066.77,10066.77
2010-08-20,163.37,9904.06,10067.43
2010-08-27,403.75,9666.52,10070.27
2010-09-03,528.12,9544.35,10072.47
2010-09-10,727.09,9341.79,10068.88
2010-09-17,554.15,9523.43,10077.59
2010-09-24,241.75,9846.52,10088.27
2010-10-01,131.0,9960.57,10091.57
2010-10-08,0.0,10092.65,10092.65
2010-10-15,367.07,9723.26,10090.33
2010-10-22,216.24,9879.11,10095.36
2010-10-29,390.69,9706.93,10097.62
2010-11-05,0.0,10104.26,10104.26
2010-11-12,541.22,9556.98,10098.2
2010-11-19,826.36,9270.43,10096.79
2010-11-26,877.22,9222.53,10099.75
2010-12-03,1175.07,8910.18,10085.25
2010-12-10,1914.25,8108.48,10022.74
2010-12-17,1959.66,8063.78,10023.44
2010-12-24,2003.25,8015.29,10018.54
2010-12-31,1718.11,8341.38,10059.49
2011-01-07,1805.28,8251.77,10057.05
2011-01-14,1652.72,8423.85,10076.57
2011-01-21,1948.76,8094.7,10043.46
2011-01-28,1689.05,8392.66,10081.71
2011-02-04,2391.91,7596.98,9988.89
2011-02-11,2361.03,7635.59,9996.63
2011-02-18,2273.86,7737.47,10011.32
2011-02-25,1937.86,8126.86,10064.72
2011-03-04,2054.1,7996.47,10050.57
2011-03-11,1786.82,8300.13,10086.96
2011-03-18,1492.56,8630.22,10122.78
2011-03-25,1915.79,8160.48,10076.28
2011-04-01,1968.47,8101.36,10069.83
2011-04-08,2191.1,7851.13,10042.24
2011-04-15,1789.9,8310.42,10100.32
2011-04-22,1744.52,8361.72,10106.24
2011-04-29,1448.61,8691.99,10140.6
2011-05-06,1139.99,9027.71,10167.7
2011-05-13,1100.06,9071.24,10171.3
2011-05-20,987.5,9193.18,10180.69
2011-05-27,756.71,9437.69,10194.39
2011-06-03,475.25,9734.19,10209.44
2011-06-10,406.25,9806.21,10212.46
2011-06-17,311.83,9909.15,10220.97
2011-06-24,128.5,10096.4,10224.91
2011-07-01,941.9,9260.88,10202.79
2011-07-08,453.5,9776.64,10230.14
2011-07-15,161.12,10077.15,10238.27
2011-07-22,311.87,9925.44,10237.3
2011-07-29,0.0,10244.49,10244.49
2011-08-05,324.13,9920.36,10244.49
2011-08-12,239.86,10020.58,10260.45
2011-08-19,1.66,10263.01,10264.67
2011-08-26,260.62,10007.41,10268.04
2011-09-02,0.0,10276.84,10276.84
2011-09-09,0.0,10278.86,10278.86
2011-09-16,377.32,9898.68,10276.0
2011-09-23,260.88,10021.93,10282.81
2011-09-30,435.83,9847.12,10282.94
2011-10-07,797.99,9476.75,10274.74
2011-10-14,1166.29,9091.54,10257.83
2011-10-21,1089.19,9174.96,10264.15
2011-10-28,1261.13,8998.22,10259.35
2011-11-04,651.64,9655.36,10307.0
2011-11-11,780.6,9525.58,10306.18
2011-11-18,504.21,9814.85,10319.06
2011-11-25,427.44,9895.43,10322.86
2011-12-02,536.45,9785.45,10321.9
2011-12-09,554.87,9769.63,10324.5
2011-12-16,51.26,10284.67,10335.93
2011-12-23,510.26,9821.47,10331.73
2011-12-30,196.14,10143.66,10339.8
2012-01-06,315.83,10023.96,10339.79
2012-01-13,82.98,10261.61,10344.59
2012-01-20,469.01,9870.91,10339.92
2012-01-27,118.22,10230.28,10348.5
2012-02-03,307.27,10041.72,10348.99
2012-02-10,310.32,10040.79,10351.11
2012-02-17,433.51,9915.48,10349.0
2012-02-24,398.75,9952.34,10351.09
2012-03-02,359.22,9995.03,10354.25
2012-03-09,461.09,9891.44,10352.52
2012-03-16,1102.55,9224.18,10326.72
2012-03-23,978.84,9359.18,10338.01
2012-03-30,897.43,9447.56,10344.99
2012-04-06,779.01,9575.85,10354.86
2012-04-13,302.29,10074.65,10376.95
2012-04-20,265.86,10111.97,10377.83
2012-04-27,168.69,10211.0,10379.7
2012-05-04,0.0,10381.44,10381.44
2012-05-11,0.0,10381.79,10381.79
2012-05-18,20.68,10361.1,10381.79
2012-05-25,35.45,10347.25,10382.7
2012-06-01,0.0,10384.14,10384.14
2012-06-08,406.39,9976.06,10382.45
2012-06-15,284.19,10103.29,10387.48
2012-06-22,539.96,9842.2,10382.16
2012-06-29,451.86,9935.21,10387.07
2012-07-06,198.93,10195.01,10393.94
2012-07-13,93.83,10301.54,10395.37
2012-07-20,0.0,10396.5,10396.5
2012-07-27,318.39,10076.98,10395.38
2012-08-03,371.93,10023.99,10395.92
2012-08-10,493.08,9900.68,10393.76
2012-08-17,859.38,9520.87,10380.25
2012-08-24,555.07,9840.88,10395.96
2012-08-31,225.41,10180.08,10405.49
2012-09-07,487.45,9913.4,10400.85
2012-09-14,893.19,9493.23,10386.41
2012-09-21,605.79,9794.92,10400.71
2012-09-28,315.57,10094.81,10410.38
2012-10-05,541.0,9864.43,10405.43
2012-10-12,400.17,10009.96,10410.13
2012-10-19,653.59,9750.7,10404.3
2012-10-26,619.78,9788.33,10408.11
2012-11-02,509.87,9902.76,10412.63
2012-11-09,177.27,10246.15,10423.42
2012-11-16,95.51,10328.67,10424.18
2012-11-23,363.33,10057.8,10421.12
2012-11-30,177.27,10247.31,10424.57
2012-12-07,171.69,10253.43,10425.12
2012-12-14,349.23,10074.1,10423.34
2012-12-21,498.96,9922.41,10421.37
2012-12-28,332.78,10093.28,10426.06
2013-01-04,808.78,9602.94,10411.73
2013-01-11,699.1,9718.64,10417.75
2013-01-18,645.73,9775.55,10421.28
2013-01-25,851.27,9561.55,10412.82
2013-02-01,1054.3,9347.08,10401.38
2013-02-08,834.78,9581.57,10416.34
2013-02-15,922.02,9490.29,10412.31
2013-02-22,823.52,9594.66,10418.18
2013-03-01,525.19,9908.11,10433.29
2013-03-08,1000.83,9411.15,10411.98
2013-03-15,806.72,9617.32,10424.04
2013-03-22,660.61,9771.61,10432.22
2013-03-29,514.31,9923.97,10438.28
2013-04-05,140.13,10307.52,10447.65
2013-04-12,148.57,10300.71,10449.28
2013-04-19,109.18,10341.0,10450.18
2013-04-26,10.71,10440.36,10451.07
2013-05-03,274.25,10177.09,10451.35
2013-05-10,509.27,9937.31,10446.58
2013-05-17,632.45,9812.08,10444.53
2013-05-24,792.02,9647.69,10439.71
2013-05-31,1113.96,9311.12,10425.08
2013-06-07,1209.15,9211.28,10420.43
2013-06-14,1077.57,9355.47,10433.04
2013-06-21,2043.4,8299.28,10342.68
2013-06-28,1920.22,8441.06,10361.27
2013-07-05,2457.72,7831.89,10289.61
2013-07-12,2058.99,8297.0,10356.0
2013-07-19,1801.27,8591.44,10392.71
2013-07-26,1974.34,8396.57,10370.91
2013-08-02,2033.19,8335.11,10368.3
2013-08-09,1954.72,8424.98,10379.7
2013-08-16,2492.81,7806.9,10299.71
2013-08-23,2503.45,7797.75,10301.2
2013-08-30,2433.37,7882.68,10316.04
2013-09-06,2736.12,7527.6,10263.72
2013-09-13,2615.58,7672.99,10288.57
2013-09-20,2217.52,8144.23,10361.75
2013-09-27,1965.23,8434.27,10399.49
2013-10-04,1996.06,8399.8,10395.86
2013-10-11,2054.93,8333.01,10387.94
2013-10-18,1833.47,8586.49,10419.96
2013-10-25,1620.43,8826.36,10446.78
2013-11-01,1881.13,8536.09,10417.21
2013-11-08,2113.8,8276.92,10390.72
2013-11-15,1931.59,8486.1,10417.68
2013-11-22,1993.26,8418.11,10411.36
2013-11-29,1982.04,8431.25,10413.29
2013-12-06,2234.34,8143.49,10377.83
2013-12-13,2253.96,8122.19,10376.15
2013-12-20,2311.54,8055.18,10366.72
2013-12-27,2530.34,7799.46,10329.8
2014-01-03,2499.48,7836.92,10336.4
2014-01-10,2204.94,8183.86,10388.8
2014-01-17,2120.79,8281.92,10402.71
2014-01-24,1924.43,8507.63,10432.06
2014-01-31,1742.09,8714.26,10456.35
2014-02-07,1767.34,8688.62,10455.96
2014-02-14,1823.44,8627.17,10450.61
2014-02-21,1798.19,8656.05,10454.24
2014-02-28,1652.33,8819.73,10472.06
2014-03-07,1958.09,8480.05,10438.14
2014-03-14,1613.97,8868.55,10482.52
2014-03-21,1868.69,8586.56,10455.25
2014-03-28,2039.74,8393.27,10433.0
2014-04-04,2036.93,8398.34,10435.27
2014-04-11,1738.48,8735.07,10473.55
2014-04-18,1965.75,8480.36,10446.12
2014-04-25,1884.76,8572.75,10457.51
2014-05-02,1682.78,8799.99,10482.78
2014-05-09,1658.5,8828.31,10486.82
2014-05-16,1442.63,9068.46,10511.1
2014-05-23,1417.4,9096.77,10514.17
2014-05-30,1313.68,9210.93,10524.6
2014-06-06,1594.02,8904.97,10498.99
2014-06-13,1608.04,8890.41,10498.45
2014-06-20,1594.02,8907.51,10501.53
2014-06-27,1436.41,9081.21,10517.62
2014-07-04,1694.44,8797.21,10491.65
2014-07-11,1375.31,9150.77,10526.08
2014-07-18,1302.42,9231.61,10534.04
2014-07-25,1288.9,9247.47,10536.37
2014-08-01,1319.73,9217.21,10536.94
2014-08-08,1165.6,9384.83,10550.42
2014-08-15,949.82,9616.32,10566.14
2014-08-22,1098.54,9458.52,10557.06
2014-08-29,944.0,9623.19,10567.19
2014-09-05,1196.04,9355.05,10551.09
2014-09-12,1532.45,8989.29,10521.74
2014-09-19,1487.32,9039.43,10526.75
2014-09-26,1700.43,8810.71,10511.14
2014-10-03,1476.11,9062.04,10538.15
2014-10-10,1103.17,9468.68,10571.85
2014-10-17,862.03,9728.14,10590.17
2014-10-24,1024.66,9556.47,10581.14
2014-10-31,1187.29,9382.83,10570.13
2014-11-07,1091.72,9486.77,10578.49
2014-11-14,1111.1,9466.42,10577.53
2014-11-21,1094.27,9485.03,10579.3
2014-11-28,796.93,9801.34,10598.27
2014-12-05,1060.44,9523.99,10584.43
2014-12-12,510.53,10105.0,10615.53
2014-12-19,760.24,9849.73,10609.96
2014-12-26,1113.75,9477.77,10591.51
2015-01-02,782.68,9830.2,10612.88
2015-01-09,356.22,10276.13,10632.35
2015-01-16,246.27,10391.9,10638.17
2015-01-23,196.46,10445.1,10641.56
2015-01-30,0.0,10646.84,10646.84
2015-02-06,750.0,9886.32,10636.32
2015-02-13,944.74,9681.96,10626.71
2015-02-20,1141.72,9474.29,10616.01
2015-02-27,818.9,9821.23,10640.13
2015-03-06,1398.87,9204.96,10603.83
2015-03-13,1076.25,9555.34,10631.59
2015-03-20,600.32,10061.45,10661.77
2015-03-27,698.79,9961.9,10660.69
2015-04-03,548.36,10119.5,10667.86
2015-04-10,652.52,10012.14,10664.66
2015-04-17,406.44,10266.84,10673.28
2015-04-24,524.01,10147.81,10671.82
2015-05-01,1005.23,9645.58,10650.81
2015-05-08,1016.17,9635.91,10652.08
2015-05-15,1027.11,9629.72,10656.82
2015-05-22,1185.69,9463.3,10648.99
2015-05-29,977.89,9686.73,10664.62
2015-06-05,1647.77,8965.73,10613.5
2015-06-12,1605.87,9013.78,10619.65
2015-06-19,1272.09,9380.9,10653.0
2015-06-26,1797.38,8805.9,10603.29
2015-07-03,1567.57,9068.37,10635.94
2015-07-10,1603.14,9034.73,10637.87
2015-07-17,1486.29,9165.59,10651.88
2015-07-24,1278.48,9393.33,10671.81
2015-07-31,1092.56,9595.49,10688.05
2015-08-07,1065.21,9627.37,10692.58
2015-08-14,1125.08,9565.33,10690.42
2015-08-21,706.59,10010.8,10717.38
2015-08-28,1018.41,9684.0,10702.41
2015-09-04,865.23,9847.49,10712.72
2015-09-11,963.7,9744.57,10708.27
