date,positions_value,cash,net_liq
2009-06-05,0.0,10000.0,10000.0
2009-06-12,464.82,9565.41,10030.24
2009-06-19,2369.84,7549.74,9919.58
2009-06-26,1242.07,8896.95,10139.02
2009-07-03,2024.4,8071.98,10096.38
2009-07-10,2532.4,7558.53,10090.93
2009-07-17,586.75,9789.08,10375.82
2009-07-24,0.0,10450.0,10450.0
2009-07-31,665.36,9823.28,10488.64
2009-08-07,1282.54,9232.13,10514.67
2009-08-14,1847.03,8624.39,10471.42
2009-08-21,2058.99,8483.42,10542.41
2009-08-28,2720.8,7717.07,10437.87
2009-09-04,1888.12,8771.65,10659.77
2009-09-11,940.82,9842.95,10783.76
2009-09-18,292.57,10552.78,10845.35
2009-09-25,1860.82,8922.94,10783.76
2009-10-02,3097.87,7503.54,10601.42
2009-10-09,745.19,10226.41,10971.59
2009-10-16,783.9,10243.77,11027.67
2009-10-23,58.85,11019.86,11078.71
2009-10-30,2011.53,9040.15,11051.68
2009-11-06,306.88,10917.08,11223.96
2009-11-13,259.24,11010.65,11269.89
2009-11-20,1257.88,9995.47,11253.36
2009-11-27,2228.47,8999.77,11228.24
2009-12-04,797.82,10611.3,11409.12
2009-12-11,1989.71,9332.83,11322.54
2009-12-18,3329.12,7767.2,11096.31
2009-12-25,2640.0,8618.72,11258.72
2010-01-01,2679.91,8572.14,11252.04
2010-01-08,1524.51,9935.52,11460.03
2010-01-15,3200.32,8010.0,11210.32
2010-01-22,4753.79,6093.39,10847.18
2010-01-29,5175.17,5528.75,10703.92
2010-02-05,5635.39,4956.74,10592.13
2010-02-12,4887.78,6133.3,11021.08
2010-02-19,4832.09,6231.55,11063.64
2010-02-26,4513.7,6702.14,11215.84
2010-03-05,3550.75,8026.9,11577.65
2010-03-12,3500.28,8093.09,11593.37
2010-03-19,3605.11,7975.97,11581.08
2010-03-26,3768.19,7792.55,11560.74
2010-04-02,2182.06,9774.25,11956.3
2010-04-09,1287.06,10793.58,12080.64
2010-04-16,2834.37,9082.27,11916.64
2010-04-23,2989.69,8909.71,11899.39
2010-04-30,3783.72,7960.72,11744.44
2010-05-07,5414.51,5795.22,11209.73
2010-05-14,5039.82,6467.84,11507.66
2010-05-21,5478.58,5901.17,11379.75
2010-05-28,4785.49,6983.33,11768.82
2010-06-04,5389.28,6169.88,11559.16
2010-06-11,4257.43,7810.77,12068.2
2010-06-18,4036.11,8132.35,12168.46
2010-06-25,3440.09,8957.91,12398.0
2010-07-02,4793.26,7221.47,12014.73
2010-07-09,3779.84,8615.71,12395.55
2010-07-16,4973.81,7029.74,12003.56
2010-07-23,3321.67,9293.71,12615.37
2010-07-30,3407.96,9185.54,12593.5
2010-08-06,2974.86,9746.79,12721.65
2010-08-13,4225.61,8188.27,12413.87
2010-08-20,3920.69,8601.37,12522.06
2010-08-27,4272.22,8155.08,12427.3
2010-09-03,3668.21,8982.4,12650.61
2010-09-10,3782.8,8839.47,12622.26
2010-09-17,3019.53,9832.62,12852.15
2010-09-24,2458.25,10529.8,12988.05
2010-10-01,2242.67,10786.46,13029.13
2010-10-08,1411.43,11744.23,13155.66
2010-10-15,185.93,13056.72,13242.65
2010-10-22,582.13,12689.07,13271.2
2010-10-29,1054.08,12214.92,13269.0
2010-11-05,0.0,13324.41,13324.41
2010-11-12,1234.06,12087.47,13321.52
2010-11-19,2144.91,11126.54,13271.44
2010-11-26,3006.18,10147.71,13153.89
2010-12-03,2346.91,10975.37,13322.28
2010-12-10,2951.09,10267.9,13218.99
2010-12-17,3479.97,9633.06,13113.02
2010-12-24,3351.42,9813.5,13164.92
2010-12-31,3072.29,10170.5,13242.79
2011-01-07,2721.54,10612.13,13333.67
2011-01-14,2146.01,11307.9,13453.9
2011-01-21,3001.26,10307.07,13308.33
2011-01-28,3737.22,9408.88,13146.1
2011-02-04,3230.68,10058.95,13289.63
2011-02-11,3973.98,9136.94,13110.92
2011-02-18,3309.59,9998.68,13308.28
2011-02-25,3885.47,9316.55,13202.02
2011-03-04,2927.82,10545.15,13472.97
2011-03-11,2880.12,10631.2,13511.32
2011-03-18,3991.87,9260.81,13252.68
2011-03-25,2792.06,10798.04,13590.1
2011-04-01,1650.96,12138.45,13789.4
